# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H3_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H3_y
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H3_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H3_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H3_y
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	1.848614e-02	5.937140e-04	5.937140e-04
-2.760000e+00	-2.520000e+00	2.037476e-02	1.276049e-03	1.276049e-03
-2.520000e+00	-2.280000e+00	2.781176e-02	8.121720e-04	8.121720e-04
-2.280000e+00	-2.040000e+00	3.146068e-02	6.658593e-04	6.658593e-04
-2.040000e+00	-1.800000e+00	3.977296e-02	7.317397e-04	7.317397e-04
-1.800000e+00	-1.560000e+00	4.888483e-02	8.918840e-04	8.918840e-04
-1.560000e+00	-1.320000e+00	6.928454e-02	9.584298e-04	9.584298e-04
-1.320000e+00	-1.080000e+00	9.728383e-02	1.257346e-03	1.257346e-03
-1.080000e+00	-8.400000e-01	1.524020e-01	2.027177e-03	2.027177e-03
-8.400000e-01	-6.000000e-01	2.625652e-01	2.162751e-03	2.162751e-03
-6.000000e-01	-3.600000e-01	5.004692e-01	2.639649e-03	2.639649e-03
-3.600000e-01	-1.200000e-01	8.481567e-01	3.364298e-03	3.364298e-03
-1.200000e-01	1.200000e-01	1.042175e+00	3.278455e-03	3.278455e-03
1.200000e-01	3.600000e-01	8.580829e-01	3.653287e-03	3.653287e-03
3.600000e-01	6.000000e-01	5.012546e-01	3.855161e-03	3.855161e-03
6.000000e-01	8.400000e-01	2.647475e-01	3.326539e-03	3.326539e-03
8.400000e-01	1.080000e+00	1.552300e-01	1.721721e-03	1.721721e-03
1.080000e+00	1.320000e+00	9.719379e-02	1.095941e-03	1.095941e-03
1.320000e+00	1.560000e+00	6.527375e-02	5.994472e-03	5.994472e-03
1.560000e+00	1.800000e+00	4.997925e-02	1.142928e-03	1.142928e-03
1.800000e+00	2.040000e+00	4.002929e-02	9.860450e-04	9.860450e-04
2.040000e+00	2.280000e+00	3.054366e-02	3.118445e-03	3.118445e-03
2.280000e+00	2.520000e+00	2.635752e-02	7.383887e-04	7.383887e-04
2.520000e+00	2.760000e+00	2.255442e-02	5.027452e-04	5.027452e-04
2.760000e+00	3.000000e+00	2.035673e-02	4.487299e-04	4.487299e-04
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H3_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H3_y
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	1.159065e-03	9.636854e-04	9.636854e-04
-2.760000e+00	-2.520000e+00	2.139445e-03	1.962995e-03	1.962995e-03
-2.520000e+00	-2.280000e+00	7.067154e-04	1.146092e-03	1.146092e-03
-2.280000e+00	-2.040000e+00	-2.008708e-04	1.280095e-03	1.280095e-03
-2.040000e+00	-1.800000e+00	-1.319512e-04	2.269396e-03	2.269396e-03
-1.800000e+00	-1.560000e+00	1.183674e-03	2.016607e-03	2.016607e-03
-1.560000e+00	-1.320000e+00	3.819351e-03	2.544888e-03	2.544888e-03
-1.320000e+00	-1.080000e+00	4.852462e-03	2.197657e-03	2.197657e-03
-1.080000e+00	-8.400000e-01	3.620008e-03	2.787011e-03	2.787011e-03
-8.400000e-01	-6.000000e-01	2.096481e-02	5.075185e-03	5.075185e-03
-6.000000e-01	-3.600000e-01	5.096013e-02	4.352948e-03	4.352948e-03
-3.600000e-01	-1.200000e-01	1.278727e-01	7.217165e-03	7.217165e-03
-1.200000e-01	1.200000e-01	1.720342e-01	7.167841e-03	7.167841e-03
1.200000e-01	3.600000e-01	1.353965e-01	7.189549e-03	7.189549e-03
3.600000e-01	6.000000e-01	7.115188e-02	5.154381e-03	5.154381e-03
6.000000e-01	8.400000e-01	2.208286e-02	4.001691e-03	4.001691e-03
8.400000e-01	1.080000e+00	9.553367e-03	3.073771e-03	3.073771e-03
1.080000e+00	1.320000e+00	6.815938e-03	2.303055e-03	2.303055e-03
1.320000e+00	1.560000e+00	8.308754e-03	4.222065e-03	4.222065e-03
1.560000e+00	1.800000e+00	1.163685e-03	1.489480e-03	1.489480e-03
1.800000e+00	2.040000e+00	-1.758192e-04	1.629662e-03	1.629662e-03
2.040000e+00	2.280000e+00	2.426590e-03	1.187823e-03	1.187823e-03
2.280000e+00	2.520000e+00	6.225654e-04	1.027775e-03	1.027775e-03
2.520000e+00	2.760000e+00	1.924449e-03	9.901424e-04	9.901424e-04
2.760000e+00	3.000000e+00	2.397395e-03	9.133112e-04	9.133112e-04
# END HISTO1D

