# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/HT_all //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_all
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/HT_all //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_all
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/HT_all
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{all})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{all})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/HT_all
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/HT_all
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/HT_all
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	5.540052e-06	7.371346e-08	7.371346e-08
8.000000e+01	1.200000e+02	9.614012e-05	5.019221e-07	5.019221e-07
1.200000e+02	1.600000e+02	3.361830e-04	1.780374e-06	1.780374e-06
1.600000e+02	2.000000e+02	6.933078e-04	1.509393e-06	1.509393e-06
2.000000e+02	2.400000e+02	1.107729e-03	3.938701e-06	3.938701e-06
2.400000e+02	2.800000e+02	1.492997e-03	7.089126e-06	7.089126e-06
2.800000e+02	3.200000e+02	1.792475e-03	4.352425e-06	4.352425e-06
3.200000e+02	3.600000e+02	1.967372e-03	6.650853e-06	6.650853e-06
3.600000e+02	4.000000e+02	2.036734e-03	7.295943e-06	7.295943e-06
4.000000e+02	4.400000e+02	2.022991e-03	6.754012e-06	6.754012e-06
4.400000e+02	4.800000e+02	1.953225e-03	6.348621e-06	6.348621e-06
4.800000e+02	5.200000e+02	1.856044e-03	7.177672e-06	7.177672e-06
5.200000e+02	5.600000e+02	1.725251e-03	7.929049e-06	7.929049e-06
5.600000e+02	6.000000e+02	1.583280e-03	7.741034e-06	7.741034e-06
6.000000e+02	6.400000e+02	1.456300e-03	7.766356e-06	7.766356e-06
6.400000e+02	6.800000e+02	1.313668e-03	7.897714e-06	7.897714e-06
6.800000e+02	7.200000e+02	1.215184e-03	7.643011e-06	7.643011e-06
7.200000e+02	7.600000e+02	1.089010e-03	8.701343e-06	8.701343e-06
7.600000e+02	8.000000e+02	9.874683e-04	7.688396e-06	7.688396e-06
8.000000e+02	8.400000e+02	8.792008e-04	9.045752e-06	9.045752e-06
8.400000e+02	8.800000e+02	8.144570e-04	1.128812e-05	1.128812e-05
8.800000e+02	9.200000e+02	7.069233e-04	1.750626e-05	1.750626e-05
9.200000e+02	9.600000e+02	6.587752e-04	7.522306e-06	7.522306e-06
9.600000e+02	1.000000e+03	6.096932e-04	8.724585e-06	8.724585e-06
1.000000e+03	1.040000e+03	5.270980e-04	7.243086e-06	7.243086e-06
1.040000e+03	1.080000e+03	4.918520e-04	9.310475e-06	9.310475e-06
1.080000e+03	1.120000e+03	4.180185e-04	1.890272e-05	1.890272e-05
1.120000e+03	1.160000e+03	3.788613e-04	1.880905e-05	1.880905e-05
1.160000e+03	1.200000e+03	3.535715e-04	1.025292e-05	1.025292e-05
1.200000e+03	1.240000e+03	2.840265e-04	3.646962e-05	3.646962e-05
1.240000e+03	1.280000e+03	2.937302e-04	6.965843e-06	6.965843e-06
1.280000e+03	1.320000e+03	2.652220e-04	6.935390e-06	6.935390e-06
1.320000e+03	1.360000e+03	2.561653e-04	9.688469e-06	9.688469e-06
1.360000e+03	1.400000e+03	2.303058e-04	1.050411e-05	1.050411e-05
1.400000e+03	1.440000e+03	2.118931e-04	7.052408e-06	7.052408e-06
1.440000e+03	1.480000e+03	1.897091e-04	7.065242e-06	7.065242e-06
1.480000e+03	1.520000e+03	1.801370e-04	8.041245e-06	8.041245e-06
1.520000e+03	1.560000e+03	1.600850e-04	5.389410e-06	5.389410e-06
1.560000e+03	1.600000e+03	1.321352e-04	1.029985e-05	1.029985e-05
1.600000e+03	1.640000e+03	1.242443e-04	1.329828e-05	1.329828e-05
1.640000e+03	1.680000e+03	1.199779e-04	4.939292e-06	4.939292e-06
1.680000e+03	1.720000e+03	1.184287e-04	6.693236e-06	6.693236e-06
1.720000e+03	1.760000e+03	9.411628e-05	5.030667e-06	5.030667e-06
1.760000e+03	1.800000e+03	9.431850e-05	6.912622e-06	6.912622e-06
1.800000e+03	1.840000e+03	8.669882e-05	5.495845e-06	5.495845e-06
1.840000e+03	1.880000e+03	8.477292e-05	6.181473e-06	6.181473e-06
1.880000e+03	1.920000e+03	7.411933e-05	4.744780e-06	4.744780e-06
1.920000e+03	1.960000e+03	7.081495e-05	6.812455e-06	6.812455e-06
1.960000e+03	2.000000e+03	6.252903e-05	4.458517e-06	4.458517e-06
2.000000e+03	2.040000e+03	6.190745e-05	4.319486e-06	4.319486e-06
2.040000e+03	2.080000e+03	5.389837e-05	3.274027e-06	3.274027e-06
2.080000e+03	2.120000e+03	5.430495e-05	4.073612e-06	4.073612e-06
2.120000e+03	2.160000e+03	3.952368e-05	5.648048e-06	5.648048e-06
2.160000e+03	2.200000e+03	3.357460e-05	5.097759e-06	5.097759e-06
2.200000e+03	2.240000e+03	4.165833e-05	3.870434e-06	3.870434e-06
2.240000e+03	2.280000e+03	3.937122e-05	6.127209e-06	6.127209e-06
2.280000e+03	2.320000e+03	3.320330e-05	3.622885e-06	3.622885e-06
2.320000e+03	2.360000e+03	2.891825e-05	3.012605e-06	3.012605e-06
2.360000e+03	2.400000e+03	2.952010e-05	3.164866e-06	3.164866e-06
2.400000e+03	2.440000e+03	2.640155e-05	3.708034e-06	3.708034e-06
2.440000e+03	2.480000e+03	2.669625e-05	3.327173e-06	3.327173e-06
2.480000e+03	2.520000e+03	2.336299e-05	2.860768e-06	2.860768e-06
2.520000e+03	2.560000e+03	2.146185e-05	4.545547e-06	4.545547e-06
2.560000e+03	2.600000e+03	2.345955e-05	2.167658e-06	2.167658e-06
2.600000e+03	2.640000e+03	1.418401e-05	2.325510e-06	2.325510e-06
2.640000e+03	2.680000e+03	2.009509e-05	2.858647e-06	2.858647e-06
2.680000e+03	2.720000e+03	1.160933e-05	2.426075e-06	2.426075e-06
2.720000e+03	2.760000e+03	2.615165e-05	1.102055e-05	1.102055e-05
2.760000e+03	2.800000e+03	9.247847e-06	3.291783e-06	3.291783e-06
2.800000e+03	2.840000e+03	1.142484e-05	2.283193e-06	2.283193e-06
2.840000e+03	2.880000e+03	1.705707e-05	1.941240e-06	1.941240e-06
2.880000e+03	2.920000e+03	7.279053e-06	2.145869e-06	2.145869e-06
2.920000e+03	2.960000e+03	9.698138e-06	1.434400e-06	1.434400e-06
2.960000e+03	3.000000e+03	1.005107e-05	1.303207e-06	1.303207e-06
3.000000e+03	3.040000e+03	1.037139e-05	3.199380e-06	3.199380e-06
3.040000e+03	3.080000e+03	1.011642e-05	1.629460e-06	1.629460e-06
3.080000e+03	3.120000e+03	8.085785e-06	1.679769e-06	1.679769e-06
3.120000e+03	3.160000e+03	7.195225e-06	1.632857e-06	1.632857e-06
3.160000e+03	3.200000e+03	6.340810e-06	3.711266e-06	3.711266e-06
