# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.095523e-04	3.868851e-06	3.868851e-06
1.000000e+01	2.000000e+01	2.884556e-04	1.809783e-05	1.809783e-05
2.000000e+01	3.000000e+01	5.068511e-04	6.142185e-06	6.142185e-06
3.000000e+01	4.000000e+01	6.764318e-04	6.378813e-06	6.378813e-06
4.000000e+01	5.000000e+01	8.434680e-04	1.103200e-05	1.103200e-05
5.000000e+01	6.000000e+01	1.004044e-03	1.162154e-05	1.162154e-05
6.000000e+01	7.000000e+01	1.109443e-03	9.912862e-06	9.912862e-06
7.000000e+01	8.000000e+01	1.219331e-03	1.166051e-05	1.166051e-05
8.000000e+01	9.000000e+01	1.250454e-03	4.978500e-05	4.978500e-05
9.000000e+01	1.000000e+02	1.346543e-03	1.087295e-05	1.087295e-05
1.000000e+02	1.100000e+02	1.412890e-03	1.398631e-05	1.398631e-05
1.100000e+02	1.200000e+02	1.459670e-03	1.410788e-05	1.410788e-05
1.200000e+02	1.300000e+02	1.446946e-03	1.532624e-05	1.532624e-05
1.300000e+02	1.400000e+02	1.432135e-03	1.885653e-05	1.885653e-05
1.400000e+02	1.500000e+02	1.407056e-03	2.067547e-05	2.067547e-05
1.500000e+02	1.600000e+02	1.382708e-03	1.905088e-05	1.905088e-05
1.600000e+02	1.700000e+02	1.371816e-03	1.262282e-05	1.262282e-05
1.700000e+02	1.800000e+02	1.347102e-03	1.718261e-05	1.718261e-05
1.800000e+02	1.900000e+02	1.299273e-03	1.524000e-05	1.524000e-05
1.900000e+02	2.000000e+02	1.237132e-03	1.265079e-05	1.265079e-05
2.000000e+02	2.100000e+02	1.190795e-03	1.615627e-05	1.615627e-05
2.100000e+02	2.200000e+02	1.130602e-03	1.250831e-05	1.250831e-05
2.200000e+02	2.300000e+02	1.041564e-03	3.462924e-05	3.462924e-05
2.300000e+02	2.400000e+02	1.027090e-03	1.200646e-05	1.200646e-05
2.400000e+02	2.500000e+02	9.592564e-04	2.236390e-05	2.236390e-05
2.500000e+02	2.600000e+02	9.386483e-04	1.371147e-05	1.371147e-05
2.600000e+02	2.700000e+02	8.944702e-04	1.491884e-05	1.491884e-05
2.700000e+02	2.800000e+02	8.269648e-04	1.210960e-05	1.210960e-05
2.800000e+02	2.900000e+02	7.726490e-04	1.515182e-05	1.515182e-05
2.900000e+02	3.000000e+02	7.367038e-04	2.020773e-05	2.020773e-05
3.000000e+02	3.100000e+02	7.080170e-04	1.955341e-05	1.955341e-05
3.100000e+02	3.200000e+02	6.415173e-04	1.312423e-05	1.312423e-05
3.200000e+02	3.300000e+02	6.390420e-04	1.950202e-05	1.950202e-05
3.300000e+02	3.400000e+02	5.836500e-04	1.459096e-05	1.459096e-05
3.400000e+02	3.500000e+02	5.657381e-04	9.926421e-06	9.926421e-06
3.500000e+02	3.600000e+02	5.320073e-04	1.955542e-05	1.955542e-05
3.600000e+02	3.700000e+02	5.209588e-04	1.321549e-05	1.321549e-05
3.700000e+02	3.800000e+02	4.912541e-04	1.592821e-05	1.592821e-05
3.800000e+02	3.900000e+02	4.390871e-04	1.370463e-05	1.370463e-05
3.900000e+02	4.000000e+02	2.816554e-04	1.411609e-04	1.411609e-04
4.000000e+02	4.100000e+02	4.067014e-04	1.216642e-05	1.216642e-05
4.100000e+02	4.200000e+02	3.404799e-04	2.159501e-05	2.159501e-05
4.200000e+02	4.300000e+02	3.434017e-04	1.219191e-05	1.219191e-05
4.300000e+02	4.400000e+02	3.493697e-04	9.164246e-06	9.164246e-06
4.400000e+02	4.500000e+02	2.465698e-04	6.908420e-05	6.908420e-05
4.500000e+02	4.600000e+02	3.153050e-04	1.227115e-05	1.227115e-05
4.600000e+02	4.700000e+02	2.889286e-04	9.792929e-06	9.792929e-06
4.700000e+02	4.800000e+02	2.861265e-04	9.948968e-06	9.948968e-06
4.800000e+02	4.900000e+02	2.459848e-04	1.299354e-05	1.299354e-05
4.900000e+02	5.000000e+02	2.373311e-04	1.042453e-05	1.042453e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.956557e-05	4.165984e-06	4.165984e-06
1.000000e+01	2.000000e+01	4.303158e-05	9.714473e-06	9.714473e-06
2.000000e+01	3.000000e+01	9.554646e-05	1.442230e-05	1.442230e-05
3.000000e+01	4.000000e+01	1.010868e-04	1.548396e-05	1.548396e-05
4.000000e+01	5.000000e+01	1.493956e-04	2.221750e-05	2.221750e-05
5.000000e+01	6.000000e+01	1.760708e-04	2.383575e-05	2.383575e-05
6.000000e+01	7.000000e+01	1.843413e-04	2.592518e-05	2.592518e-05
7.000000e+01	8.000000e+01	1.795441e-04	1.004678e-04	1.004678e-04
8.000000e+01	9.000000e+01	1.967480e-04	3.560074e-05	3.560074e-05
9.000000e+01	1.000000e+02	2.402141e-04	1.089566e-04	1.089566e-04
1.000000e+02	1.100000e+02	1.630036e-04	3.907628e-05	3.907628e-05
1.100000e+02	1.200000e+02	1.801257e-04	4.094947e-05	4.094947e-05
1.200000e+02	1.300000e+02	1.891518e-04	2.954786e-05	2.954786e-05
1.300000e+02	1.400000e+02	1.181625e-04	3.300907e-05	3.300907e-05
1.400000e+02	1.500000e+02	9.615214e-05	3.082311e-05	3.082311e-05
1.500000e+02	1.600000e+02	7.834137e-05	4.502054e-05	4.502054e-05
1.600000e+02	1.700000e+02	9.388273e-05	4.682966e-05	4.682966e-05
1.700000e+02	1.800000e+02	1.125483e-04	3.341353e-05	3.341353e-05
1.800000e+02	1.900000e+02	1.373557e-04	4.124259e-05	4.124259e-05
1.900000e+02	2.000000e+02	1.210935e-04	5.609644e-05	5.609644e-05
2.000000e+02	2.100000e+02	6.039285e-06	3.542012e-05	3.542012e-05
2.100000e+02	2.200000e+02	2.014423e-05	3.734936e-05	3.734936e-05
2.200000e+02	2.300000e+02	8.700200e-06	3.459595e-05	3.459595e-05
2.300000e+02	2.400000e+02	7.513591e-05	3.251821e-05	3.251821e-05
2.400000e+02	2.500000e+02	4.837101e-05	4.313377e-05	4.313377e-05
2.500000e+02	2.600000e+02	6.470645e-06	3.016245e-05	3.016245e-05
2.600000e+02	2.700000e+02	6.040954e-05	4.039744e-05	4.039744e-05
2.700000e+02	2.800000e+02	2.750600e-05	3.650988e-05	3.650988e-05
2.800000e+02	2.900000e+02	1.849482e-05	5.392301e-05	5.392301e-05
2.900000e+02	3.000000e+02	4.139866e-06	2.657955e-05	2.657955e-05
3.000000e+02	3.100000e+02	9.802626e-07	3.269656e-05	3.269656e-05
3.100000e+02	3.200000e+02	-1.387155e-06	2.632885e-05	2.632885e-05
3.200000e+02	3.300000e+02	1.747453e-05	3.643711e-05	3.643711e-05
