# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$y_{h}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/H_y
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	7.339965e-03	3.014643e-04	3.014643e-04
-4.600000e+00	-4.200000e+00	8.531968e-03	2.126340e-04	2.126340e-04
-4.200000e+00	-3.800000e+00	1.018556e-02	2.763909e-04	2.763909e-04
-3.800000e+00	-3.400000e+00	1.243085e-02	2.775511e-04	2.775511e-04
-3.400000e+00	-3.000000e+00	1.532845e-02	3.811927e-04	3.811927e-04
-3.000000e+00	-2.600000e+00	1.954623e-02	5.057436e-04	5.057436e-04
-2.600000e+00	-2.200000e+00	2.621558e-02	8.587644e-04	8.587644e-04
-2.200000e+00	-1.800000e+00	3.698197e-02	5.564806e-04	5.564806e-04
-1.800000e+00	-1.400000e+00	5.528075e-02	7.296471e-04	7.296471e-04
-1.400000e+00	-1.000000e+00	9.939643e-02	9.528828e-04	9.528828e-04
-1.000000e+00	-6.000000e-01	2.235751e-01	1.705613e-03	1.705613e-03
-6.000000e-01	-2.000000e-01	6.171355e-01	2.220712e-03	2.220712e-03
-2.000000e-01	2.000000e-01	1.011852e+00	2.835346e-03	2.835346e-03
2.000000e-01	6.000000e-01	6.210948e-01	2.763483e-03	2.763483e-03
6.000000e-01	1.000000e+00	2.258622e-01	2.182636e-03	2.182636e-03
1.000000e+00	1.400000e+00	9.995920e-02	1.022292e-03	1.022292e-03
1.400000e+00	1.800000e+00	5.363315e-02	3.616722e-03	3.616722e-03
1.800000e+00	2.200000e+00	3.579892e-02	1.859262e-03	1.859262e-03
2.200000e+00	2.600000e+00	2.709070e-02	7.872836e-04	7.872836e-04
2.600000e+00	3.000000e+00	2.101532e-02	3.660652e-04	3.660652e-04
3.000000e+00	3.400000e+00	1.558363e-02	4.705238e-04	4.705238e-04
3.400000e+00	3.800000e+00	1.299610e-02	4.904591e-04	4.904591e-04
3.800000e+00	4.200000e+00	1.041395e-02	3.058543e-04	3.058543e-04
4.200000e+00	4.600000e+00	8.854233e-03	3.445111e-04	3.445111e-04
4.600000e+00	5.000000e+00	7.697285e-03	1.851978e-04	1.851978e-04
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.398804e-03	3.629822e-04	3.629822e-04
-4.600000e+00	-4.200000e+00	8.033268e-04	4.997375e-04	4.997375e-04
-4.200000e+00	-3.800000e+00	7.265420e-04	5.788159e-04	5.788159e-04
-3.800000e+00	-3.400000e+00	8.221938e-04	6.001173e-04	6.001173e-04
-3.400000e+00	-3.000000e+00	6.034528e-04	6.159308e-04	6.159308e-04
-3.000000e+00	-2.600000e+00	1.793055e-03	1.287799e-03	1.287799e-03
-2.600000e+00	-2.200000e+00	5.880835e-04	8.404913e-04	8.404913e-04
-2.200000e+00	-1.800000e+00	-1.776968e-04	1.507820e-03	1.507820e-03
