# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaR_H_j1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.630615e-04	6.006913e-05	6.006913e-05
2.000000e-01	4.000000e-01	2.205419e-03	1.028611e-04	1.028611e-04
4.000000e-01	6.000000e-01	2.852368e-03	8.991194e-04	8.991194e-04
6.000000e-01	8.000000e-01	5.835410e-03	1.633922e-04	1.633922e-04
8.000000e-01	1.000000e+00	7.914445e-03	2.347409e-04	2.347409e-04
1.000000e+00	1.200000e+00	1.116974e-02	5.896312e-04	5.896312e-04
1.200000e+00	1.400000e+00	1.596430e-02	5.400481e-04	5.400481e-04
1.400000e+00	1.600000e+00	2.541651e-02	4.565014e-04	4.565014e-04
1.600000e+00	1.800000e+00	4.023778e-02	8.444839e-04	8.444839e-04
1.800000e+00	2.000000e+00	7.063995e-02	1.084466e-03	1.084466e-03
2.000000e+00	2.200000e+00	1.313874e-01	2.613428e-03	2.613428e-03
2.200000e+00	2.400000e+00	2.256041e-01	3.668382e-03	3.668382e-03
2.400000e+00	2.600000e+00	3.876096e-01	7.689911e-03	7.689911e-03
2.600000e+00	2.800000e+00	6.295080e-01	3.805312e-03	3.805312e-03
2.800000e+00	3.000000e+00	9.759545e-01	5.966301e-03	5.966301e-03
3.000000e+00	3.200000e+00	1.280174e+00	6.597026e-03	6.597026e-03
3.200000e+00	3.400000e+00	7.791910e-01	3.661719e-03	3.661719e-03
3.400000e+00	3.600000e+00	5.502820e-01	2.624002e-03	2.624002e-03
3.600000e+00	3.800000e+00	4.068326e-01	2.204636e-03	2.204636e-03
3.800000e+00	4.000000e+00	3.083891e-01	1.790759e-03	1.790759e-03
4.000000e+00	4.200000e+00	2.375283e-01	1.472408e-03	1.472408e-03
4.200000e+00	4.400000e+00	1.869471e-01	1.264558e-03	1.264558e-03
4.400000e+00	4.600000e+00	1.452185e-01	9.556436e-04	9.556436e-04
4.600000e+00	4.800000e+00	1.138299e-01	9.503776e-04	9.503776e-04
4.800000e+00	5.000000e+00	8.656670e-02	5.428096e-04	5.428096e-04
5.000000e+00	5.200000e+00	6.693400e-02	8.388818e-04	8.388818e-04
5.200000e+00	5.400000e+00	5.197860e-02	5.141529e-04	5.141529e-04
5.400000e+00	5.600000e+00	4.129111e-02	1.376703e-03	1.376703e-03
5.600000e+00	5.800000e+00	2.997427e-02	2.342004e-04	2.342004e-04
5.800000e+00	6.000000e+00	2.289289e-02	3.167354e-04	3.167354e-04
6.000000e+00	6.200000e+00	1.713349e-02	1.104853e-04	1.104853e-04
6.200000e+00	6.400000e+00	1.258036e-02	1.126013e-04	1.126013e-04
6.400000e+00	6.600000e+00	9.735145e-03	1.391820e-04	1.391820e-04
6.600000e+00	6.800000e+00	6.893015e-03	6.464082e-05	6.464082e-05
6.800000e+00	7.000000e+00	5.064840e-03	9.356939e-05	9.356939e-05
7.000000e+00	7.200000e+00	3.565288e-03	5.757784e-05	5.757784e-05
7.200000e+00	7.400000e+00	2.589046e-03	5.858569e-05	5.858569e-05
7.400000e+00	7.600000e+00	1.867318e-03	3.154104e-05	3.154104e-05
7.600000e+00	7.800000e+00	1.273674e-03	2.652870e-05	2.652870e-05
7.800000e+00	8.000000e+00	7.931265e-04	7.982935e-05	7.982935e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_j1_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.327908e-04	7.983215e-05	7.983215e-05
2.000000e-01	4.000000e-01	1.354389e-03	4.349864e-04	4.349864e-04
4.000000e-01	6.000000e-01	2.357445e-03	9.041204e-04	9.041204e-04
6.000000e-01	8.000000e-01	2.486188e-03	2.817820e-04	2.817820e-04
8.000000e-01	1.000000e+00	4.429018e-03	6.624104e-04	6.624104e-04
1.000000e+00	1.200000e+00	6.642775e-03	8.965113e-04	8.965113e-04
1.200000e+00	1.400000e+00	4.645500e-03	1.704033e-03	1.704033e-03
1.400000e+00	1.600000e+00	8.780255e-03	9.790098e-04	9.790098e-04
1.600000e+00	1.800000e+00	1.292376e-02	1.616061e-03	1.616061e-03
1.800000e+00	2.000000e+00	2.082679e-02	2.328052e-03	2.328052e-03
2.000000e+00	2.200000e+00	2.230270e-02	2.652326e-03	2.652326e-03
2.200000e+00	2.400000e+00	4.107489e-02	5.716133e-03	5.716133e-03
2.400000e+00	2.600000e+00	5.608015e-02	1.005181e-02	1.005181e-02
2.600000e+00	2.800000e+00	7.296100e-02	6.440712e-03	6.440712e-03
2.800000e+00	3.000000e+00	8.066530e-02	8.821281e-03	8.821281e-03
3.000000e+00	3.200000e+00	7.543005e-02	1.000360e-02	1.000360e-02
3.200000e+00	3.400000e+00	6.391575e-02	6.593770e-03	6.593770e-03
3.400000e+00	3.600000e+00	6.281640e-02	5.091746e-03	5.091746e-03
3.600000e+00	3.800000e+00	5.280270e-02	4.208337e-03	4.208337e-03
3.800000e+00	4.000000e+00	4.539231e-02	3.740360e-03	3.740360e-03
4.000000e+00	4.200000e+00	3.909033e-02	3.179343e-03	3.179343e-03
4.200000e+00	4.400000e+00	2.777610e-02	2.127893e-03	2.127893e-03
4.400000e+00	4.600000e+00	2.613659e-02	1.640969e-03	1.640969e-03
4.600000e+00	4.800000e+00	1.706852e-02	1.722785e-03	1.722785e-03
4.800000e+00	5.000000e+00	1.756428e-02	1.703175e-03	1.703175e-03
5.000000e+00	5.200000e+00	1.390600e-02	7.723537e-04	7.723537e-04
5.200000e+00	5.400000e+00	1.075742e-02	7.240789e-04	7.240789e-04
5.400000e+00	5.600000e+00	8.971355e-03	5.551437e-04	5.551437e-04
5.600000e+00	5.800000e+00	5.493685e-03	5.539574e-04	5.539574e-04
5.800000e+00	6.000000e+00	5.602325e-03	3.837965e-04	3.837965e-04
6.000000e+00	6.200000e+00	4.678208e-03	3.422376e-04	3.422376e-04
6.200000e+00	6.400000e+00	2.983040e-03	2.236102e-04	2.236102e-04
6.400000e+00	6.600000e+00	2.516890e-03	2.569150e-04	2.569150e-04
6.600000e+00	6.800000e+00	1.959649e-03	1.488282e-04	1.488282e-04
6.800000e+00	7.000000e+00	1.196447e-03	4.907590e-04	4.907590e-04
7.000000e+00	7.200000e+00	9.787045e-04	8.203450e-05	8.203450e-05
7.200000e+00	7.400000e+00	8.657775e-04	1.738533e-04	1.738533e-04
7.400000e+00	7.600000e+00	6.158040e-04	8.883708e-05	8.883708e-05
7.600000e+00	7.800000e+00	3.399234e-04	2.241309e-05	2.241309e-05
7.800000e+00	8.000000e+00	3.233439e-04	3.763010e-05	3.763010e-05
# END HISTO1D

