# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaR_H_jj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaR_H_jj_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.107275e-04	3.037996e-05	3.037996e-05
2.000000e-01	4.000000e-01	1.240325e-03	6.383179e-05	6.383179e-05
4.000000e-01	6.000000e-01	1.960262e-03	2.701648e-04	2.701648e-04
6.000000e-01	8.000000e-01	3.052268e-03	1.010637e-04	1.010637e-04
8.000000e-01	1.000000e+00	4.497913e-03	1.267356e-04	1.267356e-04
1.000000e+00	1.200000e+00	6.127480e-03	3.257674e-04	3.257674e-04
1.200000e+00	1.400000e+00	6.514425e-03	9.249695e-04	9.249695e-04
1.400000e+00	1.600000e+00	9.807560e-03	2.229812e-04	2.229812e-04
1.600000e+00	1.800000e+00	1.332721e-02	2.714969e-04	2.714969e-04
1.800000e+00	2.000000e+00	1.804060e-02	4.438406e-04	4.438406e-04
2.000000e+00	2.200000e+00	2.862030e-02	5.722045e-04	5.722045e-04
2.200000e+00	2.400000e+00	4.535256e-02	7.708674e-04	7.708674e-04
2.400000e+00	2.600000e+00	8.377770e-02	7.867976e-04	7.867976e-04
2.600000e+00	2.800000e+00	1.861484e-01	1.941915e-03	1.941915e-03
2.800000e+00	3.000000e+00	5.296780e-01	2.854557e-03	2.854557e-03
3.000000e+00	3.200000e+00	1.965062e+00	7.650547e-03	7.650547e-03
3.200000e+00	3.400000e+00	1.194646e+00	6.454522e-03	6.454522e-03
3.400000e+00	3.600000e+00	7.082420e-01	7.934195e-03	7.934195e-03
3.600000e+00	3.800000e+00	4.971293e-01	2.527476e-03	2.527476e-03
