# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$|\Delta \phi_{j_1j_2}|$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d} |\Delta \phi_{j_1j_2}|$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_jj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.179859e-01	3.250075e-03	3.250075e-03
1.047198e-01	2.094395e-01	3.205321e-01	3.106282e-03	3.106282e-03
2.094395e-01	3.141593e-01	3.379730e-01	2.461555e-03	2.461555e-03
3.141593e-01	4.188790e-01	3.660900e-01	2.875132e-03	2.875132e-03
4.188790e-01	5.235988e-01	3.883556e-01	2.693413e-03	2.693413e-03
5.235988e-01	6.283185e-01	3.667856e-01	3.503168e-03	3.503168e-03
6.283185e-01	7.330383e-01	3.509747e-01	3.395501e-03	3.395501e-03
7.330383e-01	8.377580e-01	3.486451e-01	3.547110e-03	3.547110e-03
8.377580e-01	9.424778e-01	3.451845e-01	3.101079e-03	3.101079e-03
9.424778e-01	1.047198e+00	3.363483e-01	2.534478e-03	2.534478e-03
1.047198e+00	1.151917e+00	3.451827e-01	2.922133e-03	2.922133e-03
1.151917e+00	1.256637e+00	3.484097e-01	2.808291e-03	2.808291e-03
1.256637e+00	1.361357e+00	3.560194e-01	2.576220e-03	2.576220e-03
1.361357e+00	1.466077e+00	3.640805e-01	3.912151e-03	3.912151e-03
1.466077e+00	1.570796e+00	3.724638e-01	3.248817e-03	3.248817e-03
1.570796e+00	1.675516e+00	3.900962e-01	4.132148e-03	4.132148e-03
1.675516e+00	1.780236e+00	3.985695e-01	3.417562e-03	3.417562e-03
1.780236e+00	1.884956e+00	4.105926e-01	7.664312e-03	7.664312e-03
1.884956e+00	1.989675e+00	4.336053e-01	2.950684e-03	2.950684e-03
1.989675e+00	2.094395e+00	4.562985e-01	4.716990e-03	4.716990e-03
2.094395e+00	2.199115e+00	4.614646e-01	1.390552e-02	1.390552e-02
2.199115e+00	2.303835e+00	5.043207e-01	5.525233e-03	5.525233e-03
2.303835e+00	2.408554e+00	5.246946e-01	4.009685e-03	4.009685e-03
2.408554e+00	2.513274e+00	5.371552e-01	5.247035e-03	5.247035e-03
2.513274e+00	2.617994e+00	5.698199e-01	4.989214e-03	4.989214e-03
2.617994e+00	2.722714e+00	5.970007e-01	4.535988e-03	4.535988e-03
2.722714e+00	2.827433e+00	6.335529e-01	6.868607e-03	6.868607e-03
2.827433e+00	2.932153e+00	6.438549e-01	9.364224e-03	9.364224e-03
2.932153e+00	3.036873e+00	6.825079e-01	5.309138e-03	5.309138e-03
3.036873e+00	3.141593e+00	6.778302e-01	6.552946e-03	6.552946e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.798690e-02	4.467904e-03	4.467904e-03
1.047198e-01	2.094395e-01	2.844312e-02	8.798697e-03	8.798697e-03
2.094395e-01	3.141593e-01	2.063410e-02	5.056282e-03	5.056282e-03
3.141593e-01	4.188790e-01	3.301400e-02	5.620654e-03	5.620654e-03
4.188790e-01	5.235988e-01	4.147628e-02	5.445343e-03	5.445343e-03
5.235988e-01	6.283185e-01	3.540809e-02	5.641960e-03	5.641960e-03
6.283185e-01	7.330383e-01	4.393264e-02	5.822173e-03	5.822173e-03
7.330383e-01	8.377580e-01	2.900160e-02	7.753505e-03	7.753505e-03
8.377580e-01	9.424778e-01	3.993097e-02	4.607385e-03	4.607385e-03
9.424778e-01	1.047198e+00	3.996034e-02	6.856167e-03	6.856167e-03
1.047198e+00	1.151917e+00	3.701918e-02	4.301186e-03	4.301186e-03
1.151917e+00	1.256637e+00	3.508788e-02	4.404704e-03	4.404704e-03
1.256637e+00	1.361357e+00	4.649950e-02	5.639422e-03	5.639422e-03
1.361357e+00	1.466077e+00	4.436600e-02	8.694104e-03	8.694104e-03
1.466077e+00	1.570796e+00	4.529185e-02	7.105531e-03	7.105531e-03
1.570796e+00	1.675516e+00	3.912127e-02	6.075495e-03	6.075495e-03
1.675516e+00	1.780236e+00	5.546073e-02	5.706417e-03	5.706417e-03
1.780236e+00	1.884956e+00	4.817349e-02	1.363652e-02	1.363652e-02
1.884956e+00	1.989675e+00	7.304740e-02	8.832295e-03	8.832295e-03
1.989675e+00	2.094395e+00	6.140044e-02	6.923693e-03	6.923693e-03
2.094395e+00	2.199115e+00	6.796570e-02	6.034891e-03	6.034891e-03
2.199115e+00	2.303835e+00	5.759673e-02	9.309708e-03	9.309708e-03
2.303835e+00	2.408554e+00	8.446526e-02	7.391231e-03	7.391231e-03
2.408554e+00	2.513274e+00	8.135844e-02	8.523743e-03	8.523743e-03
2.513274e+00	2.617994e+00	7.221107e-02	7.008519e-03	7.008519e-03
2.617994e+00	2.722714e+00	7.609257e-02	8.563293e-03	8.563293e-03
2.722714e+00	2.827433e+00	7.599801e-02	1.106947e-02	1.106947e-02
2.827433e+00	2.932153e+00	8.506196e-02	1.411042e-02	1.411042e-02
2.932153e+00	3.036873e+00	8.190286e-02	9.162277e-03	9.162277e-03
3.036873e+00	3.141593e+00	7.280124e-02	9.688580e-03	9.688580e-03
# END HISTO1D

