# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/j1j2_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2_pullangle
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/j1j2_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2_pullangle
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/j1j2_pullangle
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\theta_{j1,j2}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j2_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/j1j2_pullangle
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/j1j2_pullangle
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.321423e+00	9.869644e-03	9.869644e-03
5.000000e-02	1.000000e-01	1.311268e+00	1.588950e-02	1.588950e-02
1.000000e-01	1.500000e-01	1.362683e+00	9.977200e-03	9.977200e-03
1.500000e-01	2.000000e-01	1.380412e+00	8.777280e-03	8.777280e-03
2.000000e-01	2.500000e-01	1.394388e+00	1.469573e-02	1.469573e-02
2.500000e-01	3.000000e-01	1.409518e+00	9.647095e-03	9.647095e-03
3.000000e-01	3.500000e-01	1.335467e+00	1.904721e-02	1.904721e-02
3.500000e-01	4.000000e-01	1.302664e+00	1.248450e-02	1.248450e-02
4.000000e-01	4.500000e-01	1.286720e+00	1.071306e-02	1.071306e-02
4.500000e-01	5.000000e-01	1.307326e+00	1.017838e-02	1.017838e-02
5.000000e-01	5.500000e-01	1.335427e+00	1.355032e-02	1.355032e-02
5.500000e-01	6.000000e-01	1.306572e+00	2.984228e-02	2.984228e-02
6.000000e-01	6.500000e-01	1.392706e+00	1.100478e-02	1.100478e-02
6.500000e-01	7.000000e-01	1.424564e+00	9.763045e-03	9.763045e-03
7.000000e-01	7.500000e-01	1.464225e+00	1.079183e-02	1.079183e-02
7.500000e-01	8.000000e-01	1.493704e+00	1.017399e-02	1.017399e-02
8.000000e-01	8.500000e-01	1.474007e+00	9.958020e-03	9.958020e-03
8.500000e-01	9.000000e-01	1.466142e+00	7.222504e-03	7.222504e-03
9.000000e-01	9.500000e-01	1.418154e+00	1.034324e-02	1.034324e-02
9.500000e-01	1.000000e+00	1.430153e+00	9.082279e-03	9.082279e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2_pullangle
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2_pullangle
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.747895e-01	1.620261e-02	1.620261e-02
5.000000e-02	1.000000e-01	1.627623e-01	1.639294e-02	1.639294e-02
1.000000e-01	1.500000e-01	1.644983e-01	1.693660e-02	1.693660e-02
1.500000e-01	2.000000e-01	1.643048e-01	2.555180e-02	2.555180e-02
2.000000e-01	2.500000e-01	1.826614e-01	2.576072e-02	2.576072e-02
2.500000e-01	3.000000e-01	1.511635e-01	1.558284e-02	1.558284e-02
3.000000e-01	3.500000e-01	1.744502e-01	2.266889e-02	2.266889e-02
3.500000e-01	4.000000e-01	1.256487e-01	2.713421e-02	2.713421e-02
4.000000e-01	4.500000e-01	1.689562e-01	2.405628e-02	2.405628e-02
4.500000e-01	5.000000e-01	1.821094e-01	2.312689e-02	2.312689e-02
5.000000e-01	5.500000e-01	1.163108e-01	1.705701e-02	1.705701e-02
5.500000e-01	6.000000e-01	1.210663e-01	1.714142e-02	1.714142e-02
6.000000e-01	6.500000e-01	1.353071e-01	1.546554e-02	1.546554e-02
6.500000e-01	7.000000e-01	1.777204e-01	1.705448e-02	1.705448e-02
7.000000e-01	7.500000e-01	1.941054e-01	1.919017e-02	1.919017e-02
7.500000e-01	8.000000e-01	2.100718e-01	2.072096e-02	2.072096e-02
8.000000e-01	8.500000e-01	1.589010e-01	1.726091e-02	1.726091e-02
8.500000e-01	9.000000e-01	1.917205e-01	1.517757e-02	1.517757e-02
9.000000e-01	9.500000e-01	1.681428e-01	1.896252e-02	1.896252e-02
9.500000e-01	1.000000e+00	1.859404e-01	2.181222e-02	2.181222e-02
# END HISTO1D

