# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$|y_{j_1}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{j_1}|$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet1_y_abs_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet1_y_abs_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	5.497816e-01	4.721821e-03	4.721821e-03
1.600000e-01	3.200000e-01	5.505189e-01	6.242500e-03	6.242500e-03
3.200000e-01	4.800000e-01	5.454569e-01	4.968410e-03	4.968410e-03
4.800000e-01	6.400000e-01	5.421102e-01	5.375032e-03	5.375032e-03
6.400000e-01	8.000000e-01	5.365756e-01	6.055055e-03	6.055055e-03
8.000000e-01	9.600000e-01	5.233761e-01	9.826145e-03	9.826145e-03
9.600000e-01	1.120000e+00	5.199827e-01	3.409565e-03	3.409565e-03
1.120000e+00	1.280000e+00	5.150119e-01	3.750732e-03	3.750732e-03
1.280000e+00	1.440000e+00	4.940101e-01	3.374502e-03	3.374502e-03
1.440000e+00	1.600000e+00	4.752280e-01	2.724011e-03	2.724011e-03
1.600000e+00	1.760000e+00	4.523045e-01	2.576230e-03	2.576230e-03
1.760000e+00	1.920000e+00	4.313791e-01	2.705398e-03	2.705398e-03
1.920000e+00	2.080000e+00	4.031597e-01	2.850652e-03	2.850652e-03
2.080000e+00	2.240000e+00	3.631696e-01	2.247866e-03	2.247866e-03
2.240000e+00	2.400000e+00	3.268058e-01	2.288115e-03	2.288115e-03
2.400000e+00	2.560000e+00	2.873941e-01	1.401492e-03	1.401492e-03
2.560000e+00	2.720000e+00	2.504281e-01	1.519897e-03	1.519897e-03
2.720000e+00	2.880000e+00	2.118137e-01	7.407049e-04	7.407049e-04
2.880000e+00	3.040000e+00	1.731904e-01	1.105296e-03	1.105296e-03
3.040000e+00	3.200000e+00	1.390420e-01	5.763441e-04	5.763441e-04
3.200000e+00	3.360000e+00	1.058000e-01	1.685117e-03	1.685117e-03
3.360000e+00	3.520000e+00	8.025200e-02	3.170437e-04	3.170437e-04
