# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$|y_{j2}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{j2}|$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet2_y_abs_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet2_y_abs_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	4.165127e-01	5.849553e-03	5.849553e-03
1.600000e-01	3.200000e-01	4.164693e-01	3.457836e-03	3.457836e-03
3.200000e-01	4.800000e-01	4.322651e-01	5.623696e-03	5.623696e-03
4.800000e-01	6.400000e-01	4.269310e-01	3.692262e-03	3.692262e-03
6.400000e-01	8.000000e-01	4.323893e-01	3.487191e-03	3.487191e-03
8.000000e-01	9.600000e-01	4.385883e-01	3.070004e-03	3.070004e-03
9.600000e-01	1.120000e+00	4.364876e-01	3.081739e-03	3.081739e-03
1.120000e+00	1.280000e+00	4.398930e-01	3.372636e-03	3.372636e-03
1.280000e+00	1.440000e+00	4.378401e-01	3.227656e-03	3.227656e-03
1.440000e+00	1.600000e+00	4.297807e-01	3.285278e-03	3.285278e-03
1.600000e+00	1.760000e+00	4.307136e-01	3.291396e-03	3.291396e-03
1.760000e+00	1.920000e+00	4.099768e-01	9.428365e-03	9.428365e-03
1.920000e+00	2.080000e+00	4.105337e-01	3.138541e-03	3.138541e-03
2.080000e+00	2.240000e+00	3.903859e-01	5.115419e-03	5.115419e-03
2.240000e+00	2.400000e+00	3.724669e-01	3.679212e-03	3.679212e-03
2.400000e+00	2.560000e+00	3.527724e-01	2.657746e-03	2.657746e-03
2.560000e+00	2.720000e+00	3.295413e-01	1.921161e-03	1.921161e-03
2.720000e+00	2.880000e+00	2.949141e-01	2.498536e-03	2.498536e-03
2.880000e+00	3.040000e+00	2.715876e-01	1.626606e-03	1.626606e-03
3.040000e+00	3.200000e+00	2.335552e-01	1.541462e-03	1.541462e-03
3.200000e+00	3.360000e+00	1.992005e-01	1.406383e-03	1.406383e-03
3.360000e+00	3.520000e+00	1.669342e-01	1.154495e-03	1.154495e-03
