# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_3}^{incl}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.607379e-03	1.645438e-04	1.645438e-04
3.000000e+01	4.000000e+01	1.598662e-02	6.474451e-05	6.474451e-05
4.000000e+01	5.000000e+01	1.191387e-02	7.486090e-05	7.486090e-05
5.000000e+01	6.000000e+01	8.718468e-03	9.168294e-05	9.168294e-05
6.000000e+01	7.000000e+01	6.431803e-03	5.486454e-05	5.486454e-05
7.000000e+01	8.000000e+01	4.755520e-03	4.209837e-05	4.209837e-05
8.000000e+01	9.000000e+01	3.542288e-03	3.699303e-05	3.699303e-05
9.000000e+01	1.000000e+02	2.615621e-03	4.310951e-05	4.310951e-05
1.000000e+02	1.100000e+02	1.941218e-03	3.926688e-05	3.926688e-05
1.100000e+02	1.200000e+02	1.399487e-03	6.452487e-05	6.452487e-05
1.200000e+02	1.300000e+02	1.112379e-03	2.586449e-05	2.586449e-05
1.300000e+02	1.400000e+02	8.845110e-04	2.570185e-05	2.570185e-05
1.400000e+02	1.500000e+02	7.023380e-04	1.606860e-05	1.606860e-05
1.500000e+02	1.600000e+02	5.588090e-04	2.864657e-05	2.864657e-05
1.600000e+02	1.700000e+02	4.449425e-04	1.429041e-05	1.429041e-05
1.700000e+02	1.800000e+02	3.643707e-04	3.474074e-05	3.474074e-05
1.800000e+02	1.900000e+02	3.069520e-04	1.944773e-05	1.944773e-05
1.900000e+02	2.000000e+02	2.575938e-04	1.605613e-05	1.605613e-05
2.000000e+02	2.100000e+02	1.981913e-04	1.033053e-05	1.033053e-05
2.100000e+02	2.200000e+02	1.681231e-04	1.082667e-05	1.082667e-05
2.200000e+02	2.300000e+02	1.053253e-04	1.049312e-05	1.049312e-05
2.300000e+02	2.400000e+02	9.211700e-05	1.903859e-05	1.903859e-05
2.400000e+02	2.500000e+02	8.837798e-05	7.505568e-06	7.505568e-06
2.500000e+02	2.600000e+02	8.684574e-05	8.519184e-06	8.519184e-06
2.600000e+02	2.700000e+02	5.565662e-05	8.479545e-06	8.479545e-06
2.700000e+02	2.800000e+02	4.852152e-05	5.659594e-06	5.659594e-06
2.800000e+02	2.900000e+02	4.174524e-05	6.248098e-06	6.248098e-06
2.900000e+02	3.000000e+02	4.593187e-05	5.442510e-06	5.442510e-06
3.000000e+02	3.100000e+02	2.999107e-05	5.362466e-06	5.362466e-06
3.100000e+02	3.200000e+02	3.287585e-05	5.711131e-06	5.711131e-06
3.200000e+02	3.300000e+02	2.643386e-05	3.514905e-06	3.514905e-06
3.300000e+02	3.400000e+02	1.805223e-05	1.900109e-06	1.900109e-06
3.400000e+02	3.500000e+02	2.217524e-05	8.184445e-06	8.184445e-06
3.500000e+02	3.600000e+02	1.379749e-05	5.565888e-06	5.565888e-06
3.600000e+02	3.700000e+02	1.288703e-05	1.942145e-06	1.942145e-06
3.700000e+02	3.800000e+02	1.608784e-05	2.119150e-06	2.119150e-06
3.800000e+02	3.900000e+02	9.468580e-06	1.536752e-06	1.536752e-06
3.900000e+02	4.000000e+02	5.794081e-07	5.466310e-06	5.466310e-06
4.000000e+02	4.100000e+02	1.311365e-05	4.010471e-06	4.010471e-06
4.100000e+02	4.200000e+02	4.290420e-06	3.931208e-06	3.931208e-06
4.200000e+02	4.300000e+02	2.571497e-06	2.372605e-06	2.372605e-06
4.300000e+02	4.400000e+02	4.540431e-06	1.082612e-06	1.082612e-06
4.400000e+02	4.500000e+02	5.301370e-06	1.589031e-06	1.589031e-06
4.500000e+02	4.600000e+02	4.456734e-06	7.923978e-07	7.923978e-07
4.600000e+02	4.700000e+02	5.088651e-06	1.857433e-06	1.857433e-06
4.700000e+02	4.800000e+02	4.960568e-06	1.476179e-06	1.476179e-06
4.800000e+02	4.900000e+02	3.564796e-06	6.339162e-07	6.339162e-07
4.900000e+02	5.000000e+02	8.668828e-07	9.011851e-07	9.011851e-07
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	7.457547e-05	1.286630e-04	1.286630e-04
3.000000e+01	4.000000e+01	1.048401e-03	1.595126e-04	1.595126e-04
4.000000e+01	5.000000e+01	1.532634e-03	1.489986e-04	1.489986e-04
5.000000e+01	6.000000e+01	1.630313e-03	1.339757e-04	1.339757e-04
6.000000e+01	7.000000e+01	1.375776e-03	1.113742e-04	1.113742e-04
7.000000e+01	8.000000e+01	1.475389e-03	1.112051e-04	1.112051e-04
8.000000e+01	9.000000e+01	1.111195e-03	8.928273e-05	8.928273e-05
9.000000e+01	1.000000e+02	1.140257e-03	1.029603e-04	1.029603e-04
1.000000e+02	1.100000e+02	9.514457e-04	7.494750e-05	7.494750e-05
1.100000e+02	1.200000e+02	6.450184e-04	6.244926e-05	6.244926e-05
1.200000e+02	1.300000e+02	5.471589e-04	8.304352e-05	8.304352e-05
1.300000e+02	1.400000e+02	4.551517e-04	4.754856e-05	4.754856e-05
1.400000e+02	1.500000e+02	3.224130e-04	4.659423e-05	4.659423e-05
1.500000e+02	1.600000e+02	2.833345e-04	4.409113e-05	4.409113e-05
1.600000e+02	1.700000e+02	2.435271e-04	2.649103e-05	2.649103e-05
1.700000e+02	1.800000e+02	2.402161e-04	3.783120e-05	3.783120e-05
1.800000e+02	1.900000e+02	1.457571e-04	2.910479e-05	2.910479e-05
1.900000e+02	2.000000e+02	6.138744e-05	4.862175e-05	4.862175e-05
2.000000e+02	2.100000e+02	1.220212e-04	2.607183e-05	2.607183e-05
2.100000e+02	2.200000e+02	7.455298e-05	3.711567e-05	3.711567e-05
2.200000e+02	2.300000e+02	1.316040e-04	2.623184e-05	2.623184e-05
2.300000e+02	2.400000e+02	1.003110e-04	1.596996e-05	1.596996e-05
2.400000e+02	2.500000e+02	6.518119e-05	1.282439e-05	1.282439e-05
2.500000e+02	2.600000e+02	5.020216e-05	1.127432e-05	1.127432e-05
2.600000e+02	2.700000e+02	7.307670e-05	2.811478e-05	2.811478e-05
2.700000e+02	2.800000e+02	4.638146e-05	1.641640e-05	1.641640e-05
2.800000e+02	2.900000e+02	3.410250e-05	1.080768e-05	1.080768e-05
2.900000e+02	3.000000e+02	-1.400072e-05	2.880802e-05	2.880802e-05
3.000000e+02	3.100000e+02	1.947061e-05	1.494110e-05	1.494110e-05
3.100000e+02	3.200000e+02	1.054016e-05	1.648675e-05	1.648675e-05
3.200000e+02	3.300000e+02	1.547722e-05	1.597736e-05	1.597736e-05
3.300000e+02	3.400000e+02	2.169533e-05	7.267464e-06	7.267464e-06
3.400000e+02	3.500000e+02	5.523709e-06	4.837448e-06	4.837448e-06
3.500000e+02	3.600000e+02	2.577732e-05	6.469779e-06	6.469779e-06
3.600000e+02	3.700000e+02	4.341784e-06	6.546390e-06	6.546390e-06
3.700000e+02	3.800000e+02	3.421315e-05	1.355287e-05	1.355287e-05
3.800000e+02	3.900000e+02	2.075905e-05	2.042782e-05	2.042782e-05
3.900000e+02	4.000000e+02	1.290381e-05	7.163850e-06	7.163850e-06
4.000000e+02	4.100000e+02	9.911484e-07	5.772221e-06	5.772221e-06
4.100000e+02	4.200000e+02	3.618490e-06	5.056150e-06	5.056150e-06
4.200000e+02	4.300000e+02	5.249819e-06	5.335616e-06	5.335616e-06
4.300000e+02	4.400000e+02	6.900840e-06	2.764252e-06	2.764252e-06
4.400000e+02	4.500000e+02	2.825043e-06	6.836908e-06	6.836908e-06
4.500000e+02	4.600000e+02	-6.675772e-06	1.010246e-05	1.010246e-05
4.600000e+02	4.700000e+02	3.697961e-06	1.872363e-06	1.872363e-06
4.700000e+02	4.800000e+02	-3.981329e-06	8.410943e-06	8.410943e-06
4.800000e+02	4.900000e+02	1.030434e-06	1.386221e-06	1.386221e-06
4.900000e+02	5.000000e+02	9.272120e-07	2.372885e-06	2.372885e-06
# END HISTO1D

