# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet4_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet4_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet4_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_4}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{incl}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet4_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet4_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_INC/jet4_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.725748e-03	5.690020e-05	5.690020e-05
-4.400000e+00	-4.200000e+00	4.714138e-03	1.512374e-04	1.512374e-04
-4.200000e+00	-4.000000e+00	7.017035e-03	4.051504e-04	4.051504e-04
-4.000000e+00	-3.800000e+00	9.072800e-03	3.166950e-04	3.166950e-04
-3.800000e+00	-3.600000e+00	1.303469e-02	5.962942e-04	5.962942e-04
-3.600000e+00	-3.400000e+00	1.562754e-02	5.021680e-04	5.021680e-04
-3.400000e+00	-3.200000e+00	1.910793e-02	5.452635e-04	5.452635e-04
-3.200000e+00	-3.000000e+00	2.330137e-02	6.616734e-04	6.616734e-04
-3.000000e+00	-2.800000e+00	2.827323e-02	1.325533e-03	1.325533e-03
-2.800000e+00	-2.600000e+00	3.164798e-02	7.754866e-04	7.754866e-04
-2.600000e+00	-2.400000e+00	3.559275e-02	1.247665e-03	1.247665e-03
-2.400000e+00	-2.200000e+00	3.702556e-02	6.859993e-04	6.859993e-04
-2.200000e+00	-2.000000e+00	4.140170e-02	1.092617e-03	1.092617e-03
-2.000000e+00	-1.800000e+00	4.334029e-02	1.226214e-03	1.226214e-03
-1.800000e+00	-1.600000e+00	4.420427e-02	1.125175e-03	1.125175e-03
-1.600000e+00	-1.400000e+00	4.249498e-02	1.024219e-03	1.024219e-03
-1.400000e+00	-1.200000e+00	4.338176e-02	9.026449e-04	9.026449e-04
-1.200000e+00	-1.000000e+00	4.568006e-02	1.595293e-03	1.595293e-03
-1.000000e+00	-8.000000e-01	4.251576e-02	1.103213e-03	1.103213e-03
-8.000000e-01	-6.000000e-01	4.627034e-02	2.604704e-03	2.604704e-03
-6.000000e-01	-4.000000e-01	4.229339e-02	1.299632e-03	1.299632e-03
-4.000000e-01	-2.000000e-01	4.251715e-02	1.176055e-03	1.176055e-03
-2.000000e-01	0.000000e+00	4.035901e-02	8.560499e-04	8.560499e-04
0.000000e+00	2.000000e-01	4.208622e-02	9.792857e-04	9.792857e-04
2.000000e-01	4.000000e-01	4.046538e-02	1.360514e-03	1.360514e-03
4.000000e-01	6.000000e-01	4.312503e-02	9.618016e-04	9.618016e-04
6.000000e-01	8.000000e-01	4.288458e-02	7.514892e-04	7.514892e-04
8.000000e-01	1.000000e+00	4.223775e-02	1.171716e-03	1.171716e-03
1.000000e+00	1.200000e+00	4.246692e-02	1.099535e-03	1.099535e-03
1.200000e+00	1.400000e+00	4.323581e-02	9.850713e-04	9.850713e-04
1.400000e+00	1.600000e+00	4.483197e-02	1.660961e-03	1.660961e-03
1.600000e+00	1.800000e+00	4.189427e-02	8.446721e-04	8.446721e-04
1.800000e+00	2.000000e+00	4.091480e-02	8.611009e-04	8.611009e-04
2.000000e+00	2.200000e+00	4.002301e-02	7.181041e-04	7.181041e-04
2.200000e+00	2.400000e+00	3.663629e-02	1.011753e-03	1.011753e-03
2.400000e+00	2.600000e+00	3.489976e-02	6.923841e-04	6.923841e-04
2.600000e+00	2.800000e+00	2.817450e-02	3.477183e-03	3.477183e-03
2.800000e+00	3.000000e+00	2.677949e-02	6.902840e-04	6.902840e-04
3.000000e+00	3.200000e+00	2.369422e-02	4.490056e-04	4.490056e-04
3.200000e+00	3.400000e+00	1.950848e-02	4.068810e-04	4.068810e-04
3.400000e+00	3.600000e+00	1.641400e-02	3.070734e-04	3.070734e-04
3.600000e+00	3.800000e+00	1.272159e-02	3.187302e-04	3.187302e-04
3.800000e+00	4.000000e+00	1.016851e-02	2.378983e-04	2.378983e-04
4.000000e+00	4.200000e+00	6.996930e-03	2.414529e-04	2.414529e-04
4.200000e+00	4.400000e+00	5.019395e-03	2.379402e-04	2.379402e-04
4.400000e+00	4.600000e+00	1.734755e-03	8.526802e-05	8.526802e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet4_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_INC/jet4_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.339911e-03	3.819080e-04	3.819080e-04
-4.400000e+00	-4.200000e+00	2.336409e-03	1.798458e-04	1.798458e-04
-4.200000e+00	-4.000000e+00	3.443189e-03	3.865878e-04	3.865878e-04
-4.000000e+00	-3.800000e+00	4.236936e-03	2.615783e-04	2.615783e-04
-3.800000e+00	-3.600000e+00	5.637180e-03	7.094894e-04	7.094894e-04
-3.600000e+00	-3.400000e+00	5.876820e-03	6.876131e-04	6.876131e-04
-3.400000e+00	-3.200000e+00	8.845320e-03	7.853432e-04	7.853432e-04
-3.200000e+00	-3.000000e+00	1.167552e-02	1.596925e-03	1.596925e-03
-3.000000e+00	-2.800000e+00	1.241849e-02	1.039693e-03	1.039693e-03
-2.800000e+00	-2.600000e+00	1.331939e-02	1.711345e-03	1.711345e-03
-2.600000e+00	-2.400000e+00	1.556699e-02	1.036765e-03	1.036765e-03
-2.400000e+00	-2.200000e+00	1.276577e-02	2.411284e-03	2.411284e-03
-2.200000e+00	-2.000000e+00	1.518725e-02	1.200287e-03	1.200287e-03
-2.000000e+00	-1.800000e+00	1.906056e-02	1.385692e-03	1.385692e-03
-1.800000e+00	-1.600000e+00	1.636636e-02	1.362392e-03	1.362392e-03
-1.600000e+00	-1.400000e+00	2.040442e-02	2.313703e-03	2.313703e-03
-1.400000e+00	-1.200000e+00	1.697646e-02	1.271068e-03	1.271068e-03
-1.200000e+00	-1.000000e+00	1.848454e-02	1.723182e-03	1.723182e-03
-1.000000e+00	-8.000000e-01	2.642101e-02	3.884006e-03	3.884006e-03
-8.000000e-01	-6.000000e-01	1.834877e-02	1.764871e-03	1.764871e-03
-6.000000e-01	-4.000000e-01	1.984113e-02	1.996108e-03	1.996108e-03
-4.000000e-01	-2.000000e-01	1.943893e-02	1.763441e-03	1.763441e-03
-2.000000e-01	0.000000e+00	1.280441e-02	1.876790e-03	1.876790e-03
0.000000e+00	2.000000e-01	1.476954e-02	2.058665e-03	2.058665e-03
2.000000e-01	4.000000e-01	1.215852e-02	2.779436e-03	2.779436e-03
4.000000e-01	6.000000e-01	1.705159e-02	1.151572e-03	1.151572e-03
6.000000e-01	8.000000e-01	1.505347e-02	2.267624e-03	2.267624e-03
8.000000e-01	1.000000e+00	2.211334e-02	4.359578e-03	4.359578e-03
1.000000e+00	1.200000e+00	1.869246e-02	2.595229e-03	2.595229e-03
1.200000e+00	1.400000e+00	1.251190e-02	2.883884e-03	2.883884e-03
1.400000e+00	1.600000e+00	1.654226e-02	1.375951e-03	1.375951e-03
1.600000e+00	1.800000e+00	1.639296e-02	1.339669e-03	1.339669e-03
1.800000e+00	2.000000e+00	1.517819e-02	1.499111e-03	1.499111e-03
2.000000e+00	2.200000e+00	1.746337e-02	1.806737e-03	1.806737e-03
2.200000e+00	2.400000e+00	1.493951e-02	9.709659e-04	9.709659e-04
2.400000e+00	2.600000e+00	1.469260e-02	1.126218e-03	1.126218e-03
2.600000e+00	2.800000e+00	1.151064e-02	1.220849e-03	1.220849e-03
2.800000e+00	3.000000e+00	1.145265e-02	1.470433e-03	1.470433e-03
3.000000e+00	3.200000e+00	1.012258e-02	7.167084e-04	7.167084e-04
3.200000e+00	3.400000e+00	1.015202e-02	8.611356e-04	8.611356e-04
3.400000e+00	3.600000e+00	6.522355e-03	4.936103e-04	4.936103e-04
3.600000e+00	3.800000e+00	5.691345e-03	3.971017e-04	3.971017e-04
3.800000e+00	4.000000e+00	4.408563e-03	4.048475e-04	4.048475e-04
4.000000e+00	4.200000e+00	3.395197e-03	2.567194e-04	2.567194e-04
4.200000e+00	4.400000e+00	2.371505e-03	1.823549e-04	1.823549e-04
4.400000e+00	4.600000e+00	9.565365e-04	1.919980e-04	1.919980e-04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

