# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	8.954558e-04	7.888408e-05	7.888408e-05
-2.760000e+00	-2.520000e+00	1.652585e-03	9.682804e-05	9.682804e-05
-2.520000e+00	-2.280000e+00	3.357434e-03	3.050134e-04	3.050134e-04
-2.280000e+00	-2.040000e+00	4.799763e-03	2.242974e-04	2.242974e-04
-2.040000e+00	-1.800000e+00	8.767042e-03	4.076399e-04	4.076399e-04
-1.800000e+00	-1.560000e+00	1.356498e-02	4.796320e-04	4.796320e-04
-1.560000e+00	-1.320000e+00	2.803639e-02	5.892280e-04	5.892280e-04
-1.320000e+00	-1.080000e+00	4.838321e-02	1.044090e-03	1.044090e-03
-1.080000e+00	-8.400000e-01	9.668483e-02	1.349022e-03	1.349022e-03
-8.400000e-01	-6.000000e-01	1.959508e-01	2.052795e-03	2.052795e-03
-6.000000e-01	-3.600000e-01	4.242092e-01	2.484926e-03	2.484926e-03
-3.600000e-01	-1.200000e-01	7.672925e-01	3.249381e-03	3.249381e-03
-1.200000e-01	1.200000e-01	9.573925e-01	2.949034e-03	2.949034e-03
1.200000e-01	3.600000e-01	7.740042e-01	2.946307e-03	2.946307e-03
3.600000e-01	6.000000e-01	4.275463e-01	3.758648e-03	3.758648e-03
6.000000e-01	8.400000e-01	1.968605e-01	2.915389e-03	2.915389e-03
8.400000e-01	1.080000e+00	9.748625e-02	1.259134e-03	1.259134e-03
1.080000e+00	1.320000e+00	4.795212e-02	8.854136e-04	8.854136e-04
1.320000e+00	1.560000e+00	2.805401e-02	8.499498e-04	8.499498e-04
1.560000e+00	1.800000e+00	1.524403e-02	4.975405e-04	4.975405e-04
1.800000e+00	2.040000e+00	8.567004e-03	3.882779e-04	3.882779e-04
2.040000e+00	2.280000e+00	5.334679e-03	4.445421e-04	4.445421e-04
2.280000e+00	2.520000e+00	2.839133e-03	1.898808e-04	1.898808e-04
2.520000e+00	2.760000e+00	1.938857e-03	1.150526e-04	1.150526e-04
2.760000e+00	3.000000e+00	1.032705e-03	8.138579e-05	8.138579e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
