# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H_jj_sep //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H_jj_sep //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jj_sep
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.652541e+00	7.457330e-03	7.457330e-03
2.000000e-01	4.000000e-01	3.932370e-01	2.741609e-03	2.741609e-03
4.000000e-01	6.000000e-01	4.397569e-01	2.888102e-03	2.888102e-03
6.000000e-01	8.000000e-01	4.388076e-01	2.894445e-03	2.894445e-03
8.000000e-01	1.000000e+00	4.184576e-01	2.384851e-03	2.384851e-03
1.000000e+00	1.200000e+00	3.760016e-01	2.351849e-03	2.351849e-03
1.200000e+00	1.400000e+00	3.228458e-01	1.646509e-03	1.646509e-03
1.400000e+00	1.600000e+00	2.684132e-01	1.328805e-03	1.328805e-03
1.600000e+00	1.800000e+00	2.114127e-01	1.348467e-03	1.348467e-03
1.800000e+00	2.000000e+00	1.610050e-01	8.979992e-04	8.979992e-04
2.000000e+00	2.200000e+00	1.147211e-01	4.688424e-04	4.688424e-04
2.200000e+00	2.400000e+00	7.868610e-02	3.636258e-04	3.636258e-04
2.400000e+00	2.600000e+00	5.098250e-02	2.785580e-04	2.785580e-04
2.600000e+00	2.800000e+00	3.060925e-02	2.889997e-04	2.889997e-04
2.800000e+00	3.000000e+00	1.787532e-02	8.532724e-05	8.532724e-05
3.000000e+00	3.200000e+00	9.471810e-03	5.226784e-05	5.226784e-05
3.200000e+00	3.400000e+00	4.660965e-03	2.977991e-05	2.977991e-05
3.400000e+00	3.600000e+00	2.045052e-03	1.355488e-05	1.355488e-05
3.600000e+00	3.800000e+00	7.904850e-04	7.385484e-06	7.385484e-06
3.800000e+00	4.000000e+00	2.484334e-04	4.203278e-06	4.203278e-06
4.000000e+00	4.200000e+00	6.306350e-05	2.463594e-06	2.463594e-06
4.200000e+00	4.400000e+00	8.252165e-06	2.052703e-07	2.052703e-07
4.400000e+00	4.600000e+00	1.546616e-07	1.756461e-08	1.756461e-08
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jj_sep
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.341978e-01	1.202996e-02	1.202996e-02
2.000000e-01	4.000000e-01	4.278990e-02	5.639060e-03	5.639060e-03
4.000000e-01	6.000000e-01	5.086725e-02	5.959857e-03	5.959857e-03
6.000000e-01	8.000000e-01	5.734385e-02	6.656516e-03	6.656516e-03
8.000000e-01	1.000000e+00	5.614730e-02	3.902132e-03	3.902132e-03
1.000000e+00	1.200000e+00	6.261650e-02	3.674102e-03	3.674102e-03
1.200000e+00	1.400000e+00	6.089285e-02	3.353557e-03	3.353557e-03
1.400000e+00	1.600000e+00	5.337575e-02	3.376990e-03	3.376990e-03
1.600000e+00	1.800000e+00	4.093374e-02	2.745662e-03	2.745662e-03
1.800000e+00	2.000000e+00	3.284714e-02	1.675997e-03	1.675997e-03
2.000000e+00	2.200000e+00	2.354345e-02	1.334541e-03	1.334541e-03
2.200000e+00	2.400000e+00	1.785752e-02	1.096890e-03	1.096890e-03
2.400000e+00	2.600000e+00	1.236571e-02	5.512025e-04	5.512025e-04
2.600000e+00	2.800000e+00	9.129535e-03	6.964284e-04	6.964284e-04
2.800000e+00	3.000000e+00	5.077665e-03	1.837099e-04	1.837099e-04
3.000000e+00	3.200000e+00	3.265912e-03	2.201016e-04	2.201016e-04
3.200000e+00	3.400000e+00	2.126852e-03	3.616897e-04	3.616897e-04
3.400000e+00	3.600000e+00	7.771695e-04	2.368146e-05	2.368146e-05
3.600000e+00	3.800000e+00	3.005948e-04	3.585102e-05	3.585102e-05
3.800000e+00	4.000000e+00	1.194227e-04	3.563555e-06	3.563555e-06
4.000000e+00	4.200000e+00	1.137202e-04	7.864065e-05	7.864065e-05
4.200000e+00	4.400000e+00	5.314045e-06	2.765320e-07	2.765320e-07
4.400000e+00	4.600000e+00	1.325847e-07	1.301959e-08	1.301959e-08
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

