# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/avgNGapJets_mjj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=h(2*,3*,4)
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	1.179581e+00	4.890962e-03	4.890962e-03
3.000000e+02	4.500000e+02	1.208074e+00	5.517984e-03	5.517984e-03
4.500000e+02	6.000000e+02	1.230395e+00	6.462249e-03	6.462249e-03
6.000000e+02	7.500000e+02	1.262804e+00	1.061061e-02	1.061061e-02
7.500000e+02	9.000000e+02	1.287748e+00	1.040406e-02	1.040406e-02
9.000000e+02	1.050000e+03	1.275576e+00	1.249012e-02	1.249012e-02
1.050000e+03	1.200000e+03	1.286436e+00	1.643308e-02	1.643308e-02
1.200000e+03	1.350000e+03	1.313677e+00	2.170317e-02	2.170317e-02
1.350000e+03	1.500000e+03	1.301457e+00	2.305029e-02	2.305029e-02
1.500000e+03	1.650000e+03	1.301787e+00	3.029030e-02	3.029030e-02
1.650000e+03	1.800000e+03	1.348119e+00	3.627648e-02	3.627648e-02
1.800000e+03	1.950000e+03	1.343303e+00	5.416647e-02	5.416647e-02
1.950000e+03	2.100000e+03	1.326965e+00	5.020507e-02	5.020507e-02
2.100000e+03	2.250000e+03	1.312344e+00	4.707548e-02	4.707548e-02
2.250000e+03	2.400000e+03	1.400190e+00	6.320818e-02	6.320818e-02
2.400000e+03	2.550000e+03	1.315612e+00	4.249932e-02	4.249932e-02
2.550000e+03	2.700000e+03	1.276162e+00	9.848988e-02	9.848988e-02
2.700000e+03	2.850000e+03	1.414027e+00	1.512779e-01	1.512779e-01
2.850000e+03	3.000000e+03	1.288048e+00	5.818396e-02	5.818396e-02
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=h(2*,3*,4)-ffac
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	1.256330e+00	2.636357e-02	2.636357e-02
3.000000e+02	4.500000e+02	1.335669e+00	2.276800e-02	2.276800e-02
4.500000e+02	6.000000e+02	1.384014e+00	2.419661e-02	2.419661e-02
6.000000e+02	7.500000e+02	1.398011e+00	2.944327e-02	2.944327e-02
7.500000e+02	9.000000e+02	1.473271e+00	4.664080e-02	4.664080e-02
9.000000e+02	1.050000e+03	1.447211e+00	5.111563e-02	5.111563e-02
1.050000e+03	1.200000e+03	1.463339e+00	5.128651e-02	5.128651e-02
1.200000e+03	1.350000e+03	1.530209e+00	8.178256e-02	8.178256e-02
1.350000e+03	1.500000e+03	1.470009e+00	1.361695e-01	1.361695e-01
1.500000e+03	1.650000e+03	1.711955e+00	1.873170e-01	1.873170e-01
1.650000e+03	1.800000e+03	1.430803e+00	9.462662e-02	9.462662e-02
1.800000e+03	1.950000e+03	1.439921e+00	1.093077e-01	1.093077e-01
1.950000e+03	2.100000e+03	1.717280e+00	4.636149e-01	4.636149e-01
2.100000e+03	2.250000e+03	1.351175e+00	9.437201e-02	9.437201e-02
2.250000e+03	2.400000e+03	1.434597e+00	5.308543e-01	5.308543e-01
2.400000e+03	2.550000e+03	1.301774e+00	nan	nan
2.550000e+03	2.700000e+03	1.401457e+00	1.837172e-01	1.837172e-01
2.700000e+03	2.850000e+03	1.601353e+00	3.917489e-01	3.917489e-01
2.850000e+03	3.000000e+03	1.539622e+00	3.863632e-01	3.863632e-01
# END HISTO1D

