# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaR_H_jj_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.873998e-04	2.146950e-05	2.146950e-05
2.000000e-01	4.000000e-01	7.728250e-04	4.896122e-05	4.896122e-05
4.000000e-01	6.000000e-01	1.390130e-03	7.115497e-05	7.115497e-05
6.000000e-01	8.000000e-01	1.949816e-03	8.356752e-05	8.356752e-05
8.000000e-01	1.000000e+00	2.897395e-03	9.399447e-05	9.399447e-05
1.000000e+00	1.200000e+00	3.819889e-03	2.303340e-04	2.303340e-04
1.200000e+00	1.400000e+00	3.842453e-03	9.168090e-04	9.168090e-04
1.400000e+00	1.600000e+00	6.411590e-03	1.669827e-04	1.669827e-04
1.600000e+00	1.800000e+00	8.674740e-03	2.000931e-04	2.000931e-04
1.800000e+00	2.000000e+00	1.176519e-02	3.910688e-04	3.910688e-04
2.000000e+00	2.200000e+00	1.861722e-02	5.041528e-04	5.041528e-04
2.200000e+00	2.400000e+00	2.872350e-02	7.123089e-04	7.123089e-04
2.400000e+00	2.600000e+00	5.290075e-02	6.179953e-04	6.179953e-04
2.600000e+00	2.800000e+00	1.157452e-01	1.290428e-03	1.290428e-03
2.800000e+00	3.000000e+00	3.284271e-01	2.199828e-03	2.199828e-03
3.000000e+00	3.200000e+00	1.362606e+00	4.858825e-03	4.858825e-03
3.200000e+00	3.400000e+00	8.710235e-01	5.591650e-03	5.591650e-03
3.400000e+00	3.600000e+00	5.296490e-01	3.221861e-03	3.221861e-03
3.600000e+00	3.800000e+00	3.740645e-01	1.906252e-03	1.906252e-03
3.800000e+00	4.000000e+00	2.772662e-01	2.025747e-03	2.025747e-03
4.000000e+00	4.200000e+00	2.088504e-01	1.290317e-03	1.290317e-03
