# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.140483e-01	2.483251e-03	2.483251e-03
1.047198e-01	2.094395e-01	2.158804e-01	2.096760e-03	2.096760e-03
2.094395e-01	3.141593e-01	2.200054e-01	3.404386e-03	3.404386e-03
3.141593e-01	4.188790e-01	2.190538e-01	2.757846e-03	2.757846e-03
4.188790e-01	5.235988e-01	2.299569e-01	2.490874e-03	2.490874e-03
5.235988e-01	6.283185e-01	2.315875e-01	2.263165e-03	2.263165e-03
6.283185e-01	7.330383e-01	2.392231e-01	2.219766e-03	2.219766e-03
7.330383e-01	8.377580e-01	2.455795e-01	2.857925e-03	2.857925e-03
8.377580e-01	9.424778e-01	2.535560e-01	2.786477e-03	2.786477e-03
9.424778e-01	1.047198e+00	2.711973e-01	3.654603e-03	3.654603e-03
1.047198e+00	1.151917e+00	2.795053e-01	2.622830e-03	2.622830e-03
1.151917e+00	1.256637e+00	2.969614e-01	3.655922e-03	3.655922e-03
1.256637e+00	1.361357e+00	3.069560e-01	5.972661e-03	5.972661e-03
1.361357e+00	1.466077e+00	3.286086e-01	3.170756e-03	3.170756e-03
1.466077e+00	1.570796e+00	3.520296e-01	3.666251e-03	3.666251e-03
1.570796e+00	1.675516e+00	3.669641e-01	7.259890e-03	7.259890e-03
1.675516e+00	1.780236e+00	3.925019e-01	4.048817e-03	4.048817e-03
1.780236e+00	1.884956e+00	3.976401e-01	3.166236e-03	3.166236e-03
1.884956e+00	1.989675e+00	4.082804e-01	3.900105e-03	3.900105e-03
1.989675e+00	2.094395e+00	4.146002e-01	3.284968e-03	3.284968e-03
2.094395e+00	2.199115e+00	4.113981e-01	2.488412e-03	2.488412e-03
2.199115e+00	2.303835e+00	4.002359e-01	4.379856e-03	4.379856e-03
2.303835e+00	2.408554e+00	3.946310e-01	3.369795e-03	3.369795e-03
2.408554e+00	2.513274e+00	3.821875e-01	3.663494e-03	3.663494e-03
2.513274e+00	2.617994e+00	3.673704e-01	2.532778e-03	2.532778e-03
2.617994e+00	2.722714e+00	3.590843e-01	2.720765e-03	2.720765e-03
2.722714e+00	2.827433e+00	3.422789e-01	3.201472e-03	3.201472e-03
2.827433e+00	2.932153e+00	3.361534e-01	3.078536e-03	3.078536e-03
2.932153e+00	3.036873e+00	3.342171e-01	2.811901e-03	2.811901e-03
3.036873e+00	3.141593e+00	3.235494e-01	2.922555e-03	2.922555e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hj2_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.891762e-02	5.035874e-03	5.035874e-03
1.047198e-01	2.094395e-01	3.070925e-02	4.179624e-03	4.179624e-03
2.094395e-01	3.141593e-01	2.275666e-02	5.229574e-03	5.229574e-03
3.141593e-01	4.188790e-01	3.282836e-02	4.213512e-03	4.213512e-03
4.188790e-01	5.235988e-01	2.266921e-02	5.866008e-03	5.866008e-03
5.235988e-01	6.283185e-01	8.855062e-03	9.613159e-03	9.613159e-03
6.283185e-01	7.330383e-01	2.325626e-02	4.303751e-03	4.303751e-03
7.330383e-01	8.377580e-01	2.624262e-02	4.325487e-03	4.325487e-03
8.377580e-01	9.424778e-01	3.673461e-02	4.153926e-03	4.153926e-03
9.424778e-01	1.047198e+00	3.213003e-02	5.390918e-03	5.390918e-03
1.047198e+00	1.151917e+00	4.281973e-02	5.310462e-03	5.310462e-03
1.151917e+00	1.256637e+00	3.915566e-02	6.086308e-03	6.086308e-03
1.256637e+00	1.361357e+00	5.025718e-02	9.508299e-03	9.508299e-03
1.361357e+00	1.466077e+00	4.190688e-02	7.041162e-03	7.041162e-03
1.466077e+00	1.570796e+00	3.894884e-02	5.981374e-03	5.981374e-03
1.570796e+00	1.675516e+00	5.485276e-02	5.903381e-03	5.903381e-03
1.675516e+00	1.780236e+00	6.027958e-02	6.245793e-03	6.245793e-03
1.780236e+00	1.884956e+00	5.726786e-02	6.605126e-03	6.605126e-03
1.884956e+00	1.989675e+00	5.864827e-02	7.200682e-03	7.200682e-03
1.989675e+00	2.094395e+00	5.648490e-02	6.120578e-03	6.120578e-03
2.094395e+00	2.199115e+00	6.486357e-02	1.104072e-02	1.104072e-02
2.199115e+00	2.303835e+00	6.404257e-02	4.927921e-03	4.927921e-03
2.303835e+00	2.408554e+00	5.546484e-02	7.204900e-03	7.204900e-03
2.408554e+00	2.513274e+00	4.644089e-02	5.908606e-03	5.908606e-03
2.513274e+00	2.617994e+00	5.660433e-02	6.961260e-03	6.961260e-03
2.617994e+00	2.722714e+00	5.137133e-02	5.625767e-03	5.625767e-03
2.722714e+00	2.827433e+00	4.908722e-02	6.322919e-03	6.322919e-03
2.827433e+00	2.932153e+00	4.093426e-02	4.028230e-03	4.028230e-03
2.932153e+00	3.036873e+00	4.240625e-02	6.271723e-03	6.271723e-03
3.036873e+00	3.141593e+00	3.635717e-02	4.471344e-03	4.471344e-03
# END HISTO1D

