# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	3.448828e-06	3.013243e-07	3.013243e-07
-4.400000e+00	-4.200000e+00	5.290205e-05	2.275884e-06	2.275884e-06
-4.200000e+00	-4.000000e+00	2.001507e-04	7.961986e-06	7.961986e-06
-4.000000e+00	-3.800000e+00	5.137925e-04	1.326835e-05	1.326835e-05
-3.800000e+00	-3.600000e+00	1.126906e-03	3.222130e-05	3.222130e-05
-3.600000e+00	-3.400000e+00	1.937169e-03	5.209467e-05	5.209467e-05
-3.400000e+00	-3.200000e+00	3.423450e-03	1.758408e-04	1.758408e-04
-3.200000e+00	-3.000000e+00	5.472620e-03	1.046594e-04	1.046594e-04
-3.000000e+00	-2.800000e+00	7.453095e-03	3.819447e-04	3.819447e-04
-2.800000e+00	-2.600000e+00	1.105646e-02	1.684250e-04	1.684250e-04
-2.600000e+00	-2.400000e+00	1.459277e-02	2.321845e-04	2.321845e-04
-2.400000e+00	-2.200000e+00	1.936377e-02	2.877303e-04	2.877303e-04
-2.200000e+00	-2.000000e+00	2.220170e-02	9.468302e-04	9.468302e-04
-2.000000e+00	-1.800000e+00	2.735045e-02	4.183124e-04	4.183124e-04
-1.800000e+00	-1.600000e+00	3.220927e-02	4.724229e-04	4.724229e-04
-1.600000e+00	-1.400000e+00	3.607930e-02	8.159626e-04	8.159626e-04
-1.400000e+00	-1.200000e+00	3.884836e-02	9.484933e-04	9.484933e-04
-1.200000e+00	-1.000000e+00	4.194443e-02	6.946550e-04	6.946550e-04
-1.000000e+00	-8.000000e-01	4.464325e-02	7.547831e-04	7.547831e-04
-8.000000e-01	-6.000000e-01	4.986514e-02	1.411284e-03	1.411284e-03
-6.000000e-01	-4.000000e-01	4.980118e-02	9.287253e-04	9.287253e-04
-4.000000e-01	-2.000000e-01	4.908666e-02	1.108471e-03	1.108471e-03
-2.000000e-01	0.000000e+00	5.071265e-02	1.133532e-03	1.133532e-03
0.000000e+00	2.000000e-01	5.089770e-02	9.972340e-04	9.972340e-04
2.000000e-01	4.000000e-01	4.991774e-02	8.597199e-04	8.597199e-04
4.000000e-01	6.000000e-01	4.851265e-02	9.775875e-04	9.775875e-04
6.000000e-01	8.000000e-01	4.640273e-02	8.589115e-04	8.589115e-04
8.000000e-01	1.000000e+00	4.428137e-02	7.305426e-04	7.305426e-04
1.000000e+00	1.200000e+00	3.988976e-02	8.015050e-04	8.015050e-04
1.200000e+00	1.400000e+00	3.812405e-02	8.221148e-04	8.221148e-04
1.400000e+00	1.600000e+00	3.501905e-02	7.503707e-04	7.503707e-04
1.600000e+00	1.800000e+00	3.150049e-02	6.084032e-04	6.084032e-04
1.800000e+00	2.000000e+00	2.685283e-02	4.194338e-04	4.194338e-04
2.000000e+00	2.200000e+00	2.323938e-02	4.881451e-04	4.881451e-04
2.200000e+00	2.400000e+00	1.821365e-02	2.792886e-04	2.792886e-04
2.400000e+00	2.600000e+00	1.469597e-02	2.462429e-04	2.462429e-04
2.600000e+00	2.800000e+00	1.119160e-02	2.167230e-04	2.167230e-04
2.800000e+00	3.000000e+00	7.693990e-03	1.600459e-04	1.600459e-04
3.000000e+00	3.200000e+00	5.237890e-03	9.371265e-05	9.371265e-05
3.200000e+00	3.400000e+00	3.374780e-03	8.550746e-05	8.550746e-05
3.400000e+00	3.600000e+00	2.052707e-03	7.332375e-05	7.332375e-05
3.600000e+00	3.800000e+00	1.083697e-03	2.094486e-05	2.094486e-05
3.800000e+00	4.000000e+00	4.788311e-04	3.614348e-05	3.614348e-05
4.000000e+00	4.200000e+00	1.888199e-04	1.256647e-05	1.256647e-05
4.200000e+00	4.400000e+00	5.131925e-05	1.866404e-06	1.866404e-06
4.400000e+00	4.600000e+00	3.609251e-06	4.779501e-07	4.779501e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	6.759155e-07	5.101179e-07	5.101179e-07
-4.400000e+00	-4.200000e+00	7.220020e-06	4.622117e-06	4.622117e-06
-4.200000e+00	-4.000000e+00	3.745685e-05	6.365383e-06	6.365383e-06
-4.000000e+00	-3.800000e+00	6.379150e-05	1.657213e-05	1.657213e-05
-3.800000e+00	-3.600000e+00	8.303410e-05	1.209401e-04	1.209401e-04
-3.600000e+00	-3.400000e+00	3.029626e-04	9.370682e-05	9.370682e-05
-3.400000e+00	-3.200000e+00	4.697050e-04	1.598987e-04	1.598987e-04
-3.200000e+00	-3.000000e+00	6.807640e-04	2.178980e-04	2.178980e-04
-3.000000e+00	-2.800000e+00	1.337087e-03	2.610606e-04	2.610606e-04
-2.800000e+00	-2.600000e+00	2.120727e-03	3.613320e-04	3.613320e-04
-2.600000e+00	-2.400000e+00	2.016016e-03	8.488556e-04	8.488556e-04
-2.400000e+00	-2.200000e+00	1.824664e-03	1.497316e-03	1.497316e-03
-2.200000e+00	-2.000000e+00	4.802019e-03	7.653065e-04	7.653065e-04
-2.000000e+00	-1.800000e+00	5.439900e-03	2.401490e-03	2.401490e-03
-1.800000e+00	-1.600000e+00	6.509740e-03	1.520698e-03	1.520698e-03
-1.600000e+00	-1.400000e+00	6.698700e-03	1.273656e-03	1.273656e-03
-1.400000e+00	-1.200000e+00	9.915725e-03	1.900562e-03	1.900562e-03
-1.200000e+00	-1.000000e+00	1.335033e-02	2.053023e-03	2.053023e-03
-1.000000e+00	-8.000000e-01	1.268018e-02	2.059079e-03	2.059079e-03
-8.000000e-01	-6.000000e-01	1.085997e-02	1.580543e-03	1.580543e-03
-6.000000e-01	-4.000000e-01	1.495297e-02	1.840638e-03	1.840638e-03
-4.000000e-01	-2.000000e-01	1.299175e-02	1.741355e-03	1.741355e-03
-2.000000e-01	0.000000e+00	1.249266e-02	1.845139e-03	1.845139e-03
0.000000e+00	2.000000e-01	1.231204e-02	2.173387e-03	2.173387e-03
2.000000e-01	4.000000e-01	1.350207e-02	1.646906e-03	1.646906e-03
4.000000e-01	6.000000e-01	1.289508e-02	1.438076e-03	1.438076e-03
6.000000e-01	8.000000e-01	1.110195e-02	1.651187e-03	1.651187e-03
8.000000e-01	1.000000e+00	8.308850e-03	2.009553e-03	2.009553e-03
1.000000e+00	1.200000e+00	9.619310e-03	1.889470e-03	1.889470e-03
1.200000e+00	1.400000e+00	9.115860e-03	1.560995e-03	1.560995e-03
1.400000e+00	1.600000e+00	1.212920e-03	4.638696e-03	4.638696e-03
1.600000e+00	1.800000e+00	2.640817e-03	2.251442e-03	2.251442e-03
1.800000e+00	2.000000e+00	5.206245e-03	9.041687e-04	9.041687e-04
2.000000e+00	2.200000e+00	3.236022e-03	8.730636e-04	8.730636e-04
2.200000e+00	2.400000e+00	1.898615e-03	1.162106e-03	1.162106e-03
2.400000e+00	2.600000e+00	1.601347e-03	6.466139e-04	6.466139e-04
2.600000e+00	2.800000e+00	2.434663e-03	5.963707e-04	5.963707e-04
2.800000e+00	3.000000e+00	-5.003105e-06	5.502545e-04	5.502545e-04
3.000000e+00	3.200000e+00	-1.036918e-04	3.957557e-04	3.957557e-04
3.200000e+00	3.400000e+00	3.753028e-04	2.668270e-04	2.668270e-04
3.400000e+00	3.600000e+00	2.836213e-04	6.105082e-05	6.105082e-05
3.600000e+00	3.800000e+00	1.427200e-04	7.257181e-05	7.257181e-05
3.800000e+00	4.000000e+00	8.961700e-05	3.139406e-05	3.139406e-05
4.000000e+00	4.200000e+00	3.090022e-05	8.703377e-06	8.703377e-06
4.200000e+00	4.400000e+00	7.314945e-06	6.591163e-06	6.591163e-06
4.400000e+00	4.600000e+00	3.103006e-07	3.057225e-07	3.057225e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

