# BEGIN PLOT
RaiotPlotYMin=0.8
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPLotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$\theta_{j1,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j3}$ (pb)
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	5.174678e-01	1.490082e-02	1.490082e-02
5.000000e-02	1.000000e-01	5.376600e-01	7.018894e-03	7.018894e-03
1.000000e-01	1.500000e-01	5.264174e-01	5.390562e-03	5.390562e-03
1.500000e-01	2.000000e-01	5.159928e-01	6.716472e-03	6.716472e-03
2.000000e-01	2.500000e-01	5.238600e-01	5.768458e-03	5.768458e-03
2.500000e-01	3.000000e-01	5.086812e-01	1.154893e-02	1.154893e-02
3.000000e-01	3.500000e-01	4.936428e-01	5.946354e-03	5.946354e-03
3.500000e-01	4.000000e-01	4.754286e-01	7.354256e-03	7.354256e-03
4.000000e-01	4.500000e-01	4.776428e-01	6.208929e-03	6.208929e-03
4.500000e-01	5.000000e-01	4.791682e-01	6.601594e-03	6.601594e-03
5.000000e-01	5.500000e-01	4.819182e-01	5.109044e-03	5.109044e-03
5.500000e-01	6.000000e-01	4.746486e-01	5.638515e-03	5.638515e-03
6.000000e-01	6.500000e-01	4.805448e-01	5.074267e-03	5.074267e-03
6.500000e-01	7.000000e-01	4.704270e-01	7.449859e-03	7.449859e-03
7.000000e-01	7.500000e-01	4.952094e-01	4.906882e-03	4.906882e-03
7.500000e-01	8.000000e-01	4.891850e-01	5.622446e-03	5.622446e-03
8.000000e-01	8.500000e-01	4.961530e-01	5.733276e-03	5.733276e-03
8.500000e-01	9.000000e-01	4.878122e-01	5.734142e-03	5.734142e-03
9.000000e-01	9.500000e-01	4.878924e-01	5.456795e-03	5.456795e-03
9.500000e-01	1.000000e+00	4.797462e-01	5.368947e-03	5.368947e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.149851e-01	1.574522e-02	1.574522e-02
5.000000e-02	1.000000e-01	1.152637e-01	1.232431e-02	1.232431e-02
1.000000e-01	1.500000e-01	1.223255e-01	1.283925e-02	1.283925e-02
1.500000e-01	2.000000e-01	9.768256e-02	1.432328e-02	1.432328e-02
2.000000e-01	2.500000e-01	9.727116e-02	1.288482e-02	1.288482e-02
2.500000e-01	3.000000e-01	1.146837e-01	1.221882e-02	1.221882e-02
3.000000e-01	3.500000e-01	9.196798e-02	1.165761e-02	1.165761e-02
3.500000e-01	4.000000e-01	6.044386e-02	2.392512e-02	2.392512e-02
4.000000e-01	4.500000e-01	1.116363e-01	1.956887e-02	1.956887e-02
4.500000e-01	5.000000e-01	9.348234e-02	1.583713e-02	1.583713e-02
5.000000e-01	5.500000e-01	9.179522e-02	1.327491e-02	1.327491e-02
5.500000e-01	6.000000e-01	1.055650e-01	1.283214e-02	1.283214e-02
6.000000e-01	6.500000e-01	1.014091e-01	1.800931e-02	1.800931e-02
6.500000e-01	7.000000e-01	1.073500e-01	1.285670e-02	1.285670e-02
7.000000e-01	7.500000e-01	1.071101e-01	1.497278e-02	1.497278e-02
7.500000e-01	8.000000e-01	1.098673e-01	1.204649e-02	1.204649e-02
8.000000e-01	8.500000e-01	1.176115e-01	1.301494e-02	1.301494e-02
8.500000e-01	9.000000e-01	8.403184e-02	1.250789e-02	1.250789e-02
9.000000e-01	9.500000e-01	1.036348e-01	1.453359e-02	1.453359e-02
9.500000e-01	1.000000e+00	9.039550e-02	1.284357e-02	1.284357e-02
# END HISTO1D

