# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	6.892452e-04	4.395892e-06	4.395892e-06
4.000000e+01	8.000000e+01	1.793634e-03	9.352463e-06	9.352463e-06
8.000000e+01	1.200000e+02	1.474714e-03	2.133849e-05	2.133849e-05
1.200000e+02	1.600000e+02	1.100069e-03	1.636063e-05	1.636063e-05
1.600000e+02	2.000000e+02	8.655660e-04	7.782932e-06	7.782932e-06
2.000000e+02	2.400000e+02	7.039425e-04	9.317061e-06	9.317061e-06
2.400000e+02	2.800000e+02	5.958172e-04	7.239130e-06	7.239130e-06
2.800000e+02	3.200000e+02	5.243978e-04	7.718668e-06	7.718668e-06
3.200000e+02	3.600000e+02	4.420658e-04	6.342871e-06	6.342871e-06
3.600000e+02	4.000000e+02	4.030860e-04	6.299594e-06	6.299594e-06
4.000000e+02	4.400000e+02	3.528727e-04	5.071570e-06	5.071570e-06
4.400000e+02	4.800000e+02	3.098807e-04	5.298769e-06	5.298769e-06
4.800000e+02	5.200000e+02	2.818815e-04	5.312078e-06	5.312078e-06
5.200000e+02	5.600000e+02	2.422820e-04	5.477205e-06	5.477205e-06
5.600000e+02	6.000000e+02	2.171596e-04	5.433031e-06	5.433031e-06
6.000000e+02	6.400000e+02	1.984520e-04	3.673507e-06	3.673507e-06
6.400000e+02	6.800000e+02	1.849106e-04	4.688603e-06	4.688603e-06
6.800000e+02	7.200000e+02	1.676205e-04	3.753495e-06	3.753495e-06
7.200000e+02	7.600000e+02	1.483037e-04	3.726739e-06	3.726739e-06
7.600000e+02	8.000000e+02	1.396077e-04	6.812126e-06	6.812126e-06
8.000000e+02	8.400000e+02	1.264203e-04	3.794724e-06	3.794724e-06
8.400000e+02	8.800000e+02	1.141675e-04	3.690093e-06	3.690093e-06
