# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$y_{j_1}$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_1}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	9.199350e-04	9.683618e-06	9.683618e-06
-4.400000e+00	-4.200000e+00	3.301494e-03	2.059776e-05	2.059776e-05
-4.200000e+00	-4.000000e+00	6.594205e-03	7.380884e-05	7.380884e-05
-4.000000e+00	-3.800000e+00	1.192781e-02	8.478567e-05	8.478567e-05
-3.800000e+00	-3.600000e+00	1.999787e-02	1.306602e-04	1.306602e-04
-3.600000e+00	-3.400000e+00	3.094193e-02	1.308341e-04	1.308341e-04
-3.400000e+00	-3.200000e+00	4.499245e-02	2.218829e-04	2.218829e-04
-3.200000e+00	-3.000000e+00	6.072980e-02	7.336850e-04	7.336850e-04
-3.000000e+00	-2.800000e+00	7.971800e-02	5.106670e-04	5.106670e-04
-2.800000e+00	-2.600000e+00	9.789080e-02	8.123991e-04	8.123991e-04
-2.600000e+00	-2.400000e+00	1.161492e-01	7.035288e-04	7.035288e-04
-2.400000e+00	-2.200000e+00	1.323336e-01	1.068611e-03	1.068611e-03
-2.200000e+00	-2.000000e+00	1.491394e-01	1.075433e-03	1.075433e-03
-2.000000e+00	-1.800000e+00	1.617349e-01	1.210209e-03	1.210209e-03
-1.800000e+00	-1.600000e+00	1.695094e-01	1.144835e-03	1.144835e-03
-1.600000e+00	-1.400000e+00	1.743385e-01	1.495220e-03	1.495220e-03
-1.400000e+00	-1.200000e+00	1.789496e-01	1.807791e-03	1.807791e-03
-1.200000e+00	-1.000000e+00	1.809299e-01	1.941725e-03	1.941725e-03
-1.000000e+00	-8.000000e-01	1.764363e-01	1.903024e-03	1.903024e-03
-8.000000e-01	-6.000000e-01	1.766643e-01	2.499793e-03	2.499793e-03
-6.000000e-01	-4.000000e-01	1.781769e-01	1.710288e-03	1.710288e-03
-4.000000e-01	-2.000000e-01	1.763236e-01	2.151036e-03	2.151036e-03
-2.000000e-01	0.000000e+00	1.733565e-01	2.151688e-03	2.151688e-03
0.000000e+00	2.000000e-01	1.767143e-01	2.171707e-03	2.171707e-03
2.000000e-01	4.000000e-01	1.722129e-01	3.881385e-03	3.881385e-03
4.000000e-01	6.000000e-01	1.706282e-01	3.601854e-03	3.601854e-03
6.000000e-01	8.000000e-01	1.817760e-01	1.939116e-03	1.939116e-03
8.000000e-01	1.000000e+00	1.811119e-01	2.420783e-03	2.420783e-03
1.000000e+00	1.200000e+00	1.767145e-01	1.703061e-03	1.703061e-03
1.200000e+00	1.400000e+00	1.753174e-01	1.632309e-03	1.632309e-03
1.400000e+00	1.600000e+00	1.754293e-01	1.484132e-03	1.484132e-03
1.600000e+00	1.800000e+00	1.661721e-01	1.661808e-03	1.661808e-03
1.800000e+00	2.000000e+00	1.618254e-01	1.299629e-03	1.299629e-03
2.000000e+00	2.200000e+00	1.470550e-01	1.506674e-03	1.506674e-03
2.200000e+00	2.400000e+00	1.324308e-01	1.369482e-03	1.369482e-03
2.400000e+00	2.600000e+00	1.150444e-01	7.362182e-04	7.362182e-04
2.600000e+00	2.800000e+00	9.847205e-02	7.736882e-04	7.736882e-04
2.800000e+00	3.000000e+00	8.023900e-02	4.386226e-04	4.386226e-04
3.000000e+00	3.200000e+00	6.166715e-02	2.984022e-04	2.984022e-04
3.200000e+00	3.400000e+00	4.475238e-02	2.047459e-04	2.047459e-04
3.400000e+00	3.600000e+00	3.121540e-02	1.332887e-04	1.332887e-04
3.600000e+00	3.800000e+00	1.994041e-02	1.257188e-04	1.257188e-04
3.800000e+00	4.000000e+00	1.196354e-02	5.368133e-05	5.368133e-05
4.000000e+00	4.200000e+00	6.606080e-03	3.516881e-05	3.516881e-05
4.200000e+00	4.400000e+00	3.351699e-03	1.989893e-05	1.989893e-05
4.400000e+00	4.600000e+00	9.447720e-04	7.481407e-06	7.481407e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet1_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.571632e-04	1.671725e-05	1.671725e-05
-4.400000e+00	-4.200000e+00	1.469861e-03	2.674658e-05	2.674658e-05
-4.200000e+00	-4.000000e+00	2.686687e-03	6.519110e-05	6.519110e-05
-4.000000e+00	-3.800000e+00	4.191791e-03	7.821825e-05	7.821825e-05
-3.800000e+00	-3.600000e+00	5.947395e-03	1.694327e-04	1.694327e-04
-3.600000e+00	-3.400000e+00	8.236745e-03	2.431653e-04	2.431653e-04
-3.400000e+00	-3.200000e+00	1.057373e-02	4.853209e-04	4.853209e-04
-3.200000e+00	-3.000000e+00	1.365064e-02	6.171337e-04	6.171337e-04
-3.000000e+00	-2.800000e+00	1.564795e-02	8.288953e-04	8.288953e-04
-2.800000e+00	-2.600000e+00	2.043632e-02	1.451438e-03	1.451438e-03
-2.600000e+00	-2.400000e+00	2.371277e-02	1.848696e-03	1.848696e-03
-2.400000e+00	-2.200000e+00	2.200800e-02	2.650081e-03	2.650081e-03
-2.200000e+00	-2.000000e+00	2.445278e-02	2.493218e-03	2.493218e-03
-2.000000e+00	-1.800000e+00	2.271598e-02	2.701419e-03	2.701419e-03
-1.800000e+00	-1.600000e+00	2.403368e-02	3.132586e-03	3.132586e-03
-1.600000e+00	-1.400000e+00	2.367707e-02	2.337223e-03	2.337223e-03
-1.400000e+00	-1.200000e+00	1.700527e-02	3.420580e-03	3.420580e-03
-1.200000e+00	-1.000000e+00	1.703255e-02	3.547704e-03	3.547704e-03
-1.000000e+00	-8.000000e-01	1.104398e-02	5.762033e-03	5.762033e-03
-8.000000e-01	-6.000000e-01	1.813629e-02	3.347159e-03	3.347159e-03
-6.000000e-01	-4.000000e-01	1.514292e-02	3.049737e-03	3.049737e-03
-4.000000e-01	-2.000000e-01	1.629311e-02	3.443380e-03	3.443380e-03
-2.000000e-01	0.000000e+00	1.141533e-02	3.678664e-03	3.678664e-03
0.000000e+00	2.000000e-01	2.290368e-02	5.264945e-03	5.264945e-03
2.000000e-01	4.000000e-01	2.119825e-02	3.699252e-03	3.699252e-03
4.000000e-01	6.000000e-01	9.672945e-03	4.344267e-03	4.344267e-03
6.000000e-01	8.000000e-01	1.784919e-02	3.365815e-03	3.365815e-03
8.000000e-01	1.000000e+00	1.580379e-02	4.103852e-03	4.103852e-03
1.000000e+00	1.200000e+00	2.518310e-02	4.551063e-03	4.551063e-03
1.200000e+00	1.400000e+00	1.806804e-02	3.606574e-03	3.606574e-03
1.400000e+00	1.600000e+00	2.097007e-02	4.225019e-03	4.225019e-03
1.600000e+00	1.800000e+00	2.374204e-02	3.926018e-03	3.926018e-03
1.800000e+00	2.000000e+00	2.105373e-02	2.842492e-03	2.842492e-03
2.000000e+00	2.200000e+00	1.356886e-02	2.265768e-03	2.265768e-03
2.200000e+00	2.400000e+00	2.095156e-02	1.612353e-03	1.612353e-03
2.400000e+00	2.600000e+00	2.177482e-02	1.313423e-03	1.313423e-03
2.600000e+00	2.800000e+00	1.838705e-02	1.090519e-03	1.090519e-03
2.800000e+00	3.000000e+00	1.497744e-02	8.314047e-04	8.314047e-04
3.000000e+00	3.200000e+00	1.454666e-02	7.148507e-04	7.148507e-04
3.200000e+00	3.400000e+00	1.127080e-02	4.354371e-04	4.354371e-04
3.400000e+00	3.600000e+00	8.977080e-03	5.006830e-04	5.006830e-04
3.600000e+00	3.800000e+00	6.670590e-03	2.971941e-04	2.971941e-04
3.800000e+00	4.000000e+00	4.206555e-03	1.198265e-04	1.198265e-04
4.000000e+00	4.200000e+00	3.005039e-03	1.995047e-04	1.995047e-04
4.200000e+00	4.400000e+00	1.486464e-03	3.556999e-05	3.556999e-05
4.400000e+00	4.600000e+00	4.594172e-04	1.399117e-05	1.399117e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

