# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$|y_{j2}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{j2}|$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet2_y_abs_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet2_y_abs_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	2.291064e-01	1.788514e-03	1.788514e-03
1.600000e-01	3.200000e-01	2.300144e-01	2.395504e-03	2.395504e-03
3.200000e-01	4.800000e-01	2.358592e-01	3.116171e-03	3.116171e-03
4.800000e-01	6.400000e-01	2.441872e-01	2.806358e-03	2.806358e-03
6.400000e-01	8.000000e-01	2.529381e-01	2.257264e-03	2.257264e-03
8.000000e-01	9.600000e-01	2.665757e-01	2.277715e-03	2.277715e-03
9.600000e-01	1.120000e+00	2.722183e-01	2.478059e-03	2.478059e-03
1.120000e+00	1.280000e+00	2.894843e-01	2.791987e-03	2.791987e-03
1.280000e+00	1.440000e+00	2.962540e-01	2.678351e-03	2.678351e-03
1.440000e+00	1.600000e+00	3.040041e-01	2.858708e-03	2.858708e-03
1.600000e+00	1.760000e+00	3.142691e-01	3.019976e-03	3.019976e-03
1.760000e+00	1.920000e+00	3.147798e-01	3.208195e-03	3.208195e-03
1.920000e+00	2.080000e+00	3.190502e-01	2.324822e-03	2.324822e-03
2.080000e+00	2.240000e+00	3.107666e-01	4.958233e-03	4.958233e-03
2.240000e+00	2.400000e+00	3.057377e-01	3.612814e-03	3.612814e-03
2.400000e+00	2.560000e+00	2.967791e-01	2.512408e-03	2.512408e-03
2.560000e+00	2.720000e+00	2.834322e-01	1.866840e-03	1.866840e-03
2.720000e+00	2.880000e+00	2.592170e-01	1.860407e-03	1.860407e-03
2.880000e+00	3.040000e+00	2.409709e-01	1.591991e-03	1.591991e-03
3.040000e+00	3.200000e+00	2.096607e-01	1.504871e-03	1.504871e-03
3.200000e+00	3.360000e+00	1.809678e-01	1.394142e-03	1.394142e-03
3.360000e+00	3.520000e+00	1.531146e-01	1.130345e-03	1.130345e-03
3.520000e+00	3.680000e+00	1.283537e-01	1.769173e-03	1.769173e-03
3.680000e+00	3.840000e+00	1.014374e-01	8.031060e-04	8.031060e-04
