# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
XLabel=$p_{T,j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	6.133527e-03	7.886409e-05	7.886409e-05
3.000000e+01	4.000000e+01	8.513591e-03	4.588819e-05	4.588819e-05
4.000000e+01	5.000000e+01	5.305720e-03	4.579165e-05	4.579165e-05
5.000000e+01	6.000000e+01	3.552048e-03	3.386475e-05	3.386475e-05
6.000000e+01	7.000000e+01	2.402208e-03	3.024663e-05	3.024663e-05
7.000000e+01	8.000000e+01	1.646485e-03	2.654069e-05	2.654069e-05
8.000000e+01	9.000000e+01	1.150779e-03	2.206693e-05	2.206693e-05
9.000000e+01	1.000000e+02	7.710868e-04	1.449377e-05	1.449377e-05
1.000000e+02	1.100000e+02	5.567184e-04	1.354830e-05	1.354830e-05
1.100000e+02	1.200000e+02	3.592808e-04	4.981764e-05	4.981764e-05
1.200000e+02	1.300000e+02	2.932452e-04	1.176079e-05	1.176079e-05
1.300000e+02	1.400000e+02	2.224681e-04	8.842142e-06	8.842142e-06
1.400000e+02	1.500000e+02	1.640763e-04	5.850879e-06	5.850879e-06
1.500000e+02	1.600000e+02	1.307729e-04	6.687499e-06	6.687499e-06
1.600000e+02	1.700000e+02	9.345701e-05	6.596460e-06	6.596460e-06
1.700000e+02	1.800000e+02	6.234301e-05	2.128895e-05	2.128895e-05
1.800000e+02	1.900000e+02	5.998112e-05	7.081642e-06	7.081642e-06
1.900000e+02	2.000000e+02	4.599201e-05	8.860724e-06	8.860724e-06
2.000000e+02	2.100000e+02	3.535086e-05	4.484211e-06	4.484211e-06
2.100000e+02	2.200000e+02	2.882704e-05	2.718148e-06	2.718148e-06
2.200000e+02	2.300000e+02	1.643667e-05	5.944338e-06	5.944338e-06
2.300000e+02	2.400000e+02	1.894649e-05	1.723700e-06	1.723700e-06
2.400000e+02	2.500000e+02	1.023741e-05	4.341456e-06	4.341456e-06
2.500000e+02	2.600000e+02	1.547954e-05	4.682117e-06	4.682117e-06
2.600000e+02	2.700000e+02	5.011516e-06	3.802259e-06	3.802259e-06
2.700000e+02	2.800000e+02	5.915823e-06	2.023988e-06	2.023988e-06
2.800000e+02	2.900000e+02	7.846460e-06	1.133821e-06	1.133821e-06
2.900000e+02	3.000000e+02	5.393331e-06	1.100764e-06	1.100764e-06
3.000000e+02	3.100000e+02	5.028608e-06	1.286607e-06	1.286607e-06
3.100000e+02	3.200000e+02	6.962353e-06	1.850877e-06	1.850877e-06
3.200000e+02	3.300000e+02	2.824325e-06	2.292552e-06	2.292552e-06
3.300000e+02	3.400000e+02	3.859780e-06	5.185658e-07	5.185658e-07
3.400000e+02	3.500000e+02	2.010516e-06	5.330230e-07	5.330230e-07
3.500000e+02	3.600000e+02	3.169395e-06	1.248518e-06	1.248518e-06
3.600000e+02	3.700000e+02	2.547996e-06	7.249212e-07	7.249212e-07
3.700000e+02	3.800000e+02	1.795629e-06	4.206365e-07	4.206365e-07
3.800000e+02	3.900000e+02	7.547517e-07	3.787425e-07	3.787425e-07
3.900000e+02	4.000000e+02	1.367790e-06	4.731146e-07	4.731146e-07
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_pT_excl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.347573e-04	8.607295e-05	8.607295e-05
3.000000e+01	4.000000e+01	5.771619e-04	9.770662e-05	9.770662e-05
4.000000e+01	5.000000e+01	3.273604e-04	9.315881e-05	9.315881e-05
5.000000e+01	6.000000e+01	3.244904e-04	7.023634e-05	7.023634e-05
6.000000e+01	7.000000e+01	2.053491e-04	8.754220e-05	8.754220e-05
7.000000e+01	8.000000e+01	2.196304e-04	7.213769e-05	7.213769e-05
8.000000e+01	9.000000e+01	1.694157e-04	5.579380e-05	5.579380e-05
9.000000e+01	1.000000e+02	1.967603e-04	5.055324e-05	5.055324e-05
1.000000e+02	1.100000e+02	1.782542e-04	5.219959e-05	5.219959e-05
1.100000e+02	1.200000e+02	7.281081e-05	4.151861e-05	4.151861e-05
1.200000e+02	1.300000e+02	5.624846e-05	4.985074e-05	4.985074e-05
1.300000e+02	1.400000e+02	9.715152e-05	2.676429e-05	2.676429e-05
1.400000e+02	1.500000e+02	2.415906e-05	2.427536e-05	2.427536e-05
1.500000e+02	1.600000e+02	7.553447e-06	2.359031e-05	2.359031e-05
1.600000e+02	1.700000e+02	2.378331e-05	1.818644e-05	1.818644e-05
1.700000e+02	1.800000e+02	3.628370e-05	1.950242e-05	1.950242e-05
1.800000e+02	1.900000e+02	-1.216875e-06	1.786782e-05	1.786782e-05
1.900000e+02	2.000000e+02	-7.832082e-06	1.315449e-05	1.315449e-05
2.000000e+02	2.100000e+02	4.063235e-05	1.658178e-05	1.658178e-05
2.100000e+02	2.200000e+02	-1.244531e-05	3.229966e-05	3.229966e-05
2.200000e+02	2.300000e+02	1.239257e-05	7.052734e-06	7.052734e-06
2.300000e+02	2.400000e+02	2.371551e-05	8.515603e-06	8.515603e-06
2.400000e+02	2.500000e+02	9.274651e-06	8.872125e-06	8.872125e-06
2.500000e+02	2.600000e+02	-1.799926e-06	6.868628e-06	6.868628e-06
2.600000e+02	2.700000e+02	3.466380e-05	1.752315e-05	1.752315e-05
2.700000e+02	2.800000e+02	-2.845537e-06	6.838127e-06	6.838127e-06
2.800000e+02	2.900000e+02	7.288354e-06	4.088414e-06	4.088414e-06
2.900000e+02	3.000000e+02	-3.972078e-05	2.822774e-05	2.822774e-05
3.000000e+02	3.100000e+02	6.321813e-06	1.125046e-05	1.125046e-05
3.100000e+02	3.200000e+02	-1.502130e-06	2.454137e-06	2.454137e-06
3.200000e+02	3.300000e+02	1.586427e-06	1.509024e-05	1.509024e-05
3.300000e+02	3.400000e+02	1.246482e-06	2.888246e-06	2.888246e-06
3.400000e+02	3.500000e+02	-3.507982e-07	2.758897e-06	2.758897e-06
3.500000e+02	3.600000e+02	1.797827e-06	2.077867e-06	2.077867e-06
3.600000e+02	3.700000e+02	-4.321382e-06	5.113020e-06	5.113020e-06
3.700000e+02	3.800000e+02	8.835387e-06	6.359993e-06	6.359993e-06
3.800000e+02	3.900000e+02	1.486111e-06	4.283129e-06	4.283129e-06
3.900000e+02	4.000000e+02	6.366546e-06	5.144499e-06	5.144499e-06
# END HISTO1D

