# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_y
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$y_{j_3}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet3_y
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.111831e-04	1.866450e-05	1.866450e-05
-4.600000e+00	-4.200000e+00	3.955380e-04	2.743981e-05	2.743981e-05
-4.200000e+00	-3.800000e+00	7.854170e-04	4.598485e-05	4.598485e-05
-3.800000e+00	-3.400000e+00	1.649433e-03	1.107270e-04	1.107270e-04
-3.400000e+00	-3.000000e+00	3.184583e-03	2.793390e-04	2.793390e-04
-3.000000e+00	-2.600000e+00	4.614585e-03	1.993590e-04	1.993590e-04
-2.600000e+00	-2.200000e+00	8.781883e-03	1.993299e-04	1.993299e-04
-2.200000e+00	-1.800000e+00	1.595626e-02	3.384417e-04	3.384417e-04
-1.800000e+00	-1.400000e+00	3.186442e-02	6.413465e-04	6.413465e-04
-1.400000e+00	-1.000000e+00	6.965908e-02	1.997916e-03	1.997916e-03
-1.000000e+00	-6.000000e-01	2.038894e-01	1.814338e-03	1.814338e-03
-6.000000e-01	-2.000000e-01	2.255718e-01	1.341316e-03	1.341316e-03
-2.000000e-01	2.000000e-01	1.028056e-01	8.881494e-04	8.881494e-04
2.000000e-01	6.000000e-01	2.241713e-01	1.246253e-03	1.246253e-03
6.000000e-01	1.000000e+00	2.054412e-01	1.502439e-03	1.502439e-03
1.000000e+00	1.400000e+00	7.050755e-02	7.318826e-04	7.318826e-04
1.400000e+00	1.800000e+00	3.146952e-02	5.524563e-04	5.524563e-04
1.800000e+00	2.200000e+00	1.599253e-02	3.561497e-04	3.561497e-04
2.200000e+00	2.600000e+00	8.792300e-03	2.293233e-04	2.293233e-04
2.600000e+00	3.000000e+00	5.112363e-03	4.329946e-04	4.329946e-04
3.000000e+00	3.400000e+00	2.830690e-03	9.332828e-05	9.332828e-05
3.400000e+00	3.800000e+00	1.654259e-03	2.310045e-04	2.310045e-04
3.800000e+00	4.200000e+00	1.002038e-03	1.111158e-04	1.111158e-04
4.200000e+00	4.600000e+00	4.741470e-04	7.598478e-05	7.598478e-05
4.600000e+00	5.000000e+00	2.796465e-04	3.103009e-05	3.103009e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet3_y
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.200035e-05	3.406791e-05	3.406791e-05
-4.600000e+00	-4.200000e+00	1.601639e-04	1.099477e-04	1.099477e-04
-4.200000e+00	-3.800000e+00	2.526772e-04	7.782960e-05	7.782960e-05
-3.800000e+00	-3.400000e+00	4.819300e-04	1.137425e-04	1.137425e-04
-3.400000e+00	-3.000000e+00	6.890610e-04	1.942708e-04	1.942708e-04
-3.000000e+00	-2.600000e+00	1.903939e-03	3.886269e-04	3.886269e-04
-2.600000e+00	-2.200000e+00	2.650443e-03	3.420432e-04	3.420432e-04
-2.200000e+00	-1.800000e+00	4.115155e-03	7.943795e-04	7.943795e-04
-1.800000e+00	-1.400000e+00	1.204830e-02	2.900295e-03	2.900295e-03
-1.400000e+00	-1.000000e+00	1.811804e-02	1.905277e-03	1.905277e-03
-1.000000e+00	-6.000000e-01	4.651105e-02	2.985039e-03	2.985039e-03
-6.000000e-01	-2.000000e-01	4.262430e-02	3.122839e-03	3.122839e-03
-2.000000e-01	2.000000e-01	1.745432e-02	1.706943e-03	1.706943e-03
2.000000e-01	6.000000e-01	2.961223e-02	3.893308e-03	3.893308e-03
6.000000e-01	1.000000e+00	3.962542e-02	3.365090e-03	3.365090e-03
1.000000e+00	1.400000e+00	1.814597e-02	1.911204e-03	1.911204e-03
1.400000e+00	1.800000e+00	1.014627e-02	1.347222e-03	1.347222e-03
1.800000e+00	2.200000e+00	4.251417e-03	6.827116e-04	6.827116e-04
2.200000e+00	2.600000e+00	2.811150e-03	6.574029e-04	6.574029e-04
2.600000e+00	3.000000e+00	1.567243e-03	2.658249e-04	2.658249e-04
3.000000e+00	3.400000e+00	9.403925e-04	2.091595e-04	2.091595e-04
3.400000e+00	3.800000e+00	5.099808e-04	1.185961e-04	1.185961e-04
3.800000e+00	4.200000e+00	-1.012944e-04	2.636244e-04	2.636244e-04
4.200000e+00	4.600000e+00	9.258258e-05	7.196537e-05	7.196537e-05
4.600000e+00	5.000000e+00	9.271662e-05	3.708352e-05	3.708352e-05
# END HISTO1D

