# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$y_{j_4}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{incl}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet4_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.178050e-03	4.496444e-05	4.496444e-05
-4.400000e+00	-4.200000e+00	3.200153e-03	1.257727e-04	1.257727e-04
-4.200000e+00	-4.000000e+00	4.736589e-03	3.566575e-04	3.566575e-04
-4.000000e+00	-3.800000e+00	6.148950e-03	2.920192e-04	2.920192e-04
-3.800000e+00	-3.600000e+00	8.469195e-03	2.095822e-04	2.095822e-04
-3.600000e+00	-3.400000e+00	1.126569e-02	3.117462e-04	3.117462e-04
-3.400000e+00	-3.200000e+00	1.322083e-02	5.198091e-04	5.198091e-04
-3.200000e+00	-3.000000e+00	1.609730e-02	5.936514e-04	5.936514e-04
-3.000000e+00	-2.800000e+00	1.905752e-02	4.103057e-04	4.103057e-04
-2.800000e+00	-2.600000e+00	2.215810e-02	6.562305e-04	6.562305e-04
-2.600000e+00	-2.400000e+00	2.505681e-02	8.641089e-04	8.641089e-04
-2.400000e+00	-2.200000e+00	2.537996e-02	5.729485e-04	5.729485e-04
-2.200000e+00	-2.000000e+00	2.811699e-02	9.322677e-04	9.322677e-04
-2.000000e+00	-1.800000e+00	2.925431e-02	5.886718e-04	5.886718e-04
-1.800000e+00	-1.600000e+00	2.916751e-02	1.054894e-03	1.054894e-03
-1.600000e+00	-1.400000e+00	2.727783e-02	9.268933e-04	9.268933e-04
-1.400000e+00	-1.200000e+00	2.743175e-02	6.011630e-04	6.011630e-04
-1.200000e+00	-1.000000e+00	2.759462e-02	7.040513e-04	7.040513e-04
-1.000000e+00	-8.000000e-01	2.619736e-02	8.017562e-04	8.017562e-04
-8.000000e-01	-6.000000e-01	2.663249e-02	1.377209e-03	1.377209e-03
-6.000000e-01	-4.000000e-01	2.389701e-02	1.200369e-03	1.200369e-03
-4.000000e-01	-2.000000e-01	2.462977e-02	7.247456e-04	7.247456e-04
-2.000000e-01	0.000000e+00	2.375696e-02	6.065878e-04	6.065878e-04
0.000000e+00	2.000000e-01	2.509313e-02	7.423114e-04	7.423114e-04
2.000000e-01	4.000000e-01	2.452486e-02	6.267338e-04	6.267338e-04
4.000000e-01	6.000000e-01	2.544360e-02	7.522505e-04	7.522505e-04
6.000000e-01	8.000000e-01	2.535589e-02	5.217504e-04	5.217504e-04
8.000000e-01	1.000000e+00	2.530568e-02	6.591881e-04	6.591881e-04
1.000000e+00	1.200000e+00	2.571427e-02	7.285341e-04	7.285341e-04
1.200000e+00	1.400000e+00	2.725308e-02	6.885272e-04	6.885272e-04
1.400000e+00	1.600000e+00	2.756229e-02	8.486053e-04	8.486053e-04
1.600000e+00	1.800000e+00	2.775619e-02	6.046584e-04	6.046584e-04
1.800000e+00	2.000000e+00	2.766122e-02	7.502306e-04	7.502306e-04
2.000000e+00	2.200000e+00	2.695685e-02	6.029094e-04	6.029094e-04
2.200000e+00	2.400000e+00	2.604272e-02	7.578760e-04	7.578760e-04
2.400000e+00	2.600000e+00	2.360377e-02	5.337520e-04	5.337520e-04
2.600000e+00	2.800000e+00	2.131696e-02	4.838661e-04	4.838661e-04
2.800000e+00	3.000000e+00	1.863698e-02	5.350189e-04	5.350189e-04
3.000000e+00	3.200000e+00	1.626114e-02	3.274903e-04	3.274903e-04
3.200000e+00	3.400000e+00	1.330914e-02	2.935126e-04	2.935126e-04
3.400000e+00	3.600000e+00	1.088144e-02	2.562678e-04	2.562678e-04
3.600000e+00	3.800000e+00	8.322685e-03	2.454774e-04	2.454774e-04
3.800000e+00	4.000000e+00	6.650435e-03	2.139489e-04	2.139489e-04
4.000000e+00	4.200000e+00	4.368401e-03	1.864078e-04	1.864078e-04
4.200000e+00	4.400000e+00	2.970746e-03	1.197573e-04	1.197573e-04
4.400000e+00	4.600000e+00	1.107556e-03	6.485303e-05	6.485303e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	8.244310e-04	2.026042e-04	2.026042e-04
-4.400000e+00	-4.200000e+00	1.565099e-03	1.475253e-04	1.475253e-04
-4.200000e+00	-4.000000e+00	2.209934e-03	2.148550e-04	2.148550e-04
-4.000000e+00	-3.800000e+00	2.926003e-03	2.420382e-04	2.420382e-04
-3.800000e+00	-3.600000e+00	4.292312e-03	6.587169e-04	6.587169e-04
-3.600000e+00	-3.400000e+00	3.922433e-03	6.384413e-04	6.384413e-04
-3.400000e+00	-3.200000e+00	6.426385e-03	6.983887e-04	6.983887e-04
-3.200000e+00	-3.000000e+00	8.530835e-03	1.378555e-03	1.378555e-03
-3.000000e+00	-2.800000e+00	9.971095e-03	9.420518e-04	9.420518e-04
-2.800000e+00	-2.600000e+00	9.442410e-03	1.672200e-03	1.672200e-03
-2.600000e+00	-2.400000e+00	1.061524e-02	9.610509e-04	9.610509e-04
-2.400000e+00	-2.200000e+00	8.375025e-03	2.367289e-03	2.367289e-03
-2.200000e+00	-2.000000e+00	1.033570e-02	9.938052e-04	9.938052e-04
-2.000000e+00	-1.800000e+00	1.342151e-02	1.161551e-03	1.161551e-03
-1.800000e+00	-1.600000e+00	1.290676e-02	1.130407e-03	1.130407e-03
-1.600000e+00	-1.400000e+00	1.127974e-02	1.164503e-03	1.164503e-03
-1.400000e+00	-1.200000e+00	1.125116e-02	1.054157e-03	1.054157e-03
-1.200000e+00	-1.000000e+00	1.361429e-02	1.357990e-03	1.357990e-03
-1.000000e+00	-8.000000e-01	1.857275e-02	3.687085e-03	3.687085e-03
-8.000000e-01	-6.000000e-01	9.554620e-03	1.298070e-03	1.298070e-03
-6.000000e-01	-4.000000e-01	1.204649e-02	1.022129e-03	1.022129e-03
-4.000000e-01	-2.000000e-01	1.197718e-02	1.024330e-03	1.024330e-03
-2.000000e-01	0.000000e+00	9.236100e-03	1.543076e-03	1.543076e-03
0.000000e+00	2.000000e-01	1.001849e-02	1.647459e-03	1.647459e-03
2.000000e-01	4.000000e-01	3.983613e-03	2.369234e-03	2.369234e-03
4.000000e-01	6.000000e-01	1.027459e-02	8.971836e-04	8.971836e-04
6.000000e-01	8.000000e-01	8.740575e-03	1.007633e-03	1.007633e-03
8.000000e-01	1.000000e+00	1.458703e-02	4.185835e-03	4.185835e-03
1.000000e+00	1.200000e+00	1.299985e-02	2.499222e-03	2.499222e-03
1.200000e+00	1.400000e+00	7.872360e-03	2.764216e-03	2.764216e-03
1.400000e+00	1.600000e+00	9.786745e-03	1.126305e-03	1.126305e-03
1.600000e+00	1.800000e+00	1.074542e-02	8.993895e-04	8.993895e-04
1.800000e+00	2.000000e+00	9.273920e-03	1.298437e-03	1.298437e-03
2.000000e+00	2.200000e+00	1.284527e-02	1.709638e-03	1.709638e-03
2.200000e+00	2.400000e+00	1.070564e-02	8.104317e-04	8.104317e-04
2.400000e+00	2.600000e+00	9.893335e-03	9.221651e-04	9.221651e-04
2.600000e+00	2.800000e+00	7.922950e-03	1.133206e-03	1.133206e-03
2.800000e+00	3.000000e+00	7.205735e-03	9.200245e-04	9.200245e-04
3.000000e+00	3.200000e+00	6.890240e-03	6.387149e-04	6.387149e-04
3.200000e+00	3.400000e+00	6.139850e-03	5.888062e-04	5.888062e-04
3.400000e+00	3.600000e+00	4.174514e-03	4.197076e-04	4.197076e-04
3.600000e+00	3.800000e+00	3.695689e-03	2.834915e-04	2.834915e-04
3.800000e+00	4.000000e+00	2.701364e-03	3.729979e-04	3.729979e-04
4.000000e+00	4.200000e+00	1.977426e-03	1.778984e-04	1.778984e-04
4.200000e+00	4.400000e+00	1.257231e-03	1.277013e-04	1.277013e-04
4.400000e+00	4.600000e+00	5.658880e-04	1.848366e-04	1.848366e-04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

