# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/HT_all
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/HT_all
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/HT_all
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{all})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{all})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.9
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_all
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/HT_all
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/HT_all
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	2.503265e-07	3.893435e-09	3.893435e-09
8.000000e+01	1.200000e+02	7.045548e-06	3.876074e-08	3.876074e-08
1.200000e+02	1.600000e+02	3.504687e-05	8.195517e-08	8.195517e-08
1.600000e+02	2.000000e+02	8.937820e-05	1.882740e-07	1.882740e-07
2.000000e+02	2.400000e+02	1.613773e-04	3.153308e-07	3.153308e-07
2.400000e+02	2.800000e+02	2.371396e-04	4.521230e-07	4.521230e-07
2.800000e+02	3.200000e+02	2.944590e-04	6.803766e-07	6.803766e-07
3.200000e+02	3.600000e+02	3.198807e-04	1.301275e-06	1.301275e-06
3.600000e+02	4.000000e+02	3.226467e-04	1.155087e-06	1.155087e-06
4.000000e+02	4.400000e+02	3.056755e-04	9.685443e-07	9.685443e-07
4.400000e+02	4.800000e+02	2.845507e-04	1.803458e-06	1.803458e-06
4.800000e+02	5.200000e+02	2.542915e-04	1.360063e-06	1.360063e-06
5.200000e+02	5.600000e+02	2.226555e-04	1.311549e-06	1.311549e-06
5.600000e+02	6.000000e+02	1.941237e-04	1.699712e-06	1.699712e-06
6.000000e+02	6.400000e+02	1.671462e-04	1.552223e-06	1.552223e-06
6.400000e+02	6.800000e+02	1.409584e-04	1.713947e-06	1.713947e-06
6.800000e+02	7.200000e+02	1.220532e-04	1.052613e-06	1.052613e-06
7.200000e+02	7.600000e+02	1.024914e-04	1.568221e-06	1.568221e-06
7.600000e+02	8.000000e+02	8.880278e-05	1.409817e-06	1.409817e-06
8.000000e+02	8.400000e+02	7.528510e-05	2.410972e-06	2.410972e-06
8.400000e+02	8.800000e+02	6.342017e-05	1.065962e-06	1.065962e-06
8.800000e+02	9.200000e+02	5.562043e-05	1.165997e-06	1.165997e-06
9.200000e+02	9.600000e+02	4.694277e-05	2.644896e-06	2.644896e-06
9.600000e+02	1.000000e+03	4.064810e-05	1.393375e-06	1.393375e-06
1.000000e+03	1.040000e+03	3.394665e-05	8.143345e-07	8.143345e-07
1.040000e+03	1.080000e+03	2.710520e-05	1.781043e-06	1.781043e-06
1.080000e+03	1.120000e+03	2.343755e-05	6.728829e-07	6.728829e-07
1.120000e+03	1.160000e+03	2.106966e-05	9.838874e-07	9.838874e-07
1.160000e+03	1.200000e+03	1.773752e-05	5.987683e-07	5.987683e-07
1.200000e+03	1.240000e+03	1.578587e-05	6.424527e-07	6.424527e-07
1.240000e+03	1.280000e+03	1.296542e-05	4.845686e-07	4.845686e-07
1.280000e+03	1.320000e+03	1.229257e-05	6.512043e-07	6.512043e-07
1.320000e+03	1.360000e+03	9.513787e-06	4.452998e-07	4.452998e-07
1.360000e+03	1.400000e+03	7.808135e-06	4.061574e-07	4.061574e-07
1.400000e+03	1.440000e+03	7.221622e-06	3.843169e-07	3.843169e-07
1.440000e+03	1.480000e+03	6.116930e-06	4.626167e-07	4.626167e-07
1.480000e+03	1.520000e+03	5.072088e-06	3.981739e-07	3.981739e-07
1.520000e+03	1.560000e+03	3.465642e-06	7.829073e-07	7.829073e-07
1.560000e+03	1.600000e+03	4.197525e-06	2.927328e-07	2.927328e-07
