# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
XLabel=$p_{T,>Njets}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,>Njets}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_j_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.878073e-03	1.141692e-05	1.141692e-05
3.000000e+01	4.000000e+01	3.186800e-03	1.574724e-05	1.574724e-05
4.000000e+01	5.000000e+01	2.889060e-03	2.289702e-05	2.289702e-05
5.000000e+01	6.000000e+01	2.712115e-03	9.045900e-06	9.045900e-06
6.000000e+01	7.000000e+01	2.603068e-03	1.060884e-05	1.060884e-05
7.000000e+01	8.000000e+01	2.423840e-03	1.065496e-05	1.065496e-05
8.000000e+01	9.000000e+01	2.253650e-03	9.143121e-06	9.143121e-06
9.000000e+01	1.000000e+02	2.054017e-03	1.138323e-05	1.138323e-05
1.000000e+02	1.100000e+02	1.867789e-03	9.844230e-06	9.844230e-06
1.100000e+02	1.200000e+02	1.664726e-03	1.083234e-05	1.083234e-05
1.200000e+02	1.300000e+02	1.493158e-03	9.021995e-06	9.021995e-06
1.300000e+02	1.400000e+02	1.339280e-03	8.765384e-06	8.765384e-06
1.400000e+02	1.500000e+02	1.190456e-03	1.268117e-05	1.268117e-05
1.500000e+02	1.600000e+02	1.049079e-03	6.910093e-06	6.910093e-06
1.600000e+02	1.700000e+02	9.322891e-04	4.761342e-06	4.761342e-06
1.700000e+02	1.800000e+02	8.304471e-04	5.413193e-06	5.413193e-06
1.800000e+02	1.900000e+02	7.459118e-04	5.871429e-06	5.871429e-06
1.900000e+02	2.000000e+02	6.549919e-04	5.209885e-06	5.209885e-06
2.000000e+02	2.100000e+02	5.817240e-04	5.465825e-06	5.465825e-06
2.100000e+02	2.200000e+02	5.297837e-04	7.075080e-06	7.075080e-06
2.200000e+02	2.300000e+02	4.631731e-04	4.646634e-06	4.646634e-06
2.300000e+02	2.400000e+02	4.049077e-04	5.393216e-06	5.393216e-06
2.400000e+02	2.500000e+02	3.645780e-04	6.612692e-06	6.612692e-06
2.500000e+02	2.600000e+02	3.284305e-04	5.404264e-06	5.404264e-06
2.600000e+02	2.700000e+02	2.956056e-04	3.986655e-06	3.986655e-06
2.700000e+02	2.800000e+02	2.677665e-04	4.021993e-06	4.021993e-06
2.800000e+02	2.900000e+02	2.321659e-04	4.751569e-06	4.751569e-06
2.900000e+02	3.000000e+02	2.163564e-04	3.441058e-06	3.441058e-06
3.000000e+02	3.100000e+02	1.946078e-04	4.081855e-06	4.081855e-06
3.100000e+02	3.200000e+02	1.734076e-04	4.047498e-06	4.047498e-06
3.200000e+02	3.300000e+02	1.590044e-04	6.515985e-06	6.515985e-06
3.300000e+02	3.400000e+02	1.504785e-04	9.867825e-06	9.867825e-06
3.400000e+02	3.500000e+02	1.360391e-04	3.085229e-06	3.085229e-06
3.500000e+02	3.600000e+02	1.166657e-04	2.153500e-06	2.153500e-06
3.600000e+02	3.700000e+02	1.064445e-04	4.844954e-06	4.844954e-06
3.700000e+02	3.800000e+02	9.655678e-05	2.113868e-06	2.113868e-06
3.800000e+02	3.900000e+02	8.343953e-05	7.956710e-06	7.956710e-06
3.900000e+02	4.000000e+02	8.168823e-05	2.805378e-06	2.805378e-06
4.000000e+02	4.100000e+02	7.675026e-05	2.628468e-06	2.628468e-06
4.100000e+02	4.200000e+02	7.010230e-05	1.772111e-06	1.772111e-06
4.200000e+02	4.300000e+02	6.433002e-05	4.672508e-06	4.672508e-06
4.300000e+02	4.400000e+02	5.304326e-05	3.356303e-06	3.356303e-06
4.400000e+02	4.500000e+02	5.055439e-05	3.712785e-06	3.712785e-06
4.500000e+02	4.600000e+02	4.914321e-05	2.122746e-06	2.122746e-06
4.600000e+02	4.700000e+02	4.285074e-05	1.239140e-06	1.239140e-06
4.700000e+02	4.800000e+02	3.592236e-05	5.308860e-06	5.308860e-06
4.800000e+02	4.900000e+02	3.991567e-05	3.023626e-06	3.023626e-06
4.900000e+02	5.000000e+02	3.438068e-05	1.342628e-06	1.342628e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.625534e-04	1.861688e-05	1.861688e-05
3.000000e+01	4.000000e+01	7.162610e-04	2.739884e-05	2.739884e-05
4.000000e+01	5.000000e+01	7.297992e-04	2.574412e-05	2.574412e-05
5.000000e+01	6.000000e+01	7.098344e-04	2.623253e-05	2.623253e-05
6.000000e+01	7.000000e+01	7.155339e-04	2.363066e-05	2.363066e-05
7.000000e+01	8.000000e+01	6.960574e-04	2.222677e-05	2.222677e-05
8.000000e+01	9.000000e+01	5.909072e-04	2.320822e-05	2.320822e-05
9.000000e+01	1.000000e+02	5.357605e-04	2.366324e-05	2.366324e-05
1.000000e+02	1.100000e+02	4.761853e-04	1.704323e-05	1.704323e-05
1.100000e+02	1.200000e+02	3.947403e-04	2.214304e-05	2.214304e-05
1.200000e+02	1.300000e+02	2.984183e-04	3.709160e-05	3.709160e-05
1.300000e+02	1.400000e+02	2.794612e-04	1.643623e-05	1.643623e-05
1.400000e+02	1.500000e+02	2.070472e-04	1.859015e-05	1.859015e-05
1.500000e+02	1.600000e+02	1.809480e-04	1.628803e-05	1.628803e-05
1.600000e+02	1.700000e+02	1.626848e-04	1.767050e-05	1.767050e-05
1.700000e+02	1.800000e+02	1.301451e-04	1.567097e-05	1.567097e-05
1.800000e+02	1.900000e+02	1.492488e-04	2.086890e-05	2.086890e-05
1.900000e+02	2.000000e+02	7.618547e-05	9.916916e-06	9.916916e-06
2.000000e+02	2.100000e+02	8.221342e-05	2.312527e-05	2.312527e-05
2.100000e+02	2.200000e+02	5.265547e-05	2.266070e-05	2.266070e-05
2.200000e+02	2.300000e+02	5.946392e-05	1.220241e-05	1.220241e-05
2.300000e+02	2.400000e+02	4.727119e-05	8.177517e-06	8.177517e-06
2.400000e+02	2.500000e+02	4.129118e-05	1.064823e-05	1.064823e-05
2.500000e+02	2.600000e+02	5.466797e-05	1.135669e-05	1.135669e-05
2.600000e+02	2.700000e+02	2.610617e-05	7.915707e-06	7.915707e-06
2.700000e+02	2.800000e+02	1.071661e-05	1.498506e-05	1.498506e-05
2.800000e+02	2.900000e+02	-5.545308e-06	3.455937e-05	3.455937e-05
2.900000e+02	3.000000e+02	1.248396e-05	7.263514e-06	7.263514e-06
3.000000e+02	3.100000e+02	2.212086e-05	8.379037e-06	8.379037e-06
3.100000e+02	3.200000e+02	3.023718e-05	1.134880e-05	1.134880e-05
3.200000e+02	3.300000e+02	4.285985e-05	1.991748e-05	1.991748e-05
3.300000e+02	3.400000e+02	-7.904971e-06	8.427222e-06	8.427222e-06
3.400000e+02	3.500000e+02	2.773951e-06	4.313070e-06	4.313070e-06
3.500000e+02	3.600000e+02	1.187776e-05	4.818055e-06	4.818055e-06
3.600000e+02	3.700000e+02	-1.663709e-06	4.822174e-06	4.822174e-06
3.700000e+02	3.800000e+02	2.164989e-05	1.922677e-05	1.922677e-05
3.800000e+02	3.900000e+02	4.238029e-06	4.804823e-06	4.804823e-06
3.900000e+02	4.000000e+02	6.187261e-07	3.135650e-06	3.135650e-06
4.000000e+02	4.100000e+02	-7.980920e-07	4.001582e-06	4.001582e-06
4.100000e+02	4.200000e+02	2.130349e-06	5.555259e-06	5.555259e-06
4.200000e+02	4.300000e+02	-5.325825e-08	4.419932e-06	4.419932e-06
4.300000e+02	4.400000e+02	1.666264e-08	3.455141e-06	3.455141e-06
4.400000e+02	4.500000e+02	7.645045e-06	4.505224e-06	4.505224e-06
4.500000e+02	4.600000e+02	1.562200e-08	2.786403e-06	2.786403e-06
4.600000e+02	4.700000e+02	2.948974e-06	1.963973e-06	1.963973e-06
4.700000e+02	4.800000e+02	3.081728e-06	5.558391e-06	5.558391e-06
4.800000e+02	4.900000e+02	1.167321e-07	2.630152e-06	2.630152e-06
4.900000e+02	5.000000e+02	-6.640926e-06	6.352628e-06	6.352628e-06
# END HISTO1D

