# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht
XLabel=$H_{T}$ (GeV)
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/avgNGapJets_ht
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_ht
Title=h(2*,3*,4)
XLabel=ht
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	nan	nan	nan
1.000000e+01	2.000000e+01	nan	nan	nan
2.000000e+01	3.000000e+01	1.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	1.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	5.000000e+01	1.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	6.000000e+01	1.098579e+00	5.595095e-03	5.595095e-03
6.000000e+01	7.000000e+01	1.207642e+00	1.330261e-02	1.330261e-02
7.000000e+01	8.000000e+01	1.261585e+00	1.425539e-02	1.425539e-02
8.000000e+01	9.000000e+01	1.270638e+00	3.826064e-02	3.826064e-02
9.000000e+01	1.000000e+02	1.395970e+00	1.825440e-02	1.825440e-02
1.000000e+02	1.100000e+02	1.447792e+00	2.590255e-02	2.590255e-02
1.100000e+02	1.200000e+02	1.517328e+00	2.124907e-02	2.124907e-02
1.200000e+02	1.300000e+02	1.619358e+00	3.599901e-02	3.599901e-02
1.300000e+02	1.400000e+02	1.621124e+00	3.120532e-02	3.120532e-02
1.400000e+02	1.500000e+02	1.688084e+00	4.512467e-02	4.512467e-02
1.500000e+02	1.600000e+02	1.855485e+00	4.091361e-02	4.091361e-02
1.600000e+02	1.700000e+02	1.875922e+00	1.675722e-01	1.675722e-01
1.700000e+02	1.800000e+02	1.842936e+00	5.576687e-02	5.576687e-02
1.800000e+02	1.900000e+02	1.911474e+00	6.165376e-02	6.165376e-02
1.900000e+02	2.000000e+02	2.290625e+00	1.498583e-01	1.498583e-01
2.000000e+02	2.100000e+02	1.707097e+00	2.717052e-01	2.717052e-01
2.100000e+02	2.200000e+02	2.195792e+00	1.842910e-01	1.842910e-01
