# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.279230e-05	4.835927e-06	4.835927e-06
2.000000e-01	4.000000e-01	1.229850e-04	6.490119e-06	6.490119e-06
4.000000e-01	6.000000e-01	2.300636e-04	2.572885e-05	2.572885e-05
6.000000e-01	8.000000e-01	3.008579e-04	1.134079e-05	1.134079e-05
8.000000e-01	1.000000e+00	4.312965e-04	1.533943e-05	1.533943e-05
1.000000e+00	1.200000e+00	5.983500e-04	5.279306e-05	5.279306e-05
1.200000e+00	1.400000e+00	8.865595e-04	2.732883e-05	2.732883e-05
1.400000e+00	1.600000e+00	1.185934e-03	9.627156e-05	9.627156e-05
1.600000e+00	1.800000e+00	2.076440e-03	5.025545e-05	5.025545e-05
1.800000e+00	2.000000e+00	3.698683e-03	1.046752e-04	1.046752e-04
2.000000e+00	2.200000e+00	6.467085e-03	2.559099e-04	2.559099e-04
2.200000e+00	2.400000e+00	1.255563e-02	1.760782e-04	1.760782e-04
2.400000e+00	2.600000e+00	2.183882e-02	1.905836e-04	1.905836e-04
2.600000e+00	2.800000e+00	3.598006e-02	2.119988e-04	2.119988e-04
2.800000e+00	3.000000e+00	5.725015e-02	6.812019e-04	6.812019e-04
3.000000e+00	3.200000e+00	7.823575e-02	5.393067e-04	5.393067e-04
3.200000e+00	3.400000e+00	6.782405e-02	5.524278e-04	5.524278e-04
3.400000e+00	3.600000e+00	6.298300e-02	3.750915e-04	3.750915e-04
3.600000e+00	3.800000e+00	5.699305e-02	3.108693e-04	3.108693e-04
3.800000e+00	4.000000e+00	5.248550e-02	2.998704e-04	2.998704e-04
4.000000e+00	4.200000e+00	4.682496e-02	3.960136e-04	3.960136e-04
4.200000e+00	4.400000e+00	4.202568e-02	2.809757e-04	2.809757e-04
4.400000e+00	4.600000e+00	3.772202e-02	2.669534e-04	2.669534e-04
4.600000e+00	4.800000e+00	3.337561e-02	3.438114e-04	3.438114e-04
4.800000e+00	5.000000e+00	2.810681e-02	2.507751e-04	2.507751e-04
5.000000e+00	5.200000e+00	2.451544e-02	1.709698e-04	1.709698e-04
5.200000e+00	5.400000e+00	2.027365e-02	1.041651e-04	1.041651e-04
5.400000e+00	5.600000e+00	1.688376e-02	9.081229e-05	9.081229e-05
5.600000e+00	5.800000e+00	1.386512e-02	1.175292e-04	1.175292e-04
5.800000e+00	6.000000e+00	1.099671e-02	9.507786e-05	9.507786e-05
6.000000e+00	6.200000e+00	8.800795e-03	4.621023e-05	4.621023e-05
6.200000e+00	6.400000e+00	6.805790e-03	7.112596e-05	7.112596e-05
6.400000e+00	6.600000e+00	5.357575e-03	3.884196e-05	3.884196e-05
6.600000e+00	6.800000e+00	4.052753e-03	4.784192e-05	4.784192e-05
6.800000e+00	7.000000e+00	3.038285e-03	2.037052e-05	2.037052e-05
7.000000e+00	7.200000e+00	2.297349e-03	1.891321e-05	1.891321e-05
7.200000e+00	7.400000e+00	1.683291e-03	1.481586e-05	1.481586e-05
7.400000e+00	7.600000e+00	1.218806e-03	1.482888e-05	1.482888e-05
7.600000e+00	7.800000e+00	8.464655e-04	2.156818e-05	2.156818e-05
7.800000e+00	8.000000e+00	5.928820e-04	1.121256e-05	1.121256e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.953292e-05	1.933869e-05	1.933869e-05
2.000000e-01	4.000000e-01	4.899453e-05	1.488935e-05	1.488935e-05
4.000000e-01	6.000000e-01	-1.262000e-05	4.229927e-05	4.229927e-05
6.000000e-01	8.000000e-01	1.478534e-04	4.927752e-05	4.927752e-05
8.000000e-01	1.000000e+00	1.584893e-04	6.969577e-05	6.969577e-05
1.000000e+00	1.200000e+00	4.422763e-04	1.534579e-04	1.534579e-04
1.200000e+00	1.400000e+00	4.036093e-04	1.148460e-04	1.148460e-04
1.400000e+00	1.600000e+00	5.030560e-04	1.312058e-04	1.312058e-04
1.600000e+00	1.800000e+00	5.990970e-04	1.216459e-04	1.216459e-04
1.800000e+00	2.000000e+00	8.393865e-04	1.134012e-04	1.134012e-04
2.000000e+00	2.200000e+00	1.582774e-03	3.330148e-04	3.330148e-04
2.200000e+00	2.400000e+00	3.053338e-03	3.838363e-04	3.838363e-04
2.400000e+00	2.600000e+00	5.394285e-03	3.026291e-04	3.026291e-04
2.600000e+00	2.800000e+00	8.311825e-03	5.393526e-04	5.393526e-04
2.800000e+00	3.000000e+00	1.141450e-02	7.370631e-04	7.370631e-04
3.000000e+00	3.200000e+00	1.344422e-02	1.065527e-03	1.065527e-03
3.200000e+00	3.400000e+00	1.110624e-02	1.500329e-03	1.500329e-03
3.400000e+00	3.600000e+00	1.015528e-02	1.760480e-03	1.760480e-03
3.600000e+00	3.800000e+00	1.153599e-02	1.199073e-03	1.199073e-03
3.800000e+00	4.000000e+00	9.129970e-03	6.481389e-04	6.481389e-04
4.000000e+00	4.200000e+00	1.020164e-02	6.295145e-04	6.295145e-04
4.200000e+00	4.400000e+00	9.095600e-03	4.430731e-04	4.430731e-04
4.400000e+00	4.600000e+00	9.232755e-03	8.190075e-04	8.190075e-04
4.600000e+00	4.800000e+00	6.510775e-03	6.847713e-04	6.847713e-04
4.800000e+00	5.000000e+00	7.056995e-03	2.926277e-04	2.926277e-04
5.000000e+00	5.200000e+00	6.307200e-03	4.441859e-04	4.441859e-04
5.200000e+00	5.400000e+00	4.888684e-03	2.003449e-04	2.003449e-04
5.400000e+00	5.600000e+00	4.677082e-03	2.238085e-04	2.238085e-04
5.600000e+00	5.800000e+00	3.757750e-03	1.372813e-04	1.372813e-04
5.800000e+00	6.000000e+00	3.163684e-03	1.407016e-04	1.407016e-04
6.000000e+00	6.200000e+00	2.657255e-03	1.820260e-04	1.820260e-04
6.200000e+00	6.400000e+00	1.873412e-03	1.276852e-04	1.276852e-04
6.400000e+00	6.600000e+00	1.604278e-03	1.399981e-04	1.399981e-04
6.600000e+00	6.800000e+00	1.259485e-03	8.991634e-05	8.991634e-05
6.800000e+00	7.000000e+00	9.755850e-04	7.331843e-05	7.331843e-05
7.000000e+00	7.200000e+00	7.308515e-04	6.691779e-05	6.691779e-05
7.200000e+00	7.400000e+00	5.264320e-04	2.945775e-05	2.945775e-05
7.400000e+00	7.600000e+00	4.696545e-04	6.670191e-05	6.670191e-05
7.600000e+00	7.800000e+00	2.887045e-04	1.259564e-05	1.259564e-05
7.800000e+00	8.000000e+00	2.470306e-04	2.864212e-05	2.864212e-05
# END HISTO1D

