# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (pb)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.597957e-02	2.482506e-04	2.482506e-04
1.047198e-01	2.094395e-01	2.597224e-02	1.272819e-04	1.272819e-04
2.094395e-01	3.141593e-01	2.603073e-02	3.378836e-04	3.378836e-04
3.141593e-01	4.188790e-01	2.618471e-02	2.017969e-04	2.017969e-04
4.188790e-01	5.235988e-01	2.565406e-02	4.558002e-04	4.558002e-04
5.235988e-01	6.283185e-01	2.647866e-02	1.494770e-04	1.494770e-04
6.283185e-01	7.330383e-01	2.685165e-02	1.877531e-04	1.877531e-04
7.330383e-01	8.377580e-01	2.763161e-02	2.273170e-04	2.273170e-04
8.377580e-01	9.424778e-01	2.725235e-02	2.115295e-04	2.115295e-04
9.424778e-01	1.047198e+00	2.789159e-02	1.504490e-04	1.504490e-04
1.047198e+00	1.151917e+00	2.839644e-02	1.852416e-04	1.852416e-04
1.151917e+00	1.256637e+00	2.905956e-02	1.925731e-04	1.925731e-04
1.256637e+00	1.361357e+00	2.958471e-02	1.849475e-04	1.849475e-04
1.361357e+00	1.466077e+00	3.021096e-02	3.341206e-04	3.341206e-04
1.466077e+00	1.570796e+00	3.100723e-02	1.814767e-04	1.814767e-04
1.570796e+00	1.675516e+00	3.159950e-02	2.976933e-04	2.976933e-04
1.675516e+00	1.780236e+00	3.206067e-02	2.514844e-04	2.514844e-04
1.780236e+00	1.884956e+00	3.352629e-02	2.977360e-04	2.977360e-04
1.884956e+00	1.989675e+00	3.381974e-02	2.050651e-04	2.050651e-04
1.989675e+00	2.094395e+00	3.473377e-02	3.498912e-04	3.498912e-04
2.094395e+00	2.199115e+00	3.594191e-02	1.826261e-04	1.826261e-04
2.199115e+00	2.303835e+00	3.631825e-02	8.210936e-04	8.210936e-04
2.303835e+00	2.408554e+00	3.768442e-02	3.961934e-04	3.961934e-04
