# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2 //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2 //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltay_H_j2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.115836e-02	9.549835e-05	9.549835e-05
2.000000e-01	4.000000e-01	1.176006e-02	1.547046e-04	1.547046e-04
4.000000e-01	6.000000e-01	1.336313e-02	7.660946e-05	7.660946e-05
6.000000e-01	8.000000e-01	1.541282e-02	2.509056e-04	2.509056e-04
8.000000e-01	1.000000e+00	1.845601e-02	1.576018e-04	1.576018e-04
1.000000e+00	1.200000e+00	2.144470e-02	1.569452e-04	1.569452e-04
1.200000e+00	1.400000e+00	2.484423e-02	2.354247e-04	2.354247e-04
1.400000e+00	1.600000e+00	2.878192e-02	2.734810e-04	2.734810e-04
1.600000e+00	1.800000e+00	3.255473e-02	2.609634e-04	2.609634e-04
1.800000e+00	2.000000e+00	3.589887e-02	3.826435e-04	3.826435e-04
2.000000e+00	2.200000e+00	3.855552e-02	2.661862e-04	2.661862e-04
2.200000e+00	2.400000e+00	4.112871e-02	2.516537e-04	2.516537e-04
2.400000e+00	2.600000e+00	4.319498e-02	2.728293e-04	2.728293e-04
2.600000e+00	2.800000e+00	4.349611e-02	2.700481e-04	2.700481e-04
2.800000e+00	3.000000e+00	4.440590e-02	2.873085e-04	2.873085e-04
3.000000e+00	3.200000e+00	4.288763e-02	4.130545e-04	4.130545e-04
3.200000e+00	3.400000e+00	4.142653e-02	4.172045e-04	4.172045e-04
3.400000e+00	3.600000e+00	3.928804e-02	2.959805e-04	2.959805e-04
3.600000e+00	3.800000e+00	3.611425e-02	3.404559e-04	3.404559e-04
3.800000e+00	4.000000e+00	3.299528e-02	4.516295e-04	4.516295e-04
4.000000e+00	4.200000e+00	2.956716e-02	2.367187e-04	2.367187e-04
4.200000e+00	4.400000e+00	2.589561e-02	5.181667e-04	5.181667e-04
4.400000e+00	4.600000e+00	2.134124e-02	2.182413e-04	2.182413e-04
4.600000e+00	4.800000e+00	1.813154e-02	1.414902e-04	1.414902e-04
4.800000e+00	5.000000e+00	1.466251e-02	2.251891e-04	2.251891e-04
5.000000e+00	5.200000e+00	1.239332e-02	1.678455e-04	1.678455e-04
5.200000e+00	5.400000e+00	9.563155e-03	1.769460e-04	1.769460e-04
5.400000e+00	5.600000e+00	7.175495e-03	6.596922e-05	6.596922e-05
5.600000e+00	5.800000e+00	5.393505e-03	1.359552e-04	1.359552e-04
5.800000e+00	6.000000e+00	3.684389e-03	1.406626e-04	1.406626e-04
6.000000e+00	6.200000e+00	2.856769e-03	7.546589e-05	7.546589e-05
