# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.528926e-06	2.584229e-07	2.584229e-07
-4.400000e+00	-4.200000e+00	3.570278e-05	1.630939e-06	1.630939e-06
-4.200000e+00	-4.000000e+00	1.343327e-04	6.717459e-06	6.717459e-06
-4.000000e+00	-3.800000e+00	3.240107e-04	7.597133e-06	7.597133e-06
-3.800000e+00	-3.600000e+00	6.370415e-04	2.078764e-05	2.078764e-05
-3.600000e+00	-3.400000e+00	1.097766e-03	2.117358e-05	2.117358e-05
-3.400000e+00	-3.200000e+00	1.737037e-03	1.414295e-04	1.414295e-04
-3.200000e+00	-3.000000e+00	2.515265e-03	7.128582e-05	7.128582e-05
-3.000000e+00	-2.800000e+00	3.278903e-03	5.294160e-05	5.294160e-05
-2.800000e+00	-2.600000e+00	4.076733e-03	6.946046e-05	6.946046e-05
-2.600000e+00	-2.400000e+00	4.942883e-03	9.411779e-05	9.411779e-05
-2.400000e+00	-2.200000e+00	5.560555e-03	1.322465e-04	1.322465e-04
-2.200000e+00	-2.000000e+00	6.169100e-03	4.912055e-04	4.912055e-04
-2.000000e+00	-1.800000e+00	5.959450e-03	1.275690e-04	1.275690e-04
-1.800000e+00	-1.600000e+00	5.770420e-03	1.214554e-04	1.214554e-04
-1.600000e+00	-1.400000e+00	5.409650e-03	1.683243e-04	1.683243e-04
-1.400000e+00	-1.200000e+00	4.693133e-03	1.101354e-04	1.101354e-04
-1.200000e+00	-1.000000e+00	4.199668e-03	9.048565e-05	9.048565e-05
-1.000000e+00	-8.000000e-01	3.788245e-03	8.038714e-05	8.038714e-05
-8.000000e-01	-6.000000e-01	3.227841e-03	8.703843e-05	8.703843e-05
-6.000000e-01	-4.000000e-01	2.712903e-03	1.375509e-04	1.375509e-04
-4.000000e-01	-2.000000e-01	2.464112e-03	5.538576e-05	5.538576e-05
-2.000000e-01	0.000000e+00	2.307964e-03	9.624882e-05	9.624882e-05
0.000000e+00	2.000000e-01	2.193748e-03	1.144936e-04	1.144936e-04
2.000000e-01	4.000000e-01	2.626378e-03	1.103598e-04	1.103598e-04
4.000000e-01	6.000000e-01	2.734279e-03	9.415450e-05	9.415450e-05
6.000000e-01	8.000000e-01	3.275373e-03	1.087327e-04	1.087327e-04
8.000000e-01	1.000000e+00	3.381518e-03	1.702265e-04	1.702265e-04
1.000000e+00	1.200000e+00	3.758353e-03	1.367915e-04	1.367915e-04
1.200000e+00	1.400000e+00	4.501126e-03	1.620117e-04	1.620117e-04
1.400000e+00	1.600000e+00	5.110240e-03	8.057568e-05	8.057568e-05
1.600000e+00	1.800000e+00	5.514795e-03	8.063298e-05	8.063298e-05
1.800000e+00	2.000000e+00	5.575465e-03	9.842628e-05	9.842628e-05
2.000000e+00	2.200000e+00	5.829215e-03	2.207914e-04	2.207914e-04
2.200000e+00	2.400000e+00	5.187805e-03	9.390269e-05	9.390269e-05
2.400000e+00	2.600000e+00	4.790075e-03	7.909191e-05	7.909191e-05
2.600000e+00	2.800000e+00	4.150533e-03	5.377918e-05	5.377918e-05
2.800000e+00	3.000000e+00	3.251930e-03	5.085968e-05	5.085968e-05
3.000000e+00	3.200000e+00	2.397392e-03	6.377731e-05	6.377731e-05
3.200000e+00	3.400000e+00	1.681234e-03	7.070394e-05	7.070394e-05
3.400000e+00	3.600000e+00	1.163477e-03	6.317640e-05	6.317640e-05
3.600000e+00	3.800000e+00	6.389950e-04	1.512310e-05	1.512310e-05
3.800000e+00	4.000000e+00	3.130705e-04	8.487285e-06	8.487285e-06
4.000000e+00	4.200000e+00	1.272336e-04	8.155112e-06	8.155112e-06
4.200000e+00	4.400000e+00	3.665189e-05	1.431233e-06	1.431233e-06
4.400000e+00	4.600000e+00	2.688926e-06	4.197767e-07	4.197767e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	6.697720e-07	4.894423e-07	4.894423e-07
-4.400000e+00	-4.200000e+00	5.473440e-06	4.459104e-06	4.459104e-06
-4.200000e+00	-4.000000e+00	2.603095e-05	4.227838e-06	4.227838e-06
-4.000000e+00	-3.800000e+00	3.171791e-05	1.170332e-05	1.170332e-05
-3.800000e+00	-3.600000e+00	1.506129e-04	4.934811e-05	4.934811e-05
-3.600000e+00	-3.400000e+00	2.004174e-04	7.130531e-05	7.130531e-05
-3.400000e+00	-3.200000e+00	3.763327e-04	1.218533e-04	1.218533e-04
-3.200000e+00	-3.000000e+00	5.425355e-04	1.645122e-04	1.645122e-04
-3.000000e+00	-2.800000e+00	6.079700e-04	1.891061e-04	1.891061e-04
-2.800000e+00	-2.600000e+00	6.752695e-04	2.108581e-04	2.108581e-04
-2.600000e+00	-2.400000e+00	-9.580205e-05	6.198514e-04	6.198514e-04
-2.400000e+00	-2.200000e+00	2.446074e-04	3.224527e-04	3.224527e-04
-2.200000e+00	-2.000000e+00	1.004059e-03	4.303695e-04	4.303695e-04
-2.000000e+00	-1.800000e+00	1.568519e-03	3.074761e-04	3.074761e-04
-1.800000e+00	-1.600000e+00	2.212894e-03	8.677678e-04	8.677678e-04
-1.600000e+00	-1.400000e+00	3.011399e-05	3.783980e-04	3.783980e-04
-1.400000e+00	-1.200000e+00	1.237423e-03	2.901693e-04	2.901693e-04
-1.200000e+00	-1.000000e+00	1.252070e-03	5.357156e-04	5.357156e-04
-1.000000e+00	-8.000000e-01	4.296170e-04	3.609597e-04	3.609597e-04
-8.000000e-01	-6.000000e-01	7.962960e-04	2.391397e-04	2.391397e-04
-6.000000e-01	-4.000000e-01	9.900515e-04	1.844321e-04	1.844321e-04
-4.000000e-01	-2.000000e-01	7.484115e-04	1.340818e-04	1.340818e-04
-2.000000e-01	0.000000e+00	4.839522e-04	1.955626e-04	1.955626e-04
0.000000e+00	2.000000e-01	5.947625e-04	1.578463e-04	1.578463e-04
2.000000e-01	4.000000e-01	5.340370e-04	1.460191e-04	1.460191e-04
4.000000e-01	6.000000e-01	5.890375e-04	2.717537e-04	2.717537e-04
6.000000e-01	8.000000e-01	5.571665e-04	3.279212e-04	3.279212e-04
8.000000e-01	1.000000e+00	6.797070e-04	1.931806e-04	1.931806e-04
1.000000e+00	1.200000e+00	5.401870e-04	2.029894e-04	2.029894e-04
1.200000e+00	1.400000e+00	1.427235e-03	3.323829e-04	3.323829e-04
1.400000e+00	1.600000e+00	8.567970e-04	3.420141e-04	3.420141e-04
1.600000e+00	1.800000e+00	8.266255e-04	5.594562e-04	5.594562e-04
1.800000e+00	2.000000e+00	7.363890e-04	2.150213e-04	2.150213e-04
2.000000e+00	2.200000e+00	1.162256e-03	3.212759e-04	3.212759e-04
2.200000e+00	2.400000e+00	5.791640e-04	2.100960e-04	2.100960e-04
2.400000e+00	2.600000e+00	5.608795e-05	2.269325e-04	2.269325e-04
2.600000e+00	2.800000e+00	5.923625e-04	1.740784e-04	1.740784e-04
2.800000e+00	3.000000e+00	1.859188e-04	1.726315e-04	1.726315e-04
3.000000e+00	3.200000e+00	-2.614125e-06	1.575726e-04	1.575726e-04
3.200000e+00	3.400000e+00	4.133994e-04	2.377262e-04	2.377262e-04
3.400000e+00	3.600000e+00	1.872575e-04	5.270934e-05	5.270934e-05
3.600000e+00	3.800000e+00	3.311841e-05	3.859314e-05	3.859314e-05
3.800000e+00	4.000000e+00	6.871775e-05	2.809344e-05	2.809344e-05
4.000000e+00	4.200000e+00	2.055546e-05	7.336949e-06	7.336949e-06
4.200000e+00	4.400000e+00	3.040017e-06	4.531233e-06	4.531233e-06
4.400000e+00	4.600000e+00	1.966211e-07	2.954126e-07	2.954126e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

