# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$\theta_{j1,j2}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j2}$ (pb)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j2_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.703828e-01	1.415241e-03	1.415241e-03
5.000000e-02	1.000000e-01	1.691351e-01	1.133069e-03	1.133069e-03
1.000000e-01	1.500000e-01	1.741208e-01	8.651650e-04	8.651650e-04
1.500000e-01	2.000000e-01	1.721389e-01	9.973731e-04	9.973731e-04
2.000000e-01	2.500000e-01	1.504883e-01	1.524002e-03	1.524002e-03
2.500000e-01	3.000000e-01	1.276373e-01	7.033827e-04	7.033827e-04
3.000000e-01	3.500000e-01	1.210671e-01	1.463500e-03	1.463500e-03
3.500000e-01	4.000000e-01	1.246293e-01	1.087572e-03	1.087572e-03
4.000000e-01	4.500000e-01	1.247226e-01	1.106526e-03	1.106526e-03
4.500000e-01	5.000000e-01	1.278800e-01	1.175209e-03	1.175209e-03
5.000000e-01	5.500000e-01	1.296075e-01	9.967961e-04	9.967961e-04
5.500000e-01	6.000000e-01	1.330543e-01	1.286530e-03	1.286530e-03
6.000000e-01	6.500000e-01	1.340792e-01	8.382570e-04	8.382570e-04
6.500000e-01	7.000000e-01	1.377573e-01	1.080109e-03	1.080109e-03
7.000000e-01	7.500000e-01	1.458408e-01	2.410495e-03	2.410495e-03
7.500000e-01	8.000000e-01	1.664214e-01	1.917311e-03	1.917311e-03
8.000000e-01	8.500000e-01	1.955106e-01	1.601805e-03	1.601805e-03
8.500000e-01	9.000000e-01	1.985369e-01	1.051380e-03	1.051380e-03
9.000000e-01	9.500000e-01	1.922952e-01	1.453994e-03	1.453994e-03
9.500000e-01	1.000000e+00	1.958040e-01	1.033082e-03	1.033082e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j2_pullangle
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.227368e-02	3.811698e-03	3.811698e-03
5.000000e-02	1.000000e-01	3.645962e-02	2.378994e-03	2.378994e-03
1.000000e-01	1.500000e-01	3.803696e-02	2.315469e-03	2.315469e-03
1.500000e-01	2.000000e-01	4.053436e-02	2.791918e-03	2.791918e-03
2.000000e-01	2.500000e-01	2.505380e-02	6.751296e-03	6.751296e-03
2.500000e-01	3.000000e-01	2.479304e-02	3.087431e-03	3.087431e-03
3.000000e-01	3.500000e-01	2.574636e-02	1.779069e-03	1.779069e-03
3.500000e-01	4.000000e-01	2.272944e-02	2.954415e-03	2.954415e-03
4.000000e-01	4.500000e-01	2.683888e-02	1.582506e-03	1.582506e-03
4.500000e-01	5.000000e-01	2.873752e-02	2.017520e-03	2.017520e-03
5.000000e-01	5.500000e-01	2.883346e-02	3.265238e-03	3.265238e-03
5.500000e-01	6.000000e-01	2.067294e-02	4.981459e-03	4.981459e-03
6.000000e-01	6.500000e-01	2.889564e-02	2.005444e-03	2.005444e-03
6.500000e-01	7.000000e-01	2.996702e-02	2.606384e-03	2.606384e-03
7.000000e-01	7.500000e-01	3.288768e-02	3.120977e-03	3.120977e-03
7.500000e-01	8.000000e-01	3.558108e-02	2.138118e-03	2.138118e-03
8.000000e-01	8.500000e-01	4.152336e-02	2.443926e-03	2.443926e-03
8.500000e-01	9.000000e-01	4.210178e-02	2.530394e-03	2.530394e-03
9.000000e-01	9.500000e-01	4.191964e-02	2.451923e-03	2.451923e-03
9.500000e-01	1.000000e+00	4.345844e-02	1.947353e-03	1.947353e-03
# END HISTO1D

