# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	4.311588e-10	3.426015e-10	3.426015e-10
1.200000e+01	1.600000e+01	9.466943e-08	1.206739e-08	1.206739e-08
1.600000e+01	2.000000e+01	1.242074e-06	6.499642e-08	6.499642e-08
2.000000e+01	2.400000e+01	4.432665e-06	1.060287e-06	1.060287e-06
2.400000e+01	2.800000e+01	1.343326e-05	6.148664e-07	6.148664e-07
2.800000e+01	3.200000e+01	2.080831e-05	1.431646e-06	1.431646e-06
3.200000e+01	3.600000e+01	3.010482e-05	9.498056e-07	9.498056e-07
3.600000e+01	4.000000e+01	4.124285e-05	2.764171e-06	2.764171e-06
4.000000e+01	4.400000e+01	4.200483e-05	2.043660e-06	2.043660e-06
4.400000e+01	4.800000e+01	4.506367e-05	1.026062e-06	1.026062e-06
4.800000e+01	5.200000e+01	4.709182e-05	2.659018e-06	2.659018e-06
5.200000e+01	5.600000e+01	4.886078e-05	2.813077e-06	2.813077e-06
5.600000e+01	6.000000e+01	4.579367e-05	1.452549e-06	1.452549e-06
6.000000e+01	6.400000e+01	4.156085e-05	1.256155e-06	1.256155e-06
6.400000e+01	6.800000e+01	4.118105e-05	2.628355e-06	2.628355e-06
6.800000e+01	7.200000e+01	4.413995e-05	1.379696e-06	1.379696e-06
7.200000e+01	7.600000e+01	3.706630e-05	1.979774e-06	1.979774e-06
7.600000e+01	8.000000e+01	4.025010e-05	2.219104e-06	2.219104e-06
8.000000e+01	8.400000e+01	4.152940e-05	2.873279e-06	2.873279e-06
8.400000e+01	8.800000e+01	3.752800e-05	1.652763e-06	1.652763e-06
8.800000e+01	9.200000e+01	3.970727e-05	2.192616e-06	2.192616e-06
9.200000e+01	9.600000e+01	3.427072e-05	2.839760e-06	2.839760e-06
9.600000e+01	1.000000e+02	3.735880e-05	1.786285e-06	1.786285e-06
1.000000e+02	1.040000e+02	3.578043e-05	1.595029e-06	1.595029e-06
1.040000e+02	1.080000e+02	3.755415e-05	3.157996e-06	3.157996e-06
1.080000e+02	1.120000e+02	3.663448e-05	3.816712e-06	3.816712e-06
1.120000e+02	1.160000e+02	3.131068e-05	1.404587e-06	1.404587e-06
1.160000e+02	1.200000e+02	2.973720e-05	1.097081e-06	1.097081e-06
1.200000e+02	1.240000e+02	3.013877e-05	1.605472e-06	1.605472e-06
1.240000e+02	1.280000e+02	2.411176e-05	3.681785e-06	3.681785e-06
1.280000e+02	1.320000e+02	2.724987e-05	2.544164e-06	2.544164e-06
1.320000e+02	1.360000e+02	2.486537e-05	1.646153e-06	1.646153e-06
1.360000e+02	1.400000e+02	2.599243e-05	1.929235e-06	1.929235e-06
1.400000e+02	1.440000e+02	2.263687e-05	4.336823e-06	4.336823e-06
1.440000e+02	1.480000e+02	3.486797e-05	1.238723e-05	1.238723e-05
1.480000e+02	1.520000e+02	2.118859e-05	1.346602e-06	1.346602e-06
1.520000e+02	1.560000e+02	2.210907e-05	1.382874e-06	1.382874e-06
1.560000e+02	1.600000e+02	2.007250e-05	1.152416e-06	1.152416e-06
1.600000e+02	1.640000e+02	2.010087e-05	8.322154e-07	8.322154e-07
1.640000e+02	1.680000e+02	2.090757e-05	2.012414e-06	2.012414e-06
1.680000e+02	1.720000e+02	2.173583e-05	5.092266e-06	5.092266e-06
1.720000e+02	1.760000e+02	2.529532e-05	8.459558e-06	8.459558e-06
1.760000e+02	1.800000e+02	2.335629e-05	4.953960e-06	4.953960e-06
1.800000e+02	1.840000e+02	1.650864e-05	8.042873e-07	8.042873e-07
1.840000e+02	1.880000e+02	2.207877e-05	7.108818e-06	7.108818e-06
1.880000e+02	1.920000e+02	1.616861e-05	1.131403e-06	1.131403e-06
1.920000e+02	1.960000e+02	1.397143e-05	1.044851e-06	1.044851e-06
1.960000e+02	2.000000e+02	1.502095e-05	1.594762e-06	1.594762e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass_fine
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.470008e-10	9.174649e-11	9.174649e-11
1.200000e+01	1.600000e+01	1.615061e-08	1.107142e-08	1.107142e-08
1.600000e+01	2.000000e+01	3.153310e-07	9.233526e-08	9.233526e-08
2.000000e+01	2.400000e+01	1.226626e-06	3.538079e-07	3.538079e-07
2.400000e+01	2.800000e+01	7.984923e-07	9.379136e-07	9.379136e-07
2.800000e+01	3.200000e+01	1.405505e-06	1.333508e-06	1.333508e-06
3.200000e+01	3.600000e+01	8.536350e-07	3.347528e-06	3.347528e-06
3.600000e+01	4.000000e+01	5.704012e-06	4.514974e-06	4.514974e-06
4.000000e+01	4.400000e+01	2.624935e-06	5.459823e-06	5.459823e-06
4.400000e+01	4.800000e+01	7.329255e-06	6.039426e-06	6.039426e-06
4.800000e+01	5.200000e+01	1.113631e-05	6.366611e-06	6.366611e-06
5.200000e+01	5.600000e+01	1.222222e-05	4.276653e-06	4.276653e-06
5.600000e+01	6.000000e+01	1.228257e-07	4.677774e-06	4.677774e-06
6.000000e+01	6.400000e+01	2.547750e-05	7.582045e-06	7.582045e-06
6.400000e+01	6.800000e+01	9.989393e-06	3.566860e-06	3.566860e-06
6.800000e+01	7.200000e+01	3.160582e-07	1.026396e-05	1.026396e-05
7.200000e+01	7.600000e+01	8.143650e-06	3.335201e-06	3.335201e-06
7.600000e+01	8.000000e+01	1.556559e-05	3.036477e-06	3.036477e-06
8.000000e+01	8.400000e+01	7.325842e-06	3.435423e-06	3.435423e-06
8.400000e+01	8.800000e+01	7.525157e-06	2.988679e-06	2.988679e-06
8.800000e+01	9.200000e+01	1.280416e-05	3.399654e-06	3.399654e-06
9.200000e+01	9.600000e+01	3.448037e-06	3.751007e-06	3.751007e-06
9.600000e+01	1.000000e+02	6.047327e-06	5.263729e-06	5.263729e-06
1.000000e+02	1.040000e+02	7.406895e-06	4.990922e-06	4.990922e-06
1.040000e+02	1.080000e+02	1.146630e-05	3.071225e-06	3.071225e-06
1.080000e+02	1.120000e+02	8.170460e-06	4.419680e-06	4.419680e-06
1.120000e+02	1.160000e+02	1.815733e-05	7.959860e-06	7.959860e-06
1.160000e+02	1.200000e+02	-2.609785e-06	9.352429e-06	9.352429e-06
1.200000e+02	1.240000e+02	2.679788e-05	1.200918e-05	1.200918e-05
1.240000e+02	1.280000e+02	5.047388e-06	4.178133e-06	4.178133e-06
1.280000e+02	1.320000e+02	9.827213e-06	3.805338e-06	3.805338e-06
1.320000e+02	1.360000e+02	3.554390e-06	2.425532e-06	2.425532e-06
1.360000e+02	1.400000e+02	6.437048e-06	2.973944e-06	2.973944e-06
1.400000e+02	1.440000e+02	1.682732e-05	1.171463e-05	1.171463e-05
1.440000e+02	1.480000e+02	2.408514e-05	1.535852e-05	1.535852e-05
1.480000e+02	1.520000e+02	1.391577e-05	3.134731e-06	3.134731e-06
1.520000e+02	1.560000e+02	7.770070e-06	1.442083e-06	1.442083e-06
1.560000e+02	1.600000e+02	9.621638e-06	3.610540e-06	3.610540e-06
1.600000e+02	1.640000e+02	7.207748e-06	2.027560e-06	2.027560e-06
1.640000e+02	1.680000e+02	1.055225e-05	2.112406e-06	2.112406e-06
1.680000e+02	1.720000e+02	1.121639e-05	3.379967e-06	3.379967e-06
1.720000e+02	1.760000e+02	6.892910e-06	1.400560e-06	1.400560e-06
1.760000e+02	1.800000e+02	6.179072e-06	1.839261e-06	1.839261e-06
1.800000e+02	1.840000e+02	1.026396e-05	3.399439e-06	3.399439e-06
1.840000e+02	1.880000e+02	7.576393e-06	1.385861e-06	1.385861e-06
1.880000e+02	1.920000e+02	3.561182e-06	2.401611e-06	2.401611e-06
1.920000e+02	1.960000e+02	4.437805e-06	1.422777e-06	1.422777e-06
1.960000e+02	2.000000e+02	7.891165e-06	2.318515e-06	2.318515e-06
# END HISTO1D

