# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.414376e-04	1.240574e-06	1.240574e-06
4.000000e+01	8.000000e+01	2.455749e-04	1.554008e-06	1.554008e-06
8.000000e+01	1.200000e+02	1.408492e-04	2.078699e-06	2.078699e-06
1.200000e+02	1.600000e+02	6.849177e-05	1.432634e-06	1.432634e-06
1.600000e+02	2.000000e+02	3.555530e-05	9.990380e-07	9.990380e-07
2.000000e+02	2.400000e+02	2.165200e-05	7.427692e-07	7.427692e-07
2.400000e+02	2.800000e+02	1.628575e-05	3.501559e-07	3.501559e-07
2.800000e+02	3.200000e+02	1.377694e-05	3.293742e-07	3.293742e-07
3.200000e+02	3.600000e+02	1.365406e-05	2.916203e-07	2.916203e-07
3.600000e+02	4.000000e+02	1.468490e-05	4.670069e-07	4.670069e-07
4.000000e+02	4.400000e+02	1.674375e-05	5.573873e-07	5.573873e-07
4.400000e+02	4.800000e+02	1.756160e-05	4.184829e-07	4.184829e-07
4.800000e+02	5.200000e+02	1.801372e-05	3.961813e-07	3.961813e-07
5.200000e+02	5.600000e+02	1.928954e-05	6.530845e-07	6.530845e-07
5.600000e+02	6.000000e+02	2.066809e-05	2.679300e-07	2.679300e-07
6.000000e+02	6.400000e+02	2.160971e-05	4.786253e-07	4.786253e-07
6.400000e+02	6.800000e+02	2.124743e-05	5.944926e-07	5.944926e-07
6.800000e+02	7.200000e+02	2.168667e-05	1.061814e-06	1.061814e-06
7.200000e+02	7.600000e+02	2.128033e-05	5.710917e-07	5.710917e-07
7.600000e+02	8.000000e+02	2.154934e-05	3.988731e-07	3.988731e-07
8.000000e+02	8.400000e+02	2.079939e-05	5.071684e-07	5.071684e-07
8.400000e+02	8.800000e+02	1.996581e-05	5.701860e-07	5.701860e-07
8.800000e+02	9.200000e+02	1.939286e-05	3.307642e-07	3.307642e-07
9.200000e+02	9.600000e+02	1.939204e-05	5.135410e-07	5.135410e-07
9.600000e+02	1.000000e+03	1.927180e-05	5.618798e-07	5.618798e-07
1.000000e+03	1.040000e+03	1.834789e-05	4.660241e-07	4.660241e-07
1.040000e+03	1.080000e+03	1.643065e-05	3.798267e-07	3.798267e-07
1.080000e+03	1.120000e+03	1.575461e-05	3.732703e-07	3.732703e-07
1.120000e+03	1.160000e+03	1.615748e-05	7.967351e-07	7.967351e-07
1.160000e+03	1.200000e+03	1.362564e-05	4.377438e-07	4.377438e-07
1.200000e+03	1.240000e+03	1.367676e-05	4.784570e-07	4.784570e-07
1.240000e+03	1.280000e+03	1.292684e-05	3.995806e-07	3.995806e-07
1.280000e+03	1.320000e+03	1.279916e-05	5.211527e-07	5.211527e-07
1.320000e+03	1.360000e+03	1.005194e-05	1.097148e-06	1.097148e-06
1.360000e+03	1.400000e+03	1.088204e-05	3.520943e-07	3.520943e-07
1.400000e+03	1.440000e+03	1.098572e-05	6.029553e-07	6.029553e-07
1.440000e+03	1.480000e+03	9.933357e-06	2.341769e-07	2.341769e-07
1.480000e+03	1.520000e+03	8.272740e-06	9.796725e-07	9.796725e-07
1.520000e+03	1.560000e+03	8.251612e-06	2.185239e-07	2.185239e-07
1.560000e+03	1.600000e+03	8.244295e-06	2.624727e-07	2.624727e-07
1.600000e+03	1.640000e+03	7.841383e-06	3.212535e-07	3.212535e-07
1.640000e+03	1.680000e+03	8.148472e-06	6.419487e-07	6.419487e-07
1.680000e+03	1.720000e+03	6.124095e-06	3.479935e-07	3.479935e-07
1.720000e+03	1.760000e+03	5.744848e-06	3.601631e-07	3.601631e-07
1.760000e+03	1.800000e+03	5.902865e-06	3.262098e-07	3.262098e-07
1.800000e+03	1.840000e+03	7.579617e-06	2.384384e-06	2.384384e-06
1.840000e+03	1.880000e+03	3.254932e-06	1.214092e-06	1.214092e-06
1.880000e+03	1.920000e+03	3.727675e-06	1.276792e-06	1.276792e-06
1.920000e+03	1.960000e+03	4.523435e-06	5.841575e-07	5.841575e-07
1.960000e+03	2.000000e+03	4.281980e-06	3.608334e-07	3.608334e-07
2.000000e+03	2.040000e+03	3.650785e-06	1.744696e-07	1.744696e-07
2.040000e+03	2.080000e+03	3.473827e-06	1.459103e-07	1.459103e-07
2.080000e+03	2.120000e+03	3.111208e-06	1.269560e-07	1.269560e-07
2.120000e+03	2.160000e+03	2.754470e-06	1.898918e-07	1.898918e-07
2.160000e+03	2.200000e+03	2.858868e-06	1.292667e-07	1.292667e-07
2.200000e+03	2.240000e+03	2.622355e-06	1.429008e-07	1.429008e-07
2.240000e+03	2.280000e+03	2.454600e-06	1.545617e-07	1.545617e-07
