# BEGIN PLOT
Rebin=4
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_mass
XLabel=$m_{j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_mass
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.181564e-02	1.238190e-04	1.238190e-04
1.000000e+00	2.000000e+00	3.166201e-03	2.887841e-05	2.887841e-05
2.000000e+00	3.000000e+00	3.877539e-03	5.347265e-05	5.347265e-05
3.000000e+00	4.000000e+00	1.010852e-02	4.578066e-05	4.578066e-05
4.000000e+00	5.000000e+00	1.188921e-02	6.694091e-05	6.694091e-05
5.000000e+00	6.000000e+00	1.153108e-02	7.573743e-05	7.573743e-05
6.000000e+00	7.000000e+00	1.106924e-02	6.386004e-05	6.386004e-05
7.000000e+00	8.000000e+00	9.854370e-03	1.009562e-04	1.009562e-04
8.000000e+00	9.000000e+00	8.412055e-03	7.156328e-05	7.156328e-05
9.000000e+00	1.000000e+01	7.171163e-03	5.172579e-05	5.172579e-05
1.000000e+01	1.100000e+01	5.917481e-03	7.179803e-05	7.179803e-05
1.100000e+01	1.200000e+01	4.887203e-03	6.306218e-05	6.306218e-05
1.200000e+01	1.300000e+01	4.068939e-03	4.208172e-05	4.208172e-05
1.300000e+01	1.400000e+01	3.451089e-03	4.293853e-05	4.293853e-05
1.400000e+01	1.500000e+01	2.778493e-03	3.069386e-05	3.069386e-05
1.500000e+01	1.600000e+01	2.469338e-03	1.071550e-04	1.071550e-04
1.600000e+01	1.700000e+01	1.953247e-03	1.901028e-05	1.901028e-05
1.700000e+01	1.800000e+01	1.649367e-03	2.686034e-05	2.686034e-05
1.800000e+01	1.900000e+01	1.365651e-03	2.111961e-05	2.111961e-05
1.900000e+01	2.000000e+01	1.137762e-03	2.063042e-05	2.063042e-05
2.000000e+01	2.100000e+01	9.454519e-04	2.009043e-05	2.009043e-05
2.100000e+01	2.200000e+01	7.616011e-04	2.427820e-05	2.427820e-05
