# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
XLabel=$y_{j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.074519e-03	6.581478e-05	6.581478e-05
-4.400000e+00	-4.200000e+00	1.147714e-02	8.440264e-05	8.440264e-05
-4.200000e+00	-4.000000e+00	1.647892e-02	1.266799e-04	1.266799e-04
-4.000000e+00	-3.800000e+00	2.243195e-02	1.138157e-04	1.138157e-04
-3.800000e+00	-3.600000e+00	2.820292e-02	2.321139e-04	2.321139e-04
-3.600000e+00	-3.400000e+00	3.259883e-02	2.769859e-04	2.769859e-04
-3.400000e+00	-3.200000e+00	3.637384e-02	4.575185e-04	4.575185e-04
-3.200000e+00	-3.000000e+00	3.873010e-02	2.720794e-04	2.720794e-04
-3.000000e+00	-2.800000e+00	3.718794e-02	3.431116e-04	3.431116e-04
-2.800000e+00	-2.600000e+00	3.569407e-02	5.368186e-04	5.368186e-04
-2.600000e+00	-2.400000e+00	3.174354e-02	2.845854e-04	2.845854e-04
-2.400000e+00	-2.200000e+00	2.595383e-02	2.502939e-04	2.502939e-04
-2.200000e+00	-2.000000e+00	2.069106e-02	2.183604e-04	2.183604e-04
-2.000000e+00	-1.800000e+00	1.631056e-02	2.495668e-04	2.495668e-04
-1.800000e+00	-1.600000e+00	1.165266e-02	1.066364e-04	1.066364e-04
-1.600000e+00	-1.400000e+00	7.849245e-03	7.471735e-05	7.471735e-05
-1.400000e+00	-1.200000e+00	5.094750e-03	4.339248e-05	4.339248e-05
-1.200000e+00	-1.000000e+00	2.983650e-03	2.538555e-05	2.538555e-05
-1.000000e+00	-8.000000e-01	1.537051e-03	9.471099e-05	9.471099e-05
-8.000000e-01	-6.000000e-01	7.745380e-04	1.206411e-05	1.206411e-05
-6.000000e-01	-4.000000e-01	3.038327e-04	6.396382e-06	6.396382e-06
-4.000000e-01	-2.000000e-01	9.982060e-05	3.240303e-06	3.240303e-06
-2.000000e-01	0.000000e+00	1.549748e-05	1.247920e-06	1.247920e-06
0.000000e+00	2.000000e-01	1.576155e-05	1.888634e-06	1.888634e-06
2.000000e-01	4.000000e-01	9.038470e-05	2.072483e-06	2.072483e-06
4.000000e-01	6.000000e-01	3.057348e-04	6.333788e-06	6.333788e-06
6.000000e-01	8.000000e-01	7.546520e-04	7.431627e-06	7.431627e-06
8.000000e-01	1.000000e+00	1.618415e-03	1.740094e-05	1.740094e-05
1.000000e+00	1.200000e+00	3.045192e-03	3.718165e-05	3.718165e-05
1.200000e+00	1.400000e+00	4.954582e-03	5.916162e-05	5.916162e-05
1.400000e+00	1.600000e+00	7.852100e-03	7.848202e-05	7.848202e-05
1.600000e+00	1.800000e+00	1.135657e-02	1.385880e-04	1.385880e-04
1.800000e+00	2.000000e+00	1.581018e-02	1.444380e-04	1.444380e-04
2.000000e+00	2.200000e+00	2.139621e-02	2.851393e-04	2.851393e-04
2.200000e+00	2.400000e+00	2.623389e-02	2.011870e-04	2.011870e-04
2.400000e+00	2.600000e+00	3.070261e-02	3.940932e-04	3.940932e-04
2.600000e+00	2.800000e+00	3.563673e-02	2.671798e-04	2.671798e-04
2.800000e+00	3.000000e+00	3.746593e-02	2.994018e-04	2.994018e-04
3.000000e+00	3.200000e+00	3.755060e-02	2.896066e-04	2.896066e-04
3.200000e+00	3.400000e+00	3.586301e-02	3.790870e-04	3.790870e-04
3.400000e+00	3.600000e+00	3.299959e-02	2.267023e-04	2.267023e-04
3.600000e+00	3.800000e+00	2.780449e-02	1.808693e-04	1.808693e-04
3.800000e+00	4.000000e+00	2.195388e-02	3.919290e-04	3.919290e-04
4.000000e+00	4.200000e+00	1.641263e-02	2.079844e-04	2.079844e-04
4.200000e+00	4.400000e+00	1.082638e-02	1.371623e-04	1.371623e-04
4.400000e+00	4.600000e+00	3.867606e-03	7.149897e-05	7.149897e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.305138e-03	9.900037e-05	9.900037e-05
-4.400000e+00	-4.200000e+00	3.053513e-03	2.682081e-04	2.682081e-04
-4.200000e+00	-4.000000e+00	4.161036e-03	3.310136e-04	3.310136e-04
-4.000000e+00	-3.800000e+00	5.441500e-03	4.498186e-04	4.498186e-04
-3.800000e+00	-3.600000e+00	5.917175e-03	5.336284e-04	5.336284e-04
-3.600000e+00	-3.400000e+00	7.337950e-03	7.872622e-04	7.872622e-04
-3.400000e+00	-3.200000e+00	6.208420e-03	1.742366e-03	1.742366e-03
-3.200000e+00	-3.000000e+00	6.538655e-03	8.186765e-04	8.186765e-04
-3.000000e+00	-2.800000e+00	8.334765e-03	5.358160e-04	5.358160e-04
-2.800000e+00	-2.600000e+00	6.049480e-03	7.084268e-04	7.084268e-04
-2.600000e+00	-2.400000e+00	5.646445e-03	1.068358e-03	1.068358e-03
-2.400000e+00	-2.200000e+00	6.013030e-03	3.797688e-04	3.797688e-04
-2.200000e+00	-2.000000e+00	4.513135e-03	3.266129e-04	3.266129e-04
-2.000000e+00	-1.800000e+00	3.040683e-03	3.853933e-04	3.853933e-04
-1.800000e+00	-1.600000e+00	2.718026e-03	3.255194e-04	3.255194e-04
-1.600000e+00	-1.400000e+00	2.106162e-03	1.131218e-04	1.131218e-04
-1.400000e+00	-1.200000e+00	1.467619e-03	1.305275e-04	1.305275e-04
-1.200000e+00	-1.000000e+00	1.082747e-03	2.798957e-04	2.798957e-04
-1.000000e+00	-8.000000e-01	5.626235e-04	4.683249e-05	4.683249e-05
-8.000000e-01	-6.000000e-01	2.582567e-04	1.894691e-05	1.894691e-05
-6.000000e-01	-4.000000e-01	1.102049e-04	9.134082e-06	9.134082e-06
-4.000000e-01	-2.000000e-01	3.887813e-05	3.044432e-06	3.044432e-06
-2.000000e-01	0.000000e+00	7.076720e-06	2.742220e-06	2.742220e-06
0.000000e+00	2.000000e-01	7.737765e-06	2.391327e-06	2.391327e-06
2.000000e-01	4.000000e-01	3.362673e-05	3.877616e-06	3.877616e-06
4.000000e-01	6.000000e-01	1.072175e-04	5.389075e-06	5.389075e-06
6.000000e-01	8.000000e-01	2.867224e-04	2.173825e-05	2.173825e-05
8.000000e-01	1.000000e+00	5.259815e-04	2.529537e-05	2.529537e-05
1.000000e+00	1.200000e+00	8.490670e-04	1.130606e-04	1.130606e-04
1.200000e+00	1.400000e+00	1.179234e-03	9.131496e-05	9.131496e-05
1.400000e+00	1.600000e+00	1.748269e-03	2.671109e-04	2.671109e-04
1.600000e+00	1.800000e+00	3.005342e-03	1.734652e-04	1.734652e-04
1.800000e+00	2.000000e+00	3.097306e-03	3.576901e-04	3.576901e-04
2.000000e+00	2.200000e+00	4.989968e-03	5.511751e-04	5.511751e-04
2.200000e+00	2.400000e+00	6.186595e-03	4.533644e-04	4.533644e-04
2.400000e+00	2.600000e+00	7.087525e-03	7.901544e-04	7.901544e-04
2.600000e+00	2.800000e+00	7.357620e-03	8.850966e-04	8.850966e-04
2.800000e+00	3.000000e+00	5.765785e-03	9.537932e-04	9.537932e-04
3.000000e+00	3.200000e+00	7.615180e-03	5.363714e-04	5.363714e-04
3.200000e+00	3.400000e+00	7.489135e-03	5.222138e-04	5.222138e-04
3.400000e+00	3.600000e+00	7.239085e-03	5.804957e-04	5.804957e-04
3.600000e+00	3.800000e+00	5.470205e-03	3.726773e-04	3.726773e-04
3.800000e+00	4.000000e+00	4.848725e-03	3.408093e-04	3.408093e-04
4.000000e+00	4.200000e+00	3.853564e-03	2.383895e-04	2.383895e-04
4.200000e+00	4.400000e+00	2.494806e-03	1.185246e-04	1.185246e-04
4.400000e+00	4.600000e+00	1.109952e-03	6.505008e-05	6.505008e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

