# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_3}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet3_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.845861e-04	2.089390e-05	2.089390e-05
-4.400000e+00	-4.200000e+00	1.392611e-03	7.176979e-05	7.176979e-05
-4.200000e+00	-4.000000e+00	2.094609e-03	1.062672e-04	1.062672e-04
-4.000000e+00	-3.800000e+00	3.080073e-03	5.161768e-05	5.161768e-05
-3.800000e+00	-3.600000e+00	4.223653e-03	5.737473e-05	5.737473e-05
-3.600000e+00	-3.400000e+00	5.379330e-03	8.979467e-05	8.979467e-05
-3.400000e+00	-3.200000e+00	6.204560e-03	1.513349e-04	1.513349e-04
-3.200000e+00	-3.000000e+00	7.036775e-03	2.832328e-04	2.832328e-04
-3.000000e+00	-2.800000e+00	7.271985e-03	1.827555e-04	1.827555e-04
-2.800000e+00	-2.600000e+00	7.580795e-03	2.134530e-04	2.134530e-04
-2.600000e+00	-2.400000e+00	7.911215e-03	1.130760e-04	1.130760e-04
-2.400000e+00	-2.200000e+00	7.421505e-03	2.223516e-04	2.223516e-04
-2.200000e+00	-2.000000e+00	6.796950e-03	1.228698e-04	1.228698e-04
-2.000000e+00	-1.800000e+00	6.230980e-03	1.332784e-04	1.332784e-04
-1.800000e+00	-1.600000e+00	5.309760e-03	9.037800e-05	9.037800e-05
-1.600000e+00	-1.400000e+00	4.409806e-03	9.669837e-05	9.669837e-05
-1.400000e+00	-1.200000e+00	3.670481e-03	9.915082e-05	9.915082e-05
-1.200000e+00	-1.000000e+00	2.975783e-03	7.353163e-05	7.353163e-05
-1.000000e+00	-8.000000e-01	2.549902e-03	5.812562e-05	5.812562e-05
-8.000000e-01	-6.000000e-01	2.034196e-03	5.483263e-05	5.483263e-05
-6.000000e-01	-4.000000e-01	1.671720e-03	6.600780e-05	6.600780e-05
-4.000000e-01	-2.000000e-01	1.443341e-03	3.944783e-05	3.944783e-05
-2.000000e-01	0.000000e+00	1.318573e-03	4.121020e-05	4.121020e-05
0.000000e+00	2.000000e-01	1.204150e-03	1.091394e-04	1.091394e-04
2.000000e-01	4.000000e-01	1.498336e-03	4.236433e-05	4.236433e-05
4.000000e-01	6.000000e-01	1.595908e-03	6.652738e-05	6.652738e-05
6.000000e-01	8.000000e-01	2.035358e-03	7.068426e-05	7.068426e-05
8.000000e-01	1.000000e+00	2.230029e-03	1.654781e-04	1.654781e-04
1.000000e+00	1.200000e+00	2.766527e-03	1.215357e-04	1.215357e-04
1.200000e+00	1.400000e+00	3.638478e-03	1.688292e-04	1.688292e-04
1.400000e+00	1.600000e+00	4.430019e-03	6.839285e-05	6.839285e-05
1.600000e+00	1.800000e+00	5.287480e-03	8.217308e-05	8.217308e-05
1.800000e+00	2.000000e+00	6.140125e-03	1.015848e-04	1.015848e-04
2.000000e+00	2.200000e+00	7.136285e-03	2.232732e-04	2.232732e-04
2.200000e+00	2.400000e+00	7.517875e-03	1.325117e-04	1.325117e-04
2.400000e+00	2.600000e+00	7.751965e-03	1.497392e-04	1.497392e-04
2.600000e+00	2.800000e+00	7.863340e-03	1.274947e-04	1.274947e-04
2.800000e+00	3.000000e+00	7.546940e-03	1.162240e-04	1.162240e-04
3.000000e+00	3.200000e+00	7.153160e-03	1.027561e-04	1.027561e-04
3.200000e+00	3.400000e+00	6.369635e-03	1.233896e-04	1.233896e-04
3.400000e+00	3.600000e+00	5.431715e-03	9.697898e-05	9.697898e-05
3.600000e+00	3.800000e+00	4.260202e-03	6.886585e-05	6.886585e-05
3.800000e+00	4.000000e+00	3.131845e-03	1.210373e-04	1.210373e-04
4.000000e+00	4.200000e+00	2.166159e-03	3.378346e-05	3.378346e-05
4.200000e+00	4.400000e+00	1.320231e-03	5.694287e-05	5.694287e-05
4.400000e+00	4.600000e+00	4.675484e-04	2.447019e-05	2.447019e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.944955e-05	2.377392e-05	2.377392e-05
-4.400000e+00	-4.200000e+00	1.562431e-04	9.466839e-05	9.466839e-05
-4.200000e+00	-4.000000e+00	2.817309e-04	1.046629e-04	1.046629e-04
-4.000000e+00	-3.800000e+00	4.963775e-04	2.043640e-04	2.043640e-04
-3.800000e+00	-3.600000e+00	3.971277e-04	2.527105e-04	2.527105e-04
-3.600000e+00	-3.400000e+00	6.663515e-04	2.842082e-04	2.842082e-04
-3.400000e+00	-3.200000e+00	5.830490e-04	5.431558e-04	5.431558e-04
-3.200000e+00	-3.000000e+00	7.857960e-04	3.245490e-04	3.245490e-04
-3.000000e+00	-2.800000e+00	7.077030e-04	3.794643e-04	3.794643e-04
-2.800000e+00	-2.600000e+00	4.118028e-04	6.407827e-04	6.407827e-04
-2.600000e+00	-2.400000e+00	7.709515e-04	6.907833e-04	6.907833e-04
-2.400000e+00	-2.200000e+00	1.198276e-04	4.544759e-04	4.544759e-04
-2.200000e+00	-2.000000e+00	1.140377e-03	3.736490e-04	3.736490e-04
-2.000000e+00	-1.800000e+00	9.226710e-04	3.047406e-04	3.047406e-04
-1.800000e+00	-1.600000e+00	1.498704e-03	8.003958e-04	8.003958e-04
-1.600000e+00	-1.400000e+00	-1.840145e-04	3.401499e-04	3.401499e-04
-1.400000e+00	-1.200000e+00	5.410510e-04	2.659879e-04	2.659879e-04
-1.200000e+00	-1.000000e+00	3.297057e-04	3.006301e-04	3.006301e-04
-1.000000e+00	-8.000000e-01	-9.149790e-05	3.474611e-04	3.474611e-04
-8.000000e-01	-6.000000e-01	2.169487e-04	1.127166e-04	1.127166e-04
-6.000000e-01	-4.000000e-01	4.972370e-04	1.726623e-04	1.726623e-04
-4.000000e-01	-2.000000e-01	2.798274e-04	1.183531e-04	1.183531e-04
-2.000000e-01	0.000000e+00	2.195030e-04	1.293374e-04	1.293374e-04
0.000000e+00	2.000000e-01	2.174230e-04	1.198052e-04	1.198052e-04
2.000000e-01	4.000000e-01	1.396673e-04	1.289923e-04	1.289923e-04
4.000000e-01	6.000000e-01	3.161410e-05	1.205842e-04	1.205842e-04
6.000000e-01	8.000000e-01	3.568475e-04	2.347000e-04	2.347000e-04
8.000000e-01	1.000000e+00	1.792353e-04	1.727570e-04	1.727570e-04
1.000000e+00	1.200000e+00	2.324470e-04	2.731787e-04	2.731787e-04
1.200000e+00	1.400000e+00	5.385705e-04	2.545221e-04	2.545221e-04
1.400000e+00	1.600000e+00	1.179064e-04	3.174977e-04	3.174977e-04
1.600000e+00	1.800000e+00	7.115800e-04	5.413774e-04	5.413774e-04
1.800000e+00	2.000000e+00	3.670050e-04	2.696978e-04	2.696978e-04
2.000000e+00	2.200000e+00	5.352880e-04	3.178004e-04	3.178004e-04
2.200000e+00	2.400000e+00	6.474925e-04	6.012791e-04	6.012791e-04
2.400000e+00	2.600000e+00	-3.785667e-05	2.979022e-04	2.979022e-04
2.600000e+00	2.800000e+00	8.364230e-04	2.470451e-04	2.470451e-04
2.800000e+00	3.000000e+00	-4.582151e-04	5.597350e-04	5.597350e-04
3.000000e+00	3.200000e+00	1.254016e-03	5.304307e-04	5.304307e-04
3.200000e+00	3.400000e+00	1.089490e-03	7.736719e-04	7.736719e-04
3.400000e+00	3.600000e+00	3.084205e-04	2.798333e-04	2.798333e-04
3.600000e+00	3.800000e+00	6.883680e-04	1.785092e-04	1.785092e-04
3.800000e+00	4.000000e+00	3.540806e-04	2.610998e-04	2.610998e-04
4.000000e+00	4.200000e+00	9.733255e-05	1.473612e-04	1.473612e-04
4.200000e+00	4.400000e+00	5.379690e-05	5.859674e-05	5.859674e-05
4.400000e+00	4.600000e+00	2.106929e-05	2.636558e-05	2.636558e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

