# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet4_y_star //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet4_y_star //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_4}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet4_y_star
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.707266e-04	1.343934e-05	1.343934e-05
-4.800000e+00	-4.600000e+00	2.585311e-04	1.167766e-05	1.167766e-05
-4.600000e+00	-4.400000e+00	4.029148e-04	2.317485e-05	2.317485e-05
-4.400000e+00	-4.200000e+00	6.837150e-04	1.164914e-04	1.164914e-04
-4.200000e+00	-4.000000e+00	6.821640e-04	3.220017e-05	3.220017e-05
-4.000000e+00	-3.800000e+00	1.196054e-03	2.460800e-04	2.460800e-04
-3.800000e+00	-3.600000e+00	1.281512e-03	4.172817e-05	4.172817e-05
-3.600000e+00	-3.400000e+00	1.649264e-03	9.910991e-05	9.910991e-05
-3.400000e+00	-3.200000e+00	1.752465e-03	2.373230e-04	2.373230e-04
-3.200000e+00	-3.000000e+00	2.656138e-03	2.281878e-04	2.281878e-04
-3.000000e+00	-2.800000e+00	2.840565e-03	1.257690e-04	1.257690e-04
-2.800000e+00	-2.600000e+00	2.640283e-03	5.903863e-05	5.903863e-05
-2.600000e+00	-2.400000e+00	2.213333e-03	1.285226e-04	1.285226e-04
-2.400000e+00	-2.200000e+00	2.444762e-03	1.520250e-04	1.520250e-04
-2.200000e+00	-2.000000e+00	2.687139e-03	4.772552e-04	4.772552e-04
-2.000000e+00	-1.800000e+00	1.962909e-03	5.402525e-05	5.402525e-05
-1.800000e+00	-1.600000e+00	1.588524e-03	8.187852e-05	8.187852e-05
-1.600000e+00	-1.400000e+00	1.162712e-03	4.442255e-05	4.442255e-05
-1.400000e+00	-1.200000e+00	9.752440e-04	4.908066e-05	4.908066e-05
-1.200000e+00	-1.000000e+00	7.480910e-04	3.880823e-05	3.880823e-05
-1.000000e+00	-8.000000e-01	6.877110e-04	3.319604e-05	3.319604e-05
-8.000000e-01	-6.000000e-01	5.665040e-04	1.823676e-05	1.823676e-05
-6.000000e-01	-4.000000e-01	4.869528e-04	5.503347e-05	5.503347e-05
-4.000000e-01	-2.000000e-01	4.660689e-04	2.313046e-05	2.313046e-05
-2.000000e-01	0.000000e+00	6.117830e-04	1.272198e-04	1.272198e-04
0.000000e+00	2.000000e-01	4.708842e-04	3.483103e-05	3.483103e-05
2.000000e-01	4.000000e-01	5.160205e-04	2.974622e-05	2.974622e-05
4.000000e-01	6.000000e-01	5.854150e-04	3.848628e-05	3.848628e-05
6.000000e-01	8.000000e-01	5.369850e-04	1.541024e-04	1.541024e-04
8.000000e-01	1.000000e+00	6.289675e-04	3.670506e-05	3.670506e-05
1.000000e+00	1.200000e+00	7.668845e-04	3.221173e-05	3.221173e-05
1.200000e+00	1.400000e+00	8.792025e-04	3.706928e-05	3.706928e-05
1.400000e+00	1.600000e+00	1.121684e-03	3.959423e-05	3.959423e-05
1.600000e+00	1.800000e+00	1.382360e-03	4.595728e-05	4.595728e-05
1.800000e+00	2.000000e+00	1.769901e-03	7.920271e-05	7.920271e-05
2.000000e+00	2.200000e+00	2.112136e-03	7.735430e-05	7.735430e-05
2.200000e+00	2.400000e+00	2.136079e-03	6.776557e-05	6.776557e-05
2.400000e+00	2.600000e+00	2.311001e-03	7.027428e-05	7.027428e-05
2.600000e+00	2.800000e+00	2.757342e-03	1.510799e-04	1.510799e-04
2.800000e+00	3.000000e+00	2.668387e-03	9.106507e-05	9.106507e-05
3.000000e+00	3.200000e+00	2.484338e-03	1.787573e-04	1.787573e-04
3.200000e+00	3.400000e+00	1.903740e-03	5.863325e-05	5.863325e-05
3.400000e+00	3.600000e+00	1.409719e-03	3.598829e-05	3.598829e-05
3.600000e+00	3.800000e+00	1.145072e-03	5.531209e-05	5.531209e-05
3.800000e+00	4.000000e+00	8.066325e-04	4.619433e-05	4.619433e-05
4.000000e+00	4.200000e+00	6.893395e-04	3.804826e-05	3.804826e-05
4.200000e+00	4.400000e+00	4.173620e-04	3.318354e-05	3.318354e-05
4.400000e+00	4.600000e+00	3.150066e-04	1.591103e-05	1.591103e-05
4.600000e+00	4.800000e+00	2.266709e-04	1.539572e-05	1.539572e-05
4.800000e+00	5.000000e+00	1.436785e-04	6.534021e-06	6.534021e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_star
Title=h(2*,3*,4)-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.088800e-04	1.233047e-05	1.233047e-05
-4.800000e+00	-4.600000e+00	1.887491e-04	4.594548e-05	4.594548e-05
-4.600000e+00	-4.400000e+00	1.593773e-04	4.275568e-05	4.275568e-05
