# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_y_abs //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_y_abs //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_y_abs
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_y_abs
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_y_abs //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_y_abs //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_y_abs
XLabel=$|y_{h}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{h}|$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_y_abs
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_y_abs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_y_abs
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	4.778399e-01	6.673709e-04	6.673709e-04
1.600000e-01	3.200000e-01	4.719372e-01	5.887752e-04	5.887752e-04
3.200000e-01	4.800000e-01	4.609220e-01	6.030628e-04	6.030628e-04
4.800000e-01	6.400000e-01	4.448712e-01	8.747350e-04	8.747350e-04
6.400000e-01	8.000000e-01	4.247766e-01	5.806875e-04	5.806875e-04
8.000000e-01	9.600000e-01	4.008784e-01	5.889688e-04	5.889688e-04
9.600000e-01	1.120000e+00	3.703503e-01	1.188309e-03	1.188309e-03
1.120000e+00	1.280000e+00	3.398255e-01	4.716926e-04	4.716926e-04
1.280000e+00	1.440000e+00	3.060146e-01	7.811412e-04	7.811412e-04
1.440000e+00	1.600000e+00	2.724568e-01	5.331556e-04	5.331556e-04
1.600000e+00	1.760000e+00	2.367863e-01	3.119090e-04	3.119090e-04
1.760000e+00	1.920000e+00	2.026686e-01	4.601993e-04	4.601993e-04
1.920000e+00	2.080000e+00	1.678034e-01	6.647973e-04	6.647973e-04
2.080000e+00	2.240000e+00	1.375364e-01	3.450666e-04	3.450666e-04
2.240000e+00	2.400000e+00	1.086297e-01	2.494942e-04	2.494942e-04
2.400000e+00	2.560000e+00	8.314787e-02	3.968159e-04	3.968159e-04
2.560000e+00	2.720000e+00	6.110506e-02	2.044444e-04	2.044444e-04
2.720000e+00	2.880000e+00	4.291134e-02	1.067952e-04	1.067952e-04
2.880000e+00	3.040000e+00	2.845893e-02	6.607787e-05	6.607787e-05
3.040000e+00	3.200000e+00	1.766983e-02	6.085735e-05	6.085735e-05
3.200000e+00	3.360000e+00	1.020947e-02	3.691385e-05	3.691385e-05
3.360000e+00	3.520000e+00	5.324300e-03	2.296879e-05	2.296879e-05
3.520000e+00	3.680000e+00	2.435345e-03	1.124833e-05	1.124833e-05
3.680000e+00	3.840000e+00	9.301269e-04	7.074901e-06	7.074901e-06
3.840000e+00	4.000000e+00	2.834602e-04	2.237531e-06	2.237531e-06
4.000000e+00	4.160000e+00	6.154273e-05	1.019323e-06	1.019323e-06
4.160000e+00	4.320000e+00	8.085744e-06	2.707945e-07	2.707945e-07
4.320000e+00	4.480000e+00	3.873683e-07	1.783409e-08	1.783409e-08
4.480000e+00	4.640000e+00	1.728763e-09	3.103153e-10	3.103153e-10
4.640000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.960000e+00	5.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.120000e+00	5.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.280000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.760000e+00	5.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.920000e+00	6.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.080000e+00	6.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.240000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.560000e+00	6.720000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.720000e+00	6.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+00	7.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.040000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+00	7.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e+00	7.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.680000e+00	7.840000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.840000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_y_abs
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_y_abs
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	8.964531e-02	6.200103e-04	6.200103e-04
1.600000e-01	3.200000e-01	8.892319e-02	4.318080e-04	4.318080e-04
3.200000e-01	4.800000e-01	8.557756e-02	5.093750e-04	5.093750e-04
4.800000e-01	6.400000e-01	8.180900e-02	7.083597e-04	7.083597e-04
6.400000e-01	8.000000e-01	7.912037e-02	4.787453e-04	4.787453e-04
8.000000e-01	9.600000e-01	7.524700e-02	4.941236e-04	4.941236e-04
9.600000e-01	1.120000e+00	6.945706e-02	4.512977e-04	4.512977e-04
1.120000e+00	1.280000e+00	6.470538e-02	4.790696e-04	4.790696e-04
1.280000e+00	1.440000e+00	5.839706e-02	4.164932e-04	4.164932e-04
1.440000e+00	1.600000e+00	5.203155e-02	4.108524e-04	4.108524e-04
1.600000e+00	1.760000e+00	4.589753e-02	6.474276e-04	6.474276e-04
1.760000e+00	1.920000e+00	3.865927e-02	2.335487e-04	2.335487e-04
1.920000e+00	2.080000e+00	3.293653e-02	3.686832e-04	3.686832e-04
2.080000e+00	2.240000e+00	2.710116e-02	1.824876e-04	1.824876e-04
2.240000e+00	2.400000e+00	2.170939e-02	2.845140e-04	2.845140e-04
