# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.247064e-03	7.858192e-05	7.858192e-05
1.047198e-01	2.094395e-01	5.294283e-03	6.776645e-05	6.776645e-05
2.094395e-01	3.141593e-01	5.310496e-03	9.411072e-05	9.411072e-05
3.141593e-01	4.188790e-01	5.694540e-03	6.576359e-05	6.576359e-05
4.188790e-01	5.235988e-01	5.768941e-03	2.107943e-04	2.107943e-04
5.235988e-01	6.283185e-01	6.533161e-03	7.665214e-05	7.665214e-05
6.283185e-01	7.330383e-01	7.096922e-03	8.927942e-05	8.927942e-05
7.330383e-01	8.377580e-01	7.843092e-03	6.980272e-05	6.980272e-05
8.377580e-01	9.424778e-01	8.989726e-03	7.664986e-05	7.664986e-05
9.424778e-01	1.047198e+00	1.069727e-02	3.344551e-04	3.344551e-04
1.047198e+00	1.151917e+00	1.221583e-02	1.347460e-04	1.347460e-04
1.151917e+00	1.256637e+00	1.467412e-02	1.269087e-04	1.269087e-04
1.256637e+00	1.361357e+00	1.860440e-02	5.306953e-04	5.306953e-04
1.361357e+00	1.466077e+00	2.253476e-02	1.875879e-04	1.875879e-04
1.466077e+00	1.570796e+00	2.914545e-02	1.874698e-04	1.874698e-04
1.570796e+00	1.675516e+00	3.874251e-02	1.673641e-04	1.673641e-04
1.675516e+00	1.780236e+00	5.395582e-02	2.353604e-04	2.353604e-04
1.780236e+00	1.884956e+00	7.694159e-02	2.115439e-04	2.115439e-04
1.884956e+00	1.989675e+00	1.122991e-01	1.109546e-03	1.109546e-03
1.989675e+00	2.094395e+00	1.635637e-01	4.470243e-04	4.470243e-04
2.094395e+00	2.199115e+00	2.328560e-01	4.656057e-04	4.656057e-04
2.199115e+00	2.303835e+00	3.202886e-01	5.911548e-04	5.911548e-04
2.303835e+00	2.408554e+00	4.283644e-01	6.088274e-04	6.088274e-04
2.408554e+00	2.513274e+00	5.547941e-01	1.012903e-03	1.012903e-03
2.513274e+00	2.617994e+00	6.926904e-01	7.665924e-04	7.665924e-04
2.617994e+00	2.722714e+00	8.367738e-01	1.156246e-03	1.156246e-03
2.722714e+00	2.827433e+00	9.663423e-01	1.817369e-03	1.817369e-03
2.827433e+00	2.932153e+00	1.057010e+00	1.515605e-03	1.515605e-03
2.932153e+00	3.036873e+00	1.058338e+00	1.229605e-03	1.229605e-03
3.036873e+00	3.141593e+00	9.967026e-01	1.235930e-03	1.235930e-03
# END HISTO1D


