# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$\theta_{j1,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j3}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.429670e-01	8.132699e-04	8.132699e-04
5.000000e-02	1.000000e-01	1.412930e-01	9.109217e-04	9.109217e-04
1.000000e-01	1.500000e-01	1.427739e-01	8.343333e-04	8.343333e-04
1.500000e-01	2.000000e-01	1.366462e-01	2.362327e-03	2.362327e-03
2.000000e-01	2.500000e-01	1.252911e-01	1.003970e-03	1.003970e-03
2.500000e-01	3.000000e-01	1.134935e-01	7.172966e-04	7.172966e-04
3.000000e-01	3.500000e-01	1.088898e-01	7.587326e-04	7.587326e-04
3.500000e-01	4.000000e-01	1.108100e-01	6.843902e-04	6.843902e-04
4.000000e-01	4.500000e-01	1.147860e-01	8.793809e-04	8.793809e-04
4.500000e-01	5.000000e-01	1.217469e-01	1.443329e-03	1.443329e-03
5.000000e-01	5.500000e-01	1.207959e-01	7.887897e-04	7.887897e-04
5.500000e-01	6.000000e-01	1.124165e-01	1.430519e-03	1.430519e-03
6.000000e-01	6.500000e-01	1.097866e-01	6.672052e-04	6.672052e-04
6.500000e-01	7.000000e-01	1.089744e-01	9.158583e-04	9.158583e-04
7.000000e-01	7.500000e-01	1.109521e-01	1.088536e-03	1.088536e-03
7.500000e-01	8.000000e-01	1.224527e-01	7.488231e-04	7.488231e-04
8.000000e-01	8.500000e-01	1.324364e-01	2.359051e-03	2.359051e-03
8.500000e-01	9.000000e-01	1.380165e-01	1.210200e-03	1.210200e-03
9.000000e-01	9.500000e-01	1.395760e-01	1.043171e-03	1.043171e-03
9.500000e-01	1.000000e+00	1.367036e-01	8.578902e-04	8.578902e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	5.957902e-02	8.484393e-04	8.484393e-04
5.000000e-02	1.000000e-01	6.120266e-02	2.057007e-03	2.057007e-03
1.000000e-01	1.500000e-01	5.862566e-02	9.357363e-04	9.357363e-04
1.500000e-01	2.000000e-01	5.691000e-02	7.605524e-04	7.605524e-04
2.000000e-01	2.500000e-01	5.474172e-02	9.080738e-04	9.080738e-04
2.500000e-01	3.000000e-01	5.036112e-02	9.232101e-04	9.232101e-04
3.000000e-01	3.500000e-01	4.654146e-02	1.103155e-03	1.103155e-03
3.500000e-01	4.000000e-01	4.914798e-02	7.137893e-04	7.137893e-04
4.000000e-01	4.500000e-01	4.866480e-02	7.649633e-04	7.649633e-04
4.500000e-01	5.000000e-01	4.930934e-02	1.191930e-03	1.191930e-03
5.000000e-01	5.500000e-01	4.945608e-02	6.176614e-04	6.176614e-04
5.500000e-01	6.000000e-01	4.794660e-02	8.195457e-04	8.195457e-04
6.000000e-01	6.500000e-01	4.661242e-02	8.884220e-04	8.884220e-04
6.500000e-01	7.000000e-01	4.716348e-02	7.305190e-04	7.305190e-04
7.000000e-01	7.500000e-01	4.888856e-02	5.680659e-04	5.680659e-04
7.500000e-01	8.000000e-01	5.167406e-02	6.929055e-04	6.929055e-04
8.000000e-01	8.500000e-01	5.228568e-02	1.438453e-03	1.438453e-03
8.500000e-01	9.000000e-01	5.516050e-02	1.458319e-03	1.458319e-03
9.000000e-01	9.500000e-01	5.566516e-02	8.340360e-04	8.340360e-04
9.500000e-01	1.000000e+00	5.418014e-02	1.000801e-03	1.000801e-03
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_pullangle
Scale=12.4908894575
Title=CP-mixed-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.832761e-02	5.780651e-04	5.780651e-04
5.000000e-02	1.000000e-01	1.862379e-02	6.863358e-04	6.863358e-04
1.000000e-01	1.500000e-01	1.952175e-02	6.465676e-04	6.465676e-04
1.500000e-01	2.000000e-01	1.897026e-02	4.232144e-04	4.232144e-04
2.000000e-01	2.500000e-01	1.566432e-02	1.806873e-03	1.806873e-03
2.500000e-01	3.000000e-01	1.544118e-02	4.038164e-04	4.038164e-04
3.000000e-01	3.500000e-01	1.459928e-02	3.489722e-04	3.489722e-04
3.500000e-01	4.000000e-01	1.572891e-02	5.185844e-04	5.185844e-04
4.000000e-01	4.500000e-01	1.541526e-02	4.685930e-04	4.685930e-04
4.500000e-01	5.000000e-01	1.522152e-02	4.305228e-04	4.305228e-04
5.000000e-01	5.500000e-01	1.574172e-02	3.967368e-04	3.967368e-04
5.500000e-01	6.000000e-01	1.591545e-02	5.552801e-04	5.552801e-04
6.000000e-01	6.500000e-01	1.467735e-02	3.657642e-04	3.657642e-04
6.500000e-01	7.000000e-01	1.438387e-02	6.544958e-04	6.544958e-04
7.000000e-01	7.500000e-01	1.574882e-02	4.566482e-04	4.566482e-04
7.500000e-01	8.000000e-01	1.638381e-02	3.539565e-04	3.539565e-04
8.000000e-01	8.500000e-01	1.773485e-02	3.792353e-04	3.792353e-04
8.500000e-01	9.000000e-01	1.902243e-02	7.570984e-04	7.570984e-04
9.000000e-01	9.500000e-01	1.904901e-02	7.669125e-04	7.669125e-04
9.500000e-01	1.000000e+00	1.832162e-02	4.608097e-04	4.608097e-04
# END HISTO1D

