# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j1j4_mass
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	3.366715e-05	3.389820e-07	3.389820e-07
4.000000e+01	8.000000e+01	6.521727e-05	7.420684e-07	7.420684e-07
8.000000e+01	1.200000e+02	5.029062e-05	5.826508e-07	5.826508e-07
1.200000e+02	1.600000e+02	3.197305e-05	7.108605e-07	7.108605e-07
1.600000e+02	2.000000e+02	1.611773e-05	3.436317e-07	3.436317e-07
2.000000e+02	2.400000e+02	1.013573e-05	9.662815e-07	9.662815e-07
2.400000e+02	2.800000e+02	3.795075e-06	2.779403e-06	2.779403e-06
2.800000e+02	3.200000e+02	6.298708e-06	3.002934e-07	3.002934e-07
3.200000e+02	3.600000e+02	6.421867e-06	7.728668e-07	7.728668e-07
3.600000e+02	4.000000e+02	5.912288e-06	2.569624e-07	2.569624e-07
4.000000e+02	4.400000e+02	6.008668e-06	5.805602e-07	5.805602e-07
4.400000e+02	4.800000e+02	6.813995e-06	1.563685e-07	1.563685e-07
4.800000e+02	5.200000e+02	7.640635e-06	5.040156e-07	5.040156e-07
5.200000e+02	5.600000e+02	7.338648e-06	1.627160e-07	1.627160e-07
5.600000e+02	6.000000e+02	7.297868e-06	2.557929e-07	2.557929e-07
6.000000e+02	6.400000e+02	8.144605e-06	1.913618e-07	1.913618e-07
6.400000e+02	6.800000e+02	7.753805e-06	1.741382e-07	1.741382e-07
6.800000e+02	7.200000e+02	7.580795e-06	1.796920e-07	1.796920e-07
7.200000e+02	7.600000e+02	6.911763e-06	2.863545e-07	2.863545e-07
7.600000e+02	8.000000e+02	6.973425e-06	1.922607e-07	1.922607e-07
8.000000e+02	8.400000e+02	6.651420e-06	1.832416e-07	1.832416e-07
8.400000e+02	8.800000e+02	6.448138e-06	2.406140e-07	2.406140e-07
8.800000e+02	9.200000e+02	5.855587e-06	1.100950e-07	1.100950e-07
9.200000e+02	9.600000e+02	5.728745e-06	1.292773e-07	1.292773e-07
9.600000e+02	1.000000e+03	5.455175e-06	1.780759e-07	1.780759e-07
1.000000e+03	1.040000e+03	5.118875e-06	1.364113e-07	1.364113e-07
1.040000e+03	1.080000e+03	4.696803e-06	1.658763e-07	1.658763e-07
1.080000e+03	1.120000e+03	4.425710e-06	1.153935e-07	1.153935e-07
1.120000e+03	1.160000e+03	3.982713e-06	1.194050e-07	1.194050e-07
1.160000e+03	1.200000e+03	3.886572e-06	1.542188e-07	1.542188e-07
1.200000e+03	1.240000e+03	3.742797e-06	2.376958e-07	2.376958e-07
1.240000e+03	1.280000e+03	3.190065e-06	9.262066e-08	9.262066e-08
