# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_gapjets
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/HT_gapjets
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_gapjets
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$\text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/HT_gapjets
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/HT_gapjets
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.161840e-03	2.515171e-06	2.515171e-06
3.000000e+01	4.000000e+01	2.846386e-03	2.811157e-06	2.811157e-06
4.000000e+01	5.000000e+01	1.732734e-03	2.360829e-06	2.360829e-06
5.000000e+01	6.000000e+01	1.537615e-03	2.102105e-06	2.102105e-06
6.000000e+01	7.000000e+01	1.504058e-03	2.535905e-06	2.535905e-06
7.000000e+01	8.000000e+01	1.277584e-03	3.596450e-06	3.596450e-06
8.000000e+01	9.000000e+01	1.087165e-03	2.468456e-06	2.468456e-06
9.000000e+01	1.000000e+02	9.348080e-04	1.677111e-06	1.677111e-06
1.000000e+02	1.100000e+02	8.039995e-04	1.781273e-06	1.781273e-06
1.100000e+02	1.200000e+02	6.919811e-04	1.551363e-06	1.551363e-06
1.200000e+02	1.300000e+02	6.004513e-04	3.741542e-06	3.741542e-06
1.300000e+02	1.400000e+02	5.123066e-04	1.311830e-06	1.311830e-06
1.400000e+02	1.500000e+02	4.437073e-04	1.321468e-06	1.321468e-06
1.500000e+02	1.600000e+02	3.840939e-04	1.133765e-06	1.133765e-06
1.600000e+02	1.700000e+02	3.307889e-04	1.051364e-06	1.051364e-06
1.700000e+02	1.800000e+02	2.888939e-04	1.061592e-06	1.061592e-06
1.800000e+02	1.900000e+02	2.541328e-04	9.574893e-07	9.574893e-07
1.900000e+02	2.000000e+02	2.228261e-04	8.596422e-07	8.596422e-07
2.000000e+02	2.100000e+02	1.948810e-04	8.894509e-07	8.894509e-07
2.100000e+02	2.200000e+02	1.707310e-04	7.674434e-07	7.674434e-07
2.200000e+02	2.300000e+02	1.515090e-04	7.254270e-07	7.254270e-07
2.300000e+02	2.400000e+02	1.308783e-04	7.428558e-07	7.428558e-07
2.400000e+02	2.500000e+02	1.176864e-04	6.675579e-07	6.675579e-07
2.500000e+02	2.600000e+02	1.040313e-04	6.204725e-07	6.204725e-07
2.600000e+02	2.700000e+02	9.167087e-05	5.834886e-07	5.834886e-07
2.700000e+02	2.800000e+02	7.990850e-05	7.121284e-07	7.121284e-07
2.800000e+02	2.900000e+02	7.231889e-05	5.451587e-07	5.451587e-07
2.900000e+02	3.000000e+02	6.546380e-05	4.769325e-07	4.769325e-07
3.000000e+02	3.100000e+02	5.778797e-05	4.924984e-07	4.924984e-07
3.100000e+02	3.200000e+02	5.162817e-05	4.198113e-07	4.198113e-07
3.200000e+02	3.300000e+02	4.709706e-05	3.904471e-07	3.904471e-07
3.300000e+02	3.400000e+02	4.178410e-05	4.155696e-07	4.155696e-07
3.400000e+02	3.500000e+02	3.734642e-05	3.509489e-07	3.509489e-07
3.500000e+02	3.600000e+02	3.296230e-05	3.147568e-07	3.147568e-07
3.600000e+02	3.700000e+02	3.022931e-05	3.673934e-07	3.673934e-07
3.700000e+02	3.800000e+02	2.737455e-05	2.833131e-07	2.833131e-07
3.800000e+02	3.900000e+02	2.469440e-05	3.269483e-07	3.269483e-07
3.900000e+02	4.000000e+02	2.244255e-05	2.852048e-07	2.852048e-07
4.000000e+02	4.100000e+02	1.995300e-05	3.294731e-07	3.294731e-07
4.100000e+02	4.200000e+02	1.845587e-05	2.307793e-07	2.307793e-07
4.200000e+02	4.300000e+02	1.700913e-05	2.539317e-07	2.539317e-07
4.300000e+02	4.400000e+02	1.506497e-05	2.409807e-07	2.409807e-07
4.400000e+02	4.500000e+02	1.404975e-05	2.473487e-07	2.473487e-07
4.500000e+02	4.600000e+02	1.262513e-05	1.884101e-07	1.884101e-07
4.600000e+02	4.700000e+02	1.166521e-05	2.044465e-07	2.044465e-07
4.700000e+02	4.800000e+02	1.048214e-05	2.040902e-07	2.040902e-07
4.800000e+02	4.900000e+02	9.364471e-06	1.532119e-07	1.532119e-07
4.900000e+02	5.000000e+02	8.617995e-06	1.531207e-07	1.531207e-07
5.000000e+02	5.100000e+02	7.669058e-06	1.544721e-07	1.544721e-07
5.100000e+02	5.200000e+02	7.361633e-06	1.495450e-07	1.495450e-07
5.200000e+02	5.300000e+02	6.810476e-06	1.835593e-07	1.835593e-07
5.300000e+02	5.400000e+02	6.295315e-06	1.601868e-07	1.601868e-07
5.400000e+02	5.500000e+02	5.720746e-06	1.435975e-07	1.435975e-07
5.500000e+02	5.600000e+02	5.106927e-06	1.828229e-07	1.828229e-07
5.600000e+02	5.700000e+02	4.512820e-06	1.455143e-07	1.455143e-07
5.700000e+02	5.800000e+02	4.332174e-06	1.031915e-07	1.031915e-07
5.800000e+02	5.900000e+02	4.179646e-06	1.221162e-07	1.221162e-07
5.900000e+02	6.000000e+02	3.579382e-06	8.787603e-08	8.787603e-08
6.000000e+02	6.100000e+02	3.278859e-06	8.361565e-08	8.361565e-08
6.100000e+02	6.200000e+02	3.048850e-06	1.020959e-07	1.020959e-07
6.200000e+02	6.300000e+02	2.724078e-06	8.906357e-08	8.906357e-08
6.300000e+02	6.400000e+02	2.654682e-06	8.888298e-08	8.888298e-08
6.400000e+02	6.500000e+02	2.413376e-06	7.857809e-08	7.857809e-08
6.500000e+02	6.600000e+02	2.188919e-06	7.935789e-08	7.935789e-08
6.600000e+02	6.700000e+02	1.967875e-06	9.780275e-08	9.780275e-08
6.700000e+02	6.800000e+02	1.811847e-06	6.630316e-08	6.630316e-08
6.800000e+02	6.900000e+02	1.724246e-06	7.018071e-08	7.018071e-08
6.900000e+02	7.000000e+02	1.603898e-06	6.165983e-08	6.165983e-08
7.000000e+02	7.100000e+02	1.548543e-06	5.925707e-08	5.925707e-08
7.100000e+02	7.200000e+02	1.278628e-06	7.109508e-08	7.109508e-08
7.200000e+02	7.300000e+02	1.318936e-06	7.688236e-08	7.688236e-08
7.300000e+02	7.400000e+02	1.258473e-06	6.376187e-08	6.376187e-08
7.400000e+02	7.500000e+02	1.140872e-06	5.948185e-08	5.948185e-08
7.500000e+02	7.600000e+02	1.158527e-06	6.319173e-08	6.319173e-08
7.600000e+02	7.700000e+02	9.801899e-07	4.825056e-08	4.825056e-08
7.700000e+02	7.800000e+02	8.512505e-07	4.512800e-08	4.512800e-08
7.800000e+02	7.900000e+02	9.453378e-07	6.014970e-08	6.014970e-08
7.900000e+02	8.000000e+02	8.037491e-07	4.078492e-08	4.078492e-08
8.000000e+02	8.100000e+02	7.050227e-07	4.224815e-08	4.224815e-08
8.100000e+02	8.200000e+02	6.796727e-07	4.532498e-08	4.532498e-08
8.200000e+02	8.300000e+02	6.622878e-07	4.245089e-08	4.245089e-08
8.300000e+02	8.400000e+02	5.865233e-07	5.252807e-08	5.252807e-08
8.400000e+02	8.500000e+02	6.192033e-07	4.042552e-08	4.042552e-08
8.500000e+02	8.600000e+02	4.626479e-07	3.534787e-08	3.534787e-08
8.600000e+02	8.700000e+02	4.395007e-07	4.240861e-08	4.240861e-08
8.700000e+02	8.800000e+02	4.569360e-07	4.096806e-08	4.096806e-08
8.800000e+02	8.900000e+02	3.983043e-07	4.713426e-08	4.713426e-08
8.900000e+02	9.000000e+02	4.215122e-07	3.329153e-08	3.329153e-08
9.000000e+02	9.100000e+02	4.306666e-07	6.705637e-08	6.705637e-08
9.100000e+02	9.200000e+02	4.061740e-07	4.438650e-08	4.438650e-08
9.200000e+02	9.300000e+02	3.484643e-07	4.468935e-08	4.468935e-08
9.300000e+02	9.400000e+02	2.534921e-07	6.960719e-08	6.960719e-08
9.400000e+02	9.500000e+02	2.953772e-07	3.513954e-08	3.513954e-08
9.500000e+02	9.600000e+02	2.460806e-07	2.624308e-08	2.624308e-08
9.600000e+02	9.700000e+02	2.492480e-07	2.442031e-08	2.442031e-08
9.700000e+02	9.800000e+02	1.790013e-07	1.762258e-08	1.762258e-08
9.800000e+02	9.900000e+02	2.035404e-07	1.806429e-08	1.806429e-08
9.900000e+02	1.000000e+03	2.085848e-07	2.714828e-08	2.714828e-08
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_gapjets
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/HT_gapjets
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.630831e-04	2.963966e-07	2.963966e-07
3.000000e+01	4.000000e+01	3.016288e-04	1.905024e-07	1.905024e-07
4.000000e+01	5.000000e+01	1.459544e-04	1.425441e-07	1.425441e-07
5.000000e+01	6.000000e+01	1.105788e-04	1.157935e-07	1.157935e-07
6.000000e+01	7.000000e+01	9.495815e-05	1.111059e-07	1.111059e-07
7.000000e+01	8.000000e+01	6.724014e-05	9.057659e-08	9.057659e-08
8.000000e+01	9.000000e+01	4.798142e-05	8.657124e-08	8.657124e-08
9.000000e+01	1.000000e+02	3.563335e-05	7.838495e-08	7.838495e-08
1.000000e+02	1.100000e+02	2.619551e-05	5.608700e-08	5.608700e-08
1.100000e+02	1.200000e+02	1.932448e-05	4.519172e-08	4.519172e-08
1.200000e+02	1.300000e+02	1.437384e-05	4.010396e-08	4.010396e-08
1.300000e+02	1.400000e+02	1.076000e-05	3.305046e-08	3.305046e-08
1.400000e+02	1.500000e+02	8.033340e-06	2.731558e-08	2.731558e-08
1.500000e+02	1.600000e+02	6.082367e-06	2.519905e-08	2.519905e-08
1.600000e+02	1.700000e+02	4.617540e-06	2.119032e-08	2.119032e-08
1.700000e+02	1.800000e+02	3.543923e-06	1.834702e-08	1.834702e-08
1.800000e+02	1.900000e+02	2.736592e-06	1.545082e-08	1.545082e-08
1.900000e+02	2.000000e+02	2.111502e-06	1.252790e-08	1.252790e-08
2.000000e+02	2.100000e+02	1.631060e-06	1.105238e-08	1.105238e-08
2.100000e+02	2.200000e+02	1.280610e-06	9.359152e-09	9.359152e-09
2.200000e+02	2.300000e+02	1.016285e-06	8.028323e-09	8.028323e-09
2.300000e+02	2.400000e+02	8.002320e-07	7.278777e-09	7.278777e-09
2.400000e+02	2.500000e+02	6.463522e-07	6.204162e-09	6.204162e-09
