# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jj_pT_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jj_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jj_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_jj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jj_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jj_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.948790e-04	9.137026e-07	9.137026e-07
1.000000e+01	2.000000e+01	1.134276e-03	2.711176e-06	2.711176e-06
2.000000e+01	3.000000e+01	1.788351e-03	1.974336e-06	1.974336e-06
3.000000e+01	4.000000e+01	2.369256e-03	2.484395e-06	2.484395e-06
4.000000e+01	5.000000e+01	2.884857e-03	2.625963e-06	2.625963e-06
5.000000e+01	6.000000e+01	3.370986e-03	2.889239e-06	2.889239e-06
6.000000e+01	7.000000e+01	3.806741e-03	1.201122e-05	1.201122e-05
7.000000e+01	8.000000e+01	4.130404e-03	3.323757e-06	3.323757e-06
8.000000e+01	9.000000e+01	4.375776e-03	3.299668e-06	3.299668e-06
9.000000e+01	1.000000e+02	4.552190e-03	3.533703e-06	3.533703e-06
1.000000e+02	1.100000e+02	4.653871e-03	3.856632e-06	3.856632e-06
1.100000e+02	1.200000e+02	4.702712e-03	2.308255e-05	2.308255e-05
1.200000e+02	1.300000e+02	4.650482e-03	3.874534e-06	3.874534e-06
1.300000e+02	1.400000e+02	4.581466e-03	4.070397e-06	4.070397e-06
1.400000e+02	1.500000e+02	4.477289e-03	3.565040e-06	3.565040e-06
1.500000e+02	1.600000e+02	4.335568e-03	3.624045e-06	3.624045e-06
1.600000e+02	1.700000e+02	4.181305e-03	3.561970e-06	3.561970e-06
1.700000e+02	1.800000e+02	4.013709e-03	4.547625e-06	4.547625e-06
1.800000e+02	1.900000e+02	3.827691e-03	3.089747e-06	3.089747e-06
1.900000e+02	2.000000e+02	3.652967e-03	3.154828e-06	3.154828e-06
2.000000e+02	2.100000e+02	3.466277e-03	3.099504e-06	3.099504e-06
2.100000e+02	2.200000e+02	3.285774e-03	3.568553e-06	3.568553e-06
2.200000e+02	2.300000e+02	3.106349e-03	2.948871e-06	2.948871e-06
2.300000e+02	2.400000e+02	2.948769e-03	8.712501e-06	8.712501e-06
2.400000e+02	2.500000e+02	2.767754e-03	2.924300e-06	2.924300e-06
2.500000e+02	2.600000e+02	2.615127e-03	3.257280e-06	3.257280e-06
2.600000e+02	2.700000e+02	2.456555e-03	2.732675e-06	2.732675e-06
2.700000e+02	2.800000e+02	2.318575e-03	2.946983e-06	2.946983e-06
2.800000e+02	2.900000e+02	2.178106e-03	2.462352e-06	2.462352e-06
2.900000e+02	3.000000e+02	2.054003e-03	2.581166e-06	2.581166e-06
3.000000e+02	3.100000e+02	1.934000e-03	2.438954e-06	2.438954e-06
3.100000e+02	3.200000e+02	1.819212e-03	2.189219e-06	2.189219e-06
3.200000e+02	3.300000e+02	1.713441e-03	2.174808e-06	2.174808e-06
3.300000e+02	3.400000e+02	1.614384e-03	2.344736e-06	2.344736e-06
3.400000e+02	3.500000e+02	1.516514e-03	2.057099e-06	2.057099e-06
3.500000e+02	3.600000e+02	1.427337e-03	3.548415e-06	3.548415e-06
3.600000e+02	3.700000e+02	1.337471e-03	2.770755e-06	2.770755e-06
