# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.443277e-05	4.422417e-07	4.422417e-07
1.000000e+01	2.000000e+01	2.545878e-04	8.331404e-07	8.331404e-07
2.000000e+01	3.000000e+01	4.173766e-04	9.571999e-07	9.571999e-07
3.000000e+01	4.000000e+01	5.692133e-04	1.126303e-06	1.126303e-06
4.000000e+01	5.000000e+01	7.059828e-04	1.415297e-06	1.415297e-06
5.000000e+01	6.000000e+01	8.259240e-04	1.454109e-06	1.454109e-06
6.000000e+01	7.000000e+01	9.420238e-04	1.160935e-05	1.160935e-05
7.000000e+01	8.000000e+01	1.017604e-03	1.659086e-06	1.659086e-06
8.000000e+01	9.000000e+01	1.093225e-03	1.669023e-06	1.669023e-06
9.000000e+01	1.000000e+02	1.150241e-03	1.716792e-06	1.716792e-06
1.000000e+02	1.100000e+02	1.193543e-03	1.738847e-06	1.738847e-06
1.100000e+02	1.200000e+02	1.218469e-03	1.752279e-06	1.752279e-06
1.200000e+02	1.300000e+02	1.231286e-03	1.965235e-06	1.965235e-06
1.300000e+02	1.400000e+02	1.232507e-03	1.880973e-06	1.880973e-06
1.400000e+02	1.500000e+02	1.217536e-03	1.841971e-06	1.841971e-06
1.500000e+02	1.600000e+02	1.202619e-03	2.041136e-06	2.041136e-06
1.600000e+02	1.700000e+02	1.170660e-03	1.700522e-06	1.700522e-06
1.700000e+02	1.800000e+02	1.141536e-03	1.909479e-06	1.909479e-06
1.800000e+02	1.900000e+02	1.101515e-03	1.745297e-06	1.745297e-06
1.900000e+02	2.000000e+02	1.062183e-03	1.911265e-06	1.911265e-06
2.000000e+02	2.100000e+02	1.020201e-03	2.878342e-06	2.878342e-06
2.100000e+02	2.200000e+02	9.767579e-04	1.606900e-06	1.606900e-06
2.200000e+02	2.300000e+02	9.298948e-04	1.638043e-06	1.638043e-06
2.300000e+02	2.400000e+02	8.915635e-04	1.610075e-06	1.610075e-06
2.400000e+02	2.500000e+02	8.444421e-04	1.654404e-06	1.654404e-06
2.500000e+02	2.600000e+02	8.011578e-04	1.442035e-06	1.442035e-06
2.600000e+02	2.700000e+02	7.636308e-04	1.676975e-06	1.676975e-06
2.700000e+02	2.800000e+02	7.236612e-04	1.541410e-06	1.541410e-06
2.800000e+02	2.900000e+02	6.846425e-04	1.399041e-06	1.399041e-06
2.900000e+02	3.000000e+02	6.546719e-04	2.155849e-06	2.155849e-06
3.000000e+02	3.100000e+02	6.131847e-04	1.352337e-06	1.352337e-06
3.100000e+02	3.200000e+02	5.789256e-04	1.241672e-06	1.241672e-06
3.200000e+02	3.300000e+02	5.464790e-04	1.277394e-06	1.277394e-06
3.300000e+02	3.400000e+02	5.192352e-04	1.152765e-06	1.152765e-06
3.400000e+02	3.500000e+02	4.864700e-04	2.448702e-06	2.448702e-06
