# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_y_abs //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y_abs
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_y_abs //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/H_y_abs
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_y_abs
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$|y_{h}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{h}|$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_y_abs
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_y_abs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/H_y_abs
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	7.752975e-01	4.194037e-04	4.194037e-04
1.600000e-01	3.200000e-01	7.666956e-01	5.010530e-04	5.010530e-04
3.200000e-01	4.800000e-01	7.502025e-01	6.173592e-04	6.173592e-04
4.800000e-01	6.400000e-01	7.223950e-01	4.164513e-04	4.164513e-04
6.400000e-01	8.000000e-01	6.902837e-01	6.257561e-04	6.257561e-04
8.000000e-01	9.600000e-01	6.513044e-01	3.794813e-04	3.794813e-04
9.600000e-01	1.120000e+00	6.066236e-01	4.123203e-04	4.123203e-04
1.120000e+00	1.280000e+00	5.574944e-01	3.316579e-04	3.316579e-04
1.280000e+00	1.440000e+00	5.045113e-01	3.098492e-04	3.098492e-04
1.440000e+00	1.600000e+00	4.516023e-01	3.127931e-04	3.127931e-04
1.600000e+00	1.760000e+00	3.964965e-01	2.934413e-04	2.934413e-04
1.760000e+00	1.920000e+00	3.441316e-01	1.453298e-03	1.453298e-03
1.920000e+00	2.080000e+00	2.910192e-01	7.547653e-04	7.547653e-04
2.080000e+00	2.240000e+00	2.403237e-01	2.420800e-04	2.420800e-04
2.240000e+00	2.400000e+00	1.954007e-01	2.276941e-04	2.276941e-04
2.400000e+00	2.560000e+00	1.533966e-01	1.652303e-04	1.652303e-04
2.560000e+00	2.720000e+00	1.172339e-01	1.334426e-04	1.334426e-04
2.720000e+00	2.880000e+00	8.612963e-02	1.179780e-04	1.179780e-04
2.880000e+00	3.040000e+00	6.048621e-02	9.728090e-05	9.728090e-05
3.040000e+00	3.200000e+00	4.021461e-02	9.527803e-05	9.527803e-05
3.200000e+00	3.360000e+00	2.494501e-02	6.092595e-05	6.092595e-05
3.360000e+00	3.520000e+00	1.430736e-02	4.832431e-05	4.832431e-05
3.520000e+00	3.680000e+00	7.290100e-03	3.007115e-05	3.007115e-05
3.680000e+00	3.840000e+00	3.187898e-03	1.791721e-05	1.791721e-05
3.840000e+00	4.000000e+00	1.163546e-03	8.739603e-06	8.739603e-06
4.000000e+00	4.160000e+00	3.208996e-04	3.873709e-06	3.873709e-06
4.160000e+00	4.320000e+00	5.413199e-05	1.394341e-06	1.394341e-06
4.320000e+00	4.480000e+00	4.246624e-06	9.353262e-08	9.353262e-08
4.480000e+00	4.640000e+00	5.640538e-08	7.024227e-09	7.024227e-09
4.640000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.960000e+00	5.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.120000e+00	5.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.280000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.760000e+00	5.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.920000e+00	6.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.080000e+00	6.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.240000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.560000e+00	6.720000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.720000e+00	6.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+00	7.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.040000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+00	7.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e+00	7.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.680000e+00	7.840000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.840000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


