# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/Hj_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/Hj_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/Hj_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/Hj_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.891280e-04	1.642841e-06	1.642841e-06
1.000000e+01	2.000000e+01	1.291648e-03	2.247823e-06	2.247823e-06
2.000000e+01	3.000000e+01	2.985848e-03	3.978072e-06	3.978072e-06
3.000000e+01	4.000000e+01	5.517811e-03	4.837479e-06	4.837479e-06
4.000000e+01	5.000000e+01	7.576935e-03	7.205338e-06	7.205338e-06
5.000000e+01	6.000000e+01	8.833894e-03	1.253246e-05	1.253246e-05
6.000000e+01	7.000000e+01	9.321821e-03	1.015779e-05	1.015779e-05
7.000000e+01	8.000000e+01	9.291617e-03	2.340857e-05	2.340857e-05
8.000000e+01	9.000000e+01	8.870303e-03	5.795381e-06	5.795381e-06
9.000000e+01	1.000000e+02	8.258026e-03	5.091916e-06	5.091916e-06
1.000000e+02	1.100000e+02	7.576924e-03	4.489952e-06	4.489952e-06
1.100000e+02	1.200000e+02	6.859044e-03	4.361535e-06	4.361535e-06
1.200000e+02	1.300000e+02	6.153031e-03	5.271881e-06	5.271881e-06
1.300000e+02	1.400000e+02	5.483255e-03	4.050839e-06	4.050839e-06
1.400000e+02	1.500000e+02	4.880511e-03	3.971712e-06	3.971712e-06
1.500000e+02	1.600000e+02	4.338950e-03	4.972537e-06	4.972537e-06
1.600000e+02	1.700000e+02	3.840017e-03	3.936769e-06	3.936769e-06
1.700000e+02	1.800000e+02	3.398801e-03	3.445094e-06	3.445094e-06
1.800000e+02	1.900000e+02	3.030213e-03	2.915497e-06	2.915497e-06
1.900000e+02	2.000000e+02	2.685205e-03	6.442627e-06	6.442627e-06
2.000000e+02	2.100000e+02	2.382637e-03	3.143940e-06	3.143940e-06
2.100000e+02	2.200000e+02	2.117493e-03	2.684913e-06	2.684913e-06
2.200000e+02	2.300000e+02	1.892752e-03	3.225484e-06	3.225484e-06
2.300000e+02	2.400000e+02	1.682013e-03	2.269177e-06	2.269177e-06
2.400000e+02	2.500000e+02	1.505595e-03	2.213459e-06	2.213459e-06
2.500000e+02	2.600000e+02	1.348844e-03	2.070908e-06	2.070908e-06
2.600000e+02	2.700000e+02	1.208225e-03	2.120234e-06	2.120234e-06
2.700000e+02	2.800000e+02	1.088108e-03	2.239892e-06	2.239892e-06
2.800000e+02	2.900000e+02	9.752164e-04	1.785504e-06	1.785504e-06
2.900000e+02	3.000000e+02	8.804319e-04	1.645425e-06	1.645425e-06
3.000000e+02	3.100000e+02	7.923601e-04	1.584134e-06	1.584134e-06
3.100000e+02	3.200000e+02	7.228522e-04	2.080986e-06	2.080986e-06
3.200000e+02	3.300000e+02	6.506670e-04	1.776837e-06	1.776837e-06
3.300000e+02	3.400000e+02	5.890385e-04	1.497109e-06	1.497109e-06
