# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_Hj2_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.769179e-01	2.309939e-04	2.309939e-04
1.047198e-01	2.094395e-01	2.782037e-01	2.372076e-04	2.372076e-04
2.094395e-01	3.141593e-01	2.807854e-01	2.603606e-04	2.603606e-04
3.141593e-01	4.188790e-01	2.844457e-01	2.585306e-04	2.585306e-04
4.188790e-01	5.235988e-01	2.902932e-01	2.481417e-04	2.481417e-04
5.235988e-01	6.283185e-01	2.978974e-01	2.617340e-04	2.617340e-04
6.283185e-01	7.330383e-01	3.074946e-01	3.692699e-04	3.692699e-04
7.330383e-01	8.377580e-01	3.175892e-01	4.059264e-04	4.059264e-04
8.377580e-01	9.424778e-01	3.299584e-01	2.860805e-04	2.860805e-04
9.424778e-01	1.047198e+00	3.450129e-01	3.164617e-04	3.164617e-04
1.047198e+00	1.151917e+00	3.619516e-01	3.592313e-04	3.592313e-04
1.151917e+00	1.256637e+00	3.810964e-01	3.251488e-04	3.251488e-04
1.256637e+00	1.361357e+00	4.021181e-01	3.357634e-04	3.357634e-04
1.361357e+00	1.466077e+00	4.261785e-01	3.393658e-04	3.393658e-04
1.466077e+00	1.570796e+00	4.523762e-01	3.452346e-04	3.452346e-04
1.570796e+00	1.675516e+00	4.785975e-01	3.615875e-04	3.615875e-04
1.675516e+00	1.780236e+00	5.041729e-01	3.742427e-04	3.742427e-04
1.780236e+00	1.884956e+00	5.240719e-01	3.987417e-04	3.987417e-04
1.884956e+00	1.989675e+00	5.358208e-01	3.858439e-04	3.858439e-04
1.989675e+00	2.094395e+00	5.416337e-01	6.929929e-04	6.929929e-04
2.094395e+00	2.199115e+00	5.413337e-01	3.541688e-04	3.541688e-04
2.199115e+00	2.303835e+00	5.392227e-01	8.741550e-04	8.741550e-04
2.303835e+00	2.408554e+00	5.331694e-01	3.706371e-04	3.706371e-04
2.408554e+00	2.513274e+00	5.308337e-01	3.994798e-04	3.994798e-04
2.513274e+00	2.617994e+00	5.324939e-01	4.081341e-04	4.081341e-04
2.617994e+00	2.722714e+00	5.358635e-01	5.152851e-04	5.152851e-04
2.722714e+00	2.827433e+00	5.367554e-01	1.301757e-03	1.301757e-03
2.827433e+00	2.932153e+00	5.266237e-01	6.668042e-04	6.668042e-04
2.932153e+00	3.036873e+00	5.157928e-01	2.238267e-03	2.238267e-03
3.036873e+00	3.141593e+00	5.057881e-01	5.471095e-04	5.471095e-04
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_Hj2_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.104369e-02	1.302456e-05	1.302456e-05
1.047198e-01	2.094395e-01	2.119530e-02	1.345771e-05	1.345771e-05
2.094395e-01	3.141593e-01	2.148795e-02	1.344741e-05	1.344741e-05
3.141593e-01	4.188790e-01	2.192784e-02	1.353704e-05	1.353704e-05
4.188790e-01	5.235988e-01	2.251242e-02	1.556451e-05	1.556451e-05
5.235988e-01	6.283185e-01	2.332170e-02	1.520334e-05	1.520334e-05
6.283185e-01	7.330383e-01	2.425969e-02	1.522392e-05	1.522392e-05
7.330383e-01	8.377580e-01	2.542482e-02	1.759224e-05	1.759224e-05
8.377580e-01	9.424778e-01	2.683880e-02	1.712482e-05	1.712482e-05
9.424778e-01	1.047198e+00	2.849731e-02	1.956773e-05	1.956773e-05
1.047198e+00	1.151917e+00	3.042693e-02	1.836359e-05	1.836359e-05
1.151917e+00	1.256637e+00	3.263998e-02	2.000135e-05	2.000135e-05
1.256637e+00	1.361357e+00	3.519308e-02	2.026157e-05	2.026157e-05
1.361357e+00	1.466077e+00	3.813633e-02	2.102005e-05	2.102005e-05
1.466077e+00	1.570796e+00	4.130553e-02	2.432388e-05	2.432388e-05
