# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (pb)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltaphi_jj_excl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.662672e-01	3.844623e-04	3.844623e-04
1.047198e-01	2.094395e-01	1.676427e-01	3.126445e-04	3.126445e-04
2.094395e-01	3.141593e-01	1.706204e-01	3.309845e-04	3.309845e-04
3.141593e-01	4.188790e-01	1.784438e-01	3.619071e-04	3.619071e-04
4.188790e-01	5.235988e-01	1.878880e-01	2.214905e-03	2.214905e-03
5.235988e-01	6.283185e-01	1.833113e-01	2.567297e-04	2.567297e-04
6.283185e-01	7.330383e-01	1.813010e-01	2.292130e-04	2.292130e-04
7.330383e-01	8.377580e-01	1.820496e-01	2.362679e-04	2.362679e-04
8.377580e-01	9.424778e-01	1.840736e-01	2.357749e-04	2.357749e-04
9.424778e-01	1.047198e+00	1.870563e-01	2.661525e-04	2.661525e-04
1.047198e+00	1.151917e+00	1.908675e-01	1.894299e-04	1.894299e-04
1.151917e+00	1.256637e+00	1.963861e-01	8.043841e-04	8.043841e-04
1.256637e+00	1.361357e+00	2.006405e-01	1.840183e-04	1.840183e-04
1.361357e+00	1.466077e+00	2.065385e-01	2.225559e-04	2.225559e-04
1.466077e+00	1.570796e+00	2.133069e-01	1.875790e-04	1.875790e-04
1.570796e+00	1.675516e+00	2.210961e-01	1.931250e-04	1.931250e-04
1.675516e+00	1.780236e+00	2.296769e-01	2.074677e-04	2.074677e-04
1.780236e+00	1.884956e+00	2.387114e-01	2.164296e-04	2.164296e-04
1.884956e+00	1.989675e+00	2.488902e-01	2.164380e-04	2.164380e-04
1.989675e+00	2.094395e+00	2.595294e-01	2.279543e-04	2.279543e-04
2.094395e+00	2.199115e+00	2.715100e-01	2.491074e-04	2.491074e-04
2.199115e+00	2.303835e+00	2.848838e-01	2.798755e-04	2.798755e-04
