# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltay_H_j1 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltay_H_j1
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltay_H_j1 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/deltay_H_j1
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltay_H_j1
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltay_H_j1
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltay_H_j1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/deltay_H_j1
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.540705e-01	6.011262e-04	6.011262e-04
2.000000e-01	4.000000e-01	5.491930e-01	4.414162e-04	4.414162e-04
4.000000e-01	6.000000e-01	5.410185e-01	3.885334e-04	3.885334e-04
6.000000e-01	8.000000e-01	5.270535e-01	3.219964e-04	3.219964e-04
8.000000e-01	1.000000e+00	5.093825e-01	3.007028e-04	3.007028e-04
1.000000e+00	1.200000e+00	4.861456e-01	2.920312e-04	2.920312e-04
1.200000e+00	1.400000e+00	4.581904e-01	3.034307e-04	3.034307e-04
1.400000e+00	1.600000e+00	4.267914e-01	2.607237e-04	2.607237e-04
1.600000e+00	1.800000e+00	3.917552e-01	2.574739e-04	2.574739e-04
1.800000e+00	2.000000e+00	3.549651e-01	2.667292e-04	2.667292e-04
2.000000e+00	2.200000e+00	3.172964e-01	2.235183e-04	2.235183e-04
2.200000e+00	2.400000e+00	2.807514e-01	1.159440e-03	1.159440e-03
2.400000e+00	2.600000e+00	2.435390e-01	1.816468e-04	1.816468e-04
2.600000e+00	2.800000e+00	2.092237e-01	1.619516e-04	1.619516e-04
2.800000e+00	3.000000e+00	1.781154e-01	5.924331e-04	5.924331e-04
3.000000e+00	3.200000e+00	1.488093e-01	1.386449e-04	1.386449e-04
3.200000e+00	3.400000e+00	1.235642e-01	1.163836e-04	1.163836e-04
3.400000e+00	3.600000e+00	1.011495e-01	1.034901e-04	1.034901e-04
3.600000e+00	3.800000e+00	8.209065e-02	8.925137e-05	8.925137e-05
