# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
XLabel=$m_{j_1j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j2j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.400000e+01	6.897738e-10	6.172895e-10	6.172895e-10
4.400000e+01	4.800000e+01	2.702970e-10	6.442388e-10	6.442388e-10
4.800000e+01	5.200000e+01	5.054900e-09	2.578326e-09	2.578326e-09
5.200000e+01	5.600000e+01	1.750153e-08	3.846650e-09	3.846650e-09
5.600000e+01	6.000000e+01	7.607258e-08	4.383605e-08	4.383605e-08
6.000000e+01	6.400000e+01	6.009983e-08	1.127257e-08	1.127257e-08
6.400000e+01	6.800000e+01	1.308667e-07	2.045427e-08	2.045427e-08
6.800000e+01	7.200000e+01	2.532850e-07	4.756675e-08	4.756675e-08
7.200000e+01	7.600000e+01	3.076018e-07	4.335174e-08	4.335174e-08
7.600000e+01	8.000000e+01	4.521360e-07	3.780718e-08	3.780718e-08
8.000000e+01	8.400000e+01	7.330625e-07	1.096205e-07	1.096205e-07
8.400000e+01	8.800000e+01	8.487232e-07	1.809504e-07	1.809504e-07
8.800000e+01	9.200000e+01	1.255474e-06	8.026752e-08	8.026752e-08
9.200000e+01	9.600000e+01	1.621638e-06	9.519805e-08	9.519805e-08
9.600000e+01	1.000000e+02	1.985136e-06	1.374804e-07	1.374804e-07
1.000000e+02	1.040000e+02	2.253951e-06	1.482326e-07	1.482326e-07
1.040000e+02	1.080000e+02	2.920490e-06	1.450868e-07	1.450868e-07
1.080000e+02	1.120000e+02	3.483570e-06	2.128674e-07	2.128674e-07
1.120000e+02	1.160000e+02	4.230775e-06	2.454033e-07	2.454033e-07
1.160000e+02	1.200000e+02	5.734588e-06	6.261649e-07	6.261649e-07
1.200000e+02	1.240000e+02	5.499635e-06	2.019078e-07	2.019078e-07
1.240000e+02	1.280000e+02	6.822365e-06	4.784083e-07	4.784083e-07
1.280000e+02	1.320000e+02	7.299043e-06	2.830258e-07	2.830258e-07
1.320000e+02	1.360000e+02	8.638022e-06	2.543575e-07	2.543575e-07
1.360000e+02	1.400000e+02	9.614525e-06	2.882229e-07	2.882229e-07
1.400000e+02	1.440000e+02	1.043004e-05	2.360837e-07	2.360837e-07
1.440000e+02	1.480000e+02	1.246249e-05	3.827410e-07	3.827410e-07
1.480000e+02	1.520000e+02	1.430189e-05	4.835204e-07	4.835204e-07
1.520000e+02	1.560000e+02	1.564271e-05	9.977202e-07	9.977202e-07
1.560000e+02	1.600000e+02	1.723750e-05	6.326248e-07	6.326248e-07
1.600000e+02	1.640000e+02	1.825699e-05	4.354510e-07	4.354510e-07
1.640000e+02	1.680000e+02	2.028586e-05	4.068577e-07	4.068577e-07
1.680000e+02	1.720000e+02	2.170955e-05	5.762634e-07	5.762634e-07
1.720000e+02	1.760000e+02	2.339176e-05	4.170638e-07	4.170638e-07
1.760000e+02	1.800000e+02	2.618390e-05	8.264623e-07	8.264623e-07
1.800000e+02	1.840000e+02	2.749237e-05	4.480325e-07	4.480325e-07
1.840000e+02	1.880000e+02	2.991855e-05	6.614339e-07	6.614339e-07
1.880000e+02	1.920000e+02	3.082552e-05	5.723867e-07	5.723867e-07
1.920000e+02	1.960000e+02	3.355662e-05	6.022496e-07	6.022496e-07
1.960000e+02	2.000000e+02	3.541010e-05	5.423299e-07	5.423299e-07
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j2j3j4_mass_fine
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.400000e+01	-1.043606e-16	1.043606e-16	1.043606e-16
4.400000e+01	4.800000e+01	2.585700e-10	9.803858e-11	9.803858e-11
4.800000e+01	5.200000e+01	6.884705e-10	6.292968e-10	6.292968e-10
5.200000e+01	5.600000e+01	3.724775e-09	9.646460e-10	9.646460e-10
5.600000e+01	6.000000e+01	6.068997e-09	3.316469e-09	3.316469e-09
6.000000e+01	6.400000e+01	1.087765e-08	1.940211e-09	1.940211e-09
6.400000e+01	6.800000e+01	1.960065e-08	1.937812e-09	1.937812e-09
6.800000e+01	7.200000e+01	2.759627e-08	2.242679e-09	2.242679e-09
7.200000e+01	7.600000e+01	3.883873e-08	3.965483e-09	3.965483e-09
7.600000e+01	8.000000e+01	5.756542e-08	6.898683e-09	6.898683e-09
8.000000e+01	8.400000e+01	8.214225e-08	1.331363e-08	1.331363e-08
8.400000e+01	8.800000e+01	1.107050e-07	9.322329e-09	9.322329e-09
8.800000e+01	9.200000e+01	1.278311e-07	8.363821e-09	8.363821e-09
9.200000e+01	9.600000e+01	1.564141e-07	1.047370e-08	1.047370e-08
9.600000e+01	1.000000e+02	1.746425e-07	1.225947e-08	1.225947e-08
1.000000e+02	1.040000e+02	2.294657e-07	1.008239e-08	1.008239e-08
1.040000e+02	1.080000e+02	2.589223e-07	8.442630e-09	8.442630e-09
1.080000e+02	1.120000e+02	3.305245e-07	1.338489e-08	1.338489e-08
1.120000e+02	1.160000e+02	3.885127e-07	1.362654e-08	1.362654e-08
1.160000e+02	1.200000e+02	4.086672e-07	1.056950e-08	1.056950e-08
1.200000e+02	1.240000e+02	4.680435e-07	1.551332e-08	1.551332e-08
1.240000e+02	1.280000e+02	5.659088e-07	1.362836e-08	1.362836e-08
1.280000e+02	1.320000e+02	6.472253e-07	1.530475e-08	1.530475e-08
1.320000e+02	1.360000e+02	7.274485e-07	1.585895e-08	1.585895e-08
1.360000e+02	1.400000e+02	8.633525e-07	3.263465e-08	3.263465e-08
1.400000e+02	1.440000e+02	9.482902e-07	1.790208e-08	1.790208e-08
1.440000e+02	1.480000e+02	1.078656e-06	2.138026e-08	2.138026e-08
1.480000e+02	1.520000e+02	1.151896e-06	2.023505e-08	2.023505e-08
1.520000e+02	1.560000e+02	1.308976e-06	2.321050e-08	2.321050e-08
1.560000e+02	1.600000e+02	1.401774e-06	3.371639e-08	3.371639e-08
1.600000e+02	1.640000e+02	1.547793e-06	2.169739e-08	2.169739e-08
1.640000e+02	1.680000e+02	1.678267e-06	2.595868e-08	2.595868e-08
1.680000e+02	1.720000e+02	1.771209e-06	2.298593e-08	2.298593e-08
1.720000e+02	1.760000e+02	1.925308e-06	2.238164e-08	2.238164e-08
1.760000e+02	1.800000e+02	2.072788e-06	2.361938e-08	2.361938e-08
1.800000e+02	1.840000e+02	2.257086e-06	2.647465e-08	2.647465e-08
1.840000e+02	1.880000e+02	2.369183e-06	2.990735e-08	2.990735e-08
1.880000e+02	1.920000e+02	2.522453e-06	2.668275e-08	2.668275e-08
1.920000e+02	1.960000e+02	2.629253e-06	2.998040e-08	2.998040e-08
1.960000e+02	2.000000e+02	2.761033e-06	2.921355e-08	2.921355e-08
# END HISTO1D

