# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j3_pullangle //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j3_pullangle
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j3_pullangle //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j3_pullangle
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j3_pullangle
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\theta_{j1,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j3}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j3_pullangle
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j1j3_pullangle
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.254784e-01	6.478216e-04	6.478216e-04
5.000000e-02	1.000000e-01	6.202968e-01	6.196094e-04	6.196094e-04
1.000000e-01	1.500000e-01	6.183346e-01	7.057645e-04	7.057645e-04
1.500000e-01	2.000000e-01	6.163182e-01	6.297851e-04	6.297851e-04
2.000000e-01	2.500000e-01	6.125284e-01	6.124493e-04	6.124493e-04
2.500000e-01	3.000000e-01	6.035254e-01	7.255445e-04	7.255445e-04
3.000000e-01	3.500000e-01	5.898440e-01	8.936270e-04	8.936270e-04
3.500000e-01	4.000000e-01	5.778854e-01	7.709363e-04	7.709363e-04
4.000000e-01	4.500000e-01	5.698554e-01	6.229524e-04	6.229524e-04
4.500000e-01	5.000000e-01	5.669248e-01	5.780935e-04	5.780935e-04
5.000000e-01	5.500000e-01	5.659970e-01	6.930633e-04	6.930633e-04
5.500000e-01	6.000000e-01	5.668506e-01	2.794598e-03	2.794598e-03
6.000000e-01	6.500000e-01	5.656574e-01	7.173970e-04	7.173970e-04
6.500000e-01	7.000000e-01	5.733834e-01	7.897835e-04	7.897835e-04
7.000000e-01	7.500000e-01	5.817246e-01	6.756295e-04	6.756295e-04
7.500000e-01	8.000000e-01	5.834642e-01	5.973587e-04	5.973587e-04
8.000000e-01	8.500000e-01	5.776458e-01	6.036236e-04	6.036236e-04
8.500000e-01	9.000000e-01	5.728036e-01	9.893465e-04	9.893465e-04
9.000000e-01	9.500000e-01	5.664360e-01	7.170146e-04	7.170146e-04
9.500000e-01	1.000000e+00	5.667342e-01	7.126531e-04	7.126531e-04
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j3_pullangle
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j1j3_pullangle
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.584982e-02	2.937402e-05	2.937402e-05
5.000000e-02	1.000000e-01	3.589506e-02	2.965558e-05	2.965558e-05
1.000000e-01	1.500000e-01	3.640654e-02	3.110637e-05	3.110637e-05
1.500000e-01	2.000000e-01	3.682644e-02	3.115039e-05	3.115039e-05
2.000000e-01	2.500000e-01	3.642746e-02	3.066604e-05	3.066604e-05
2.500000e-01	3.000000e-01	3.503570e-02	9.610815e-05	9.610815e-05
3.000000e-01	3.500000e-01	3.356564e-02	3.174835e-05	3.174835e-05
3.500000e-01	4.000000e-01	3.244416e-02	2.754199e-05	2.754199e-05
4.000000e-01	4.500000e-01	3.189438e-02	2.784680e-05	2.784680e-05
4.500000e-01	5.000000e-01	3.211042e-02	2.761826e-05	2.761826e-05
5.000000e-01	5.500000e-01	3.219142e-02	3.330802e-05	3.330802e-05
5.500000e-01	6.000000e-01	3.186944e-02	2.779471e-05	2.779471e-05
6.000000e-01	6.500000e-01	3.224420e-02	2.646571e-05	2.646571e-05
6.500000e-01	7.000000e-01	3.333742e-02	2.681247e-05	2.681247e-05
7.000000e-01	7.500000e-01	3.471664e-02	3.046006e-05	3.046006e-05
7.500000e-01	8.000000e-01	3.584468e-02	2.998057e-05	2.998057e-05
8.000000e-01	8.500000e-01	3.610656e-02	2.947583e-05	2.947583e-05
8.500000e-01	9.000000e-01	3.542688e-02	5.431409e-05	5.431409e-05
9.000000e-01	9.500000e-01	3.484048e-02	2.852632e-05	2.852632e-05
9.500000e-01	1.000000e+00	3.475280e-02	2.778196e-05	2.778196e-05
# END HISTO1D

