# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3_mass
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.053479e-03	8.556507e-07	8.556507e-07
4.000000e+01	8.000000e+01	2.276870e-03	2.149259e-06	2.149259e-06
8.000000e+01	1.200000e+02	1.807334e-03	1.604015e-06	1.604015e-06
1.200000e+02	1.600000e+02	1.400008e-03	1.348206e-06	1.348206e-06
1.600000e+02	2.000000e+02	1.105939e-03	3.256550e-06	3.256550e-06
2.000000e+02	2.400000e+02	8.871350e-04	8.340073e-07	8.340073e-07
2.400000e+02	2.800000e+02	7.330370e-04	7.910373e-07	7.910373e-07
2.800000e+02	3.200000e+02	6.162603e-04	6.489180e-07	6.489180e-07
3.200000e+02	3.600000e+02	5.244415e-04	6.678019e-07	6.678019e-07
3.600000e+02	4.000000e+02	4.513823e-04	5.884580e-07	5.884580e-07
4.000000e+02	4.400000e+02	3.931930e-04	5.256367e-07	5.256367e-07
4.400000e+02	4.800000e+02	3.456023e-04	1.266381e-06	1.266381e-06
4.800000e+02	5.200000e+02	3.020763e-04	4.449287e-07	4.449287e-07
5.200000e+02	5.600000e+02	2.676268e-04	4.525083e-07	4.525083e-07
5.600000e+02	6.000000e+02	2.369808e-04	3.817663e-07	3.817663e-07
6.000000e+02	6.400000e+02	2.122470e-04	3.925465e-07	3.925465e-07
6.400000e+02	6.800000e+02	1.889059e-04	3.689853e-07	3.689853e-07
6.800000e+02	7.200000e+02	1.699814e-04	3.516897e-07	3.516897e-07
7.200000e+02	7.600000e+02	1.522482e-04	3.461925e-07	3.461925e-07
7.600000e+02	8.000000e+02	1.367972e-04	3.270717e-07	3.270717e-07
8.000000e+02	8.400000e+02	1.232869e-04	2.895932e-07	2.895932e-07
8.400000e+02	8.800000e+02	1.119956e-04	3.915164e-07	3.915164e-07
8.800000e+02	9.200000e+02	1.006132e-04	2.596859e-07	2.596859e-07
9.200000e+02	9.600000e+02	9.110648e-05	2.664783e-07	2.664783e-07
9.600000e+02	1.000000e+03	8.253710e-05	2.352693e-07	2.352693e-07
1.000000e+03	1.040000e+03	7.491518e-05	2.338600e-07	2.338600e-07
1.040000e+03	1.080000e+03	6.824575e-05	2.254005e-07	2.254005e-07
1.080000e+03	1.120000e+03	6.196525e-05	2.377051e-07	2.377051e-07
1.120000e+03	1.160000e+03	5.636220e-05	2.276796e-07	2.276796e-07
1.160000e+03	1.200000e+03	5.147803e-05	2.343060e-07	2.343060e-07
1.200000e+03	1.240000e+03	4.686750e-05	1.651935e-07	1.651935e-07
1.240000e+03	1.280000e+03	4.274635e-05	1.903031e-07	1.903031e-07
1.280000e+03	1.320000e+03	3.906420e-05	1.493521e-07	1.493521e-07
1.320000e+03	1.360000e+03	3.567770e-05	1.618476e-07	1.618476e-07
1.360000e+03	1.400000e+03	3.279867e-05	1.311723e-07	1.311723e-07
1.400000e+03	1.440000e+03	2.986210e-05	1.411416e-07	1.411416e-07
1.440000e+03	1.480000e+03	2.744583e-05	1.318667e-07	1.318667e-07
1.480000e+03	1.520000e+03	2.487846e-05	1.302720e-07	1.302720e-07
1.520000e+03	1.560000e+03	2.303193e-05	1.239914e-07	1.239914e-07
1.560000e+03	1.600000e+03	2.127253e-05	1.140209e-07	1.140209e-07
1.600000e+03	1.640000e+03	1.934471e-05	1.329857e-07	1.329857e-07
1.640000e+03	1.680000e+03	1.797151e-05	9.305533e-08	9.305533e-08
1.680000e+03	1.720000e+03	1.648990e-05	1.196904e-07	1.196904e-07
1.720000e+03	1.760000e+03	1.514855e-05	8.135228e-08	8.135228e-08
1.760000e+03	1.800000e+03	1.386145e-05	1.090839e-07	1.090839e-07
1.800000e+03	1.840000e+03	1.275176e-05	8.519679e-08	8.519679e-08
1.840000e+03	1.880000e+03	1.152091e-05	9.864288e-08	9.864288e-08
1.880000e+03	1.920000e+03	1.074047e-05	7.139984e-08	7.139984e-08
1.920000e+03	1.960000e+03	9.900933e-06	8.329755e-08	8.329755e-08
1.960000e+03	2.000000e+03	9.261207e-06	6.963958e-08	6.963958e-08
2.000000e+03	2.040000e+03	8.327268e-06	8.724688e-08	8.724688e-08
2.040000e+03	2.080000e+03	7.713870e-06	1.139436e-07	1.139436e-07
2.080000e+03	2.120000e+03	7.176183e-06	6.364781e-08	6.364781e-08
2.120000e+03	2.160000e+03	6.438155e-06	5.998474e-08	5.998474e-08
2.160000e+03	2.200000e+03	6.129252e-06	5.910640e-08	5.910640e-08
2.200000e+03	2.240000e+03	5.566210e-06	6.109472e-08	6.109472e-08
2.240000e+03	2.280000e+03	5.066657e-06	4.472825e-08	4.472825e-08
2.280000e+03	2.320000e+03	4.713157e-06	5.669021e-08	5.669021e-08
2.320000e+03	2.360000e+03	4.351970e-06	5.641260e-08	5.641260e-08
2.360000e+03	2.400000e+03	4.067690e-06	4.633428e-08	4.633428e-08
2.400000e+03	2.440000e+03	3.773795e-06	5.099228e-08	5.099228e-08
2.440000e+03	2.480000e+03	3.439880e-06	4.791336e-08	4.791336e-08
2.480000e+03	2.520000e+03	3.173400e-06	5.046785e-08	5.046785e-08
2.520000e+03	2.560000e+03	2.951878e-06	3.434873e-08	3.434873e-08
2.560000e+03	2.600000e+03	2.661348e-06	5.687276e-08	5.687276e-08
2.600000e+03	2.640000e+03	2.551762e-06	3.359422e-08	3.359422e-08
2.640000e+03	2.680000e+03	2.356231e-06	3.806872e-08	3.806872e-08
2.680000e+03	2.720000e+03	2.026301e-06	4.883503e-08	4.883503e-08
