# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3j4_mass
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3j4_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j2j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	2.973485e-10	2.973485e-10	2.973485e-10
2.000000e+01	3.000000e+01	6.578269e-07	2.649156e-08	2.649156e-08
3.000000e+01	4.000000e+01	1.024202e-05	1.627191e-07	1.627191e-07
4.000000e+01	5.000000e+01	3.732440e-05	2.762089e-07	2.762089e-07
5.000000e+01	6.000000e+01	7.415947e-05	4.393816e-07	4.393816e-07
6.000000e+01	7.000000e+01	1.117382e-04	6.373788e-07	6.373788e-07
7.000000e+01	8.000000e+01	1.471600e-04	7.120518e-07	7.120518e-07
8.000000e+01	9.000000e+01	1.807628e-04	1.458329e-06	1.458329e-06
9.000000e+01	1.000000e+02	2.081139e-04	8.653687e-07	8.653687e-07
1.000000e+02	1.100000e+02	2.359931e-04	1.920707e-06	1.920707e-06
1.100000e+02	1.200000e+02	2.585075e-04	9.737182e-07	9.737182e-07
1.200000e+02	1.300000e+02	2.806675e-04	1.239987e-06	1.239987e-06
1.300000e+02	1.400000e+02	2.959672e-04	1.516906e-06	1.516906e-06
1.400000e+02	1.500000e+02	3.080710e-04	1.106154e-06	1.106154e-06
1.500000e+02	1.600000e+02	3.182805e-04	2.089243e-06	2.089243e-06
1.600000e+02	1.700000e+02	3.232927e-04	2.571912e-06	2.571912e-06
1.700000e+02	1.800000e+02	3.259330e-04	1.119503e-06	1.119503e-06
1.800000e+02	1.900000e+02	3.260278e-04	1.043805e-06	1.043805e-06
1.900000e+02	2.000000e+02	3.259121e-04	1.041263e-06	1.041263e-06
2.000000e+02	2.100000e+02	3.263662e-04	1.570881e-06	1.570881e-06
2.100000e+02	2.200000e+02	3.218401e-04	9.774173e-07	9.774173e-07
2.200000e+02	2.300000e+02	3.223392e-04	3.457524e-06	3.457524e-06
2.300000e+02	2.400000e+02	3.154777e-04	9.753605e-07	9.753605e-07
2.400000e+02	2.500000e+02	3.097805e-04	9.867452e-07	9.867452e-07
2.500000e+02	2.600000e+02	3.063770e-04	1.133246e-06	1.133246e-06
2.600000e+02	2.700000e+02	3.041543e-04	3.433728e-06	3.433728e-06
2.700000e+02	2.800000e+02	2.943622e-04	1.137955e-06	1.137955e-06
2.800000e+02	2.900000e+02	2.907393e-04	2.214198e-06	2.214198e-06
2.900000e+02	3.000000e+02	2.832980e-04	9.380273e-07	9.380273e-07
3.000000e+02	3.100000e+02	2.771161e-04	9.045810e-07	9.045810e-07
3.100000e+02	3.200000e+02	2.717578e-04	8.699298e-07	8.699298e-07
3.200000e+02	3.300000e+02	2.647533e-04	1.002251e-06	1.002251e-06
3.300000e+02	3.400000e+02	2.595091e-04	8.569738e-07	8.569738e-07
3.400000e+02	3.500000e+02	2.542034e-04	1.170772e-06	1.170772e-06
3.500000e+02	3.600000e+02	2.473022e-04	9.714390e-07	9.714390e-07
3.600000e+02	3.700000e+02	2.415886e-04	8.792714e-07	8.792714e-07
3.700000e+02	3.800000e+02	2.366278e-04	8.830219e-07	8.830219e-07
3.800000e+02	3.900000e+02	2.301762e-04	9.108823e-07	9.108823e-07
3.900000e+02	4.000000e+02	2.255046e-04	8.467274e-07	8.467274e-07
4.000000e+02	4.100000e+02	2.203886e-04	8.858918e-07	8.858918e-07
4.100000e+02	4.200000e+02	2.156706e-04	1.114006e-06	1.114006e-06
4.200000e+02	4.300000e+02	2.094857e-04	8.277378e-07	8.277378e-07
4.300000e+02	4.400000e+02	2.047301e-04	9.238254e-07	9.238254e-07
4.400000e+02	4.500000e+02	2.000858e-04	8.467484e-07	8.467484e-07
4.500000e+02	4.600000e+02	1.963866e-04	7.862440e-07	7.862440e-07
4.600000e+02	4.700000e+02	1.910038e-04	1.410109e-06	1.410109e-06
4.700000e+02	4.800000e+02	1.856520e-04	9.521491e-07	9.521491e-07
4.800000e+02	4.900000e+02	1.817961e-04	7.495092e-07	7.495092e-07
4.900000e+02	5.000000e+02	1.775391e-04	1.464725e-06	1.464725e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	6.864832e-12	5.346917e-12	5.346917e-12
2.000000e+01	3.000000e+01	1.029368e-07	2.612051e-09	2.612051e-09
3.000000e+01	4.000000e+01	1.342672e-06	1.256718e-08	1.256718e-08
4.000000e+01	5.000000e+01	3.974864e-06	2.260904e-08	2.260904e-08
5.000000e+01	6.000000e+01	6.507577e-06	2.953247e-08	2.953247e-08
6.000000e+01	7.000000e+01	8.107599e-06	3.106480e-08	3.106480e-08
7.000000e+01	8.000000e+01	9.310759e-06	3.483550e-08	3.483550e-08
8.000000e+01	9.000000e+01	1.050141e-05	3.921994e-08	3.921994e-08
9.000000e+01	1.000000e+02	1.167764e-05	4.104254e-08	4.104254e-08
1.000000e+02	1.100000e+02	1.274537e-05	4.353530e-08	4.353530e-08
1.100000e+02	1.200000e+02	1.339754e-05	4.194619e-08	4.194619e-08
1.200000e+02	1.300000e+02	1.382723e-05	4.060060e-08	4.060060e-08
1.300000e+02	1.400000e+02	1.384343e-05	4.136196e-08	4.136196e-08
1.400000e+02	1.500000e+02	1.384430e-05	4.129633e-08	4.129633e-08
1.500000e+02	1.600000e+02	1.357914e-05	5.893837e-08	5.893837e-08
1.600000e+02	1.700000e+02	1.319833e-05	3.965248e-08	3.965248e-08
1.700000e+02	1.800000e+02	1.282347e-05	5.017032e-08	5.017032e-08
1.800000e+02	1.900000e+02	1.247888e-05	4.827702e-08	4.827702e-08
1.900000e+02	2.000000e+02	1.206973e-05	3.714744e-08	3.714744e-08
2.000000e+02	2.100000e+02	1.161678e-05	3.522212e-08	3.522212e-08
2.100000e+02	2.200000e+02	1.126345e-05	5.059583e-08	5.059583e-08
2.200000e+02	2.300000e+02	1.086435e-05	3.455990e-08	3.455990e-08
2.300000e+02	2.400000e+02	1.052820e-05	3.482666e-08	3.482666e-08
2.400000e+02	2.500000e+02	1.017525e-05	3.218431e-08	3.218431e-08
2.500000e+02	2.600000e+02	9.783821e-06	5.077269e-08	5.077269e-08
2.600000e+02	2.700000e+02	9.535100e-06	3.242521e-08	3.242521e-08
