# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j3j4_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j3j4_mass
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j3j4_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/j3j4_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j3j4_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_3j_4}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j3j4_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/j3j4_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.906905e-04	7.229426e-07	7.229426e-07
4.000000e+01	8.000000e+01	1.028355e-03	1.823903e-06	1.823903e-06
8.000000e+01	1.200000e+02	7.673928e-04	1.190902e-06	1.190902e-06
1.200000e+02	1.600000e+02	5.139358e-04	7.762694e-07	7.762694e-07
1.600000e+02	2.000000e+02	3.655178e-04	1.043681e-06	1.043681e-06
2.000000e+02	2.400000e+02	2.715273e-04	5.348842e-07	5.348842e-07
2.400000e+02	2.800000e+02	2.106256e-04	4.301328e-07	4.301328e-07
2.800000e+02	3.200000e+02	1.672743e-04	3.668288e-07	3.668288e-07
3.200000e+02	3.600000e+02	1.363783e-04	3.606154e-07	3.606154e-07
3.600000e+02	4.000000e+02	1.120457e-04	2.850897e-07	2.850897e-07
4.000000e+02	4.400000e+02	9.373707e-05	2.640225e-07	2.640225e-07
4.400000e+02	4.800000e+02	7.879495e-05	2.481468e-07	2.481468e-07
4.800000e+02	5.200000e+02	6.641113e-05	2.290859e-07	2.290859e-07
5.200000e+02	5.600000e+02	5.689962e-05	2.185502e-07	2.185502e-07
5.600000e+02	6.000000e+02	4.864040e-05	2.236900e-07	2.236900e-07
6.000000e+02	6.400000e+02	4.215255e-05	1.874626e-07	1.874626e-07
6.400000e+02	6.800000e+02	3.633905e-05	1.975015e-07	1.975015e-07
6.800000e+02	7.200000e+02	3.129045e-05	1.537952e-07	1.537952e-07
7.200000e+02	7.600000e+02	2.763480e-05	1.987565e-07	1.987565e-07
7.600000e+02	8.000000e+02	2.366771e-05	1.328996e-07	1.328996e-07
8.000000e+02	8.400000e+02	2.093667e-05	1.150015e-07	1.150015e-07
8.400000e+02	8.800000e+02	1.817978e-05	1.215551e-07	1.215551e-07
8.800000e+02	9.200000e+02	1.601924e-05	1.092149e-07	1.092149e-07
9.200000e+02	9.600000e+02	1.404751e-05	1.142356e-07	1.142356e-07
9.600000e+02	1.000000e+03	1.266318e-05	8.922237e-08	8.922237e-08
1.000000e+03	1.040000e+03	1.108615e-05	1.393240e-07	1.393240e-07
1.040000e+03	1.080000e+03	9.812905e-06	8.375429e-08	8.375429e-08
1.080000e+03	1.120000e+03	8.639060e-06	9.476629e-08	9.476629e-08
