# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_mass
XLabel=$m_{j_1}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet1_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.653559e-01	2.662431e-04	2.662431e-04
1.000000e+00	2.000000e+00	1.947836e-02	2.832186e-05	2.832186e-05
2.000000e+00	3.000000e+00	1.322526e-02	1.656132e-05	1.656132e-05
3.000000e+00	4.000000e+00	3.853846e-02	3.141649e-05	3.141649e-05
4.000000e+00	5.000000e+00	4.734325e-02	3.482512e-05	3.482512e-05
5.000000e+00	6.000000e+00	4.881855e-02	4.240525e-05	4.240525e-05
6.000000e+00	7.000000e+00	5.217771e-02	3.722146e-05	3.722146e-05
7.000000e+00	8.000000e+00	5.390920e-02	4.109574e-05	4.109574e-05
8.000000e+00	9.000000e+00	5.434774e-02	3.990417e-05	3.990417e-05
9.000000e+00	1.000000e+01	5.375645e-02	3.967666e-05	3.967666e-05
1.000000e+01	1.100000e+01	5.223255e-02	3.620036e-05	3.620036e-05
1.100000e+01	1.200000e+01	5.007885e-02	3.878437e-05	3.878437e-05
1.200000e+01	1.300000e+01	4.754271e-02	3.735603e-05	3.735603e-05
1.300000e+01	1.400000e+01	4.484174e-02	3.660852e-05	3.660852e-05
1.400000e+01	1.500000e+01	4.195804e-02	8.774327e-05	8.774327e-05
1.500000e+01	1.600000e+01	3.910034e-02	3.238302e-05	3.238302e-05
1.600000e+01	1.700000e+01	3.635355e-02	3.077492e-05	3.077492e-05
1.700000e+01	1.800000e+01	3.370717e-02	3.113318e-05	3.113318e-05
1.800000e+01	1.900000e+01	3.125903e-02	3.014725e-05	3.014725e-05
1.900000e+01	2.000000e+01	2.886095e-02	2.910393e-05	2.910393e-05
2.000000e+01	2.100000e+01	2.673181e-02	2.881440e-05	2.881440e-05
2.100000e+01	2.200000e+01	2.475281e-02	2.672759e-05	2.672759e-05
2.200000e+01	2.300000e+01	2.282482e-02	3.151499e-05	3.151499e-05
2.300000e+01	2.400000e+01	2.110448e-02	2.927209e-05	2.927209e-05
2.400000e+01	2.500000e+01	1.956145e-02	2.317002e-05	2.317002e-05
2.500000e+01	2.600000e+01	1.820490e-02	2.974591e-05	2.974591e-05
2.600000e+01	2.700000e+01	1.684821e-02	2.810357e-05	2.810357e-05
2.700000e+01	2.800000e+01	1.560754e-02	2.670496e-05	2.670496e-05
2.800000e+01	2.900000e+01	1.444483e-02	2.121854e-05	2.121854e-05
2.900000e+01	3.000000e+01	1.339935e-02	1.919198e-05	1.919198e-05
3.000000e+01	3.100000e+01	1.251155e-02	2.498442e-05	2.498442e-05
3.100000e+01	3.200000e+01	1.159414e-02	1.737215e-05	1.737215e-05
3.200000e+01	3.300000e+01	1.078909e-02	1.796426e-05	1.796426e-05
3.300000e+01	3.400000e+01	1.002457e-02	2.130910e-05	2.130910e-05
3.400000e+01	3.500000e+01	9.323112e-03	1.620529e-05	1.620529e-05
3.500000e+01	3.600000e+01	8.730663e-03	1.863055e-05	1.863055e-05
3.600000e+01	3.700000e+01	8.125736e-03	1.629335e-05	1.629335e-05
3.700000e+01	3.800000e+01	7.593169e-03	2.421115e-05	2.421115e-05
3.800000e+01	3.900000e+01	7.084569e-03	1.557481e-05	1.557481e-05
3.900000e+01	4.000000e+01	6.615225e-03	1.409016e-05	1.409016e-05
4.000000e+01	4.100000e+01	6.183257e-03	1.517782e-05	1.517782e-05
4.100000e+01	4.200000e+01	5.787821e-03	1.370294e-05	1.370294e-05
4.200000e+01	4.300000e+01	5.487150e-03	3.607297e-05	3.607297e-05
4.300000e+01	4.400000e+01	5.111608e-03	2.747578e-05	2.747578e-05
4.400000e+01	4.500000e+01	4.754981e-03	1.310401e-05	1.310401e-05
4.500000e+01	4.600000e+01	4.492201e-03	1.787717e-05	1.787717e-05
4.600000e+01	4.700000e+01	4.184914e-03	1.096254e-05	1.096254e-05
4.700000e+01	4.800000e+01	3.939276e-03	1.118584e-05	1.118584e-05
4.800000e+01	4.900000e+01	3.713365e-03	9.903295e-06	9.903295e-06
4.900000e+01	5.000000e+01	3.505926e-03	1.428680e-05	1.428680e-05
5.000000e+01	5.100000e+01	3.303851e-03	1.495684e-05	1.495684e-05
5.100000e+01	5.200000e+01	3.080589e-03	1.256958e-05	1.256958e-05
5.200000e+01	5.300000e+01	2.926540e-03	9.671693e-06	9.671693e-06
5.300000e+01	5.400000e+01	2.787546e-03	3.291551e-05	3.291551e-05
5.400000e+01	5.500000e+01	2.587793e-03	1.056427e-05	1.056427e-05
5.500000e+01	5.600000e+01	2.425548e-03	1.682971e-05	1.682971e-05
5.600000e+01	5.700000e+01	2.300828e-03	1.036483e-05	1.036483e-05
5.700000e+01	5.800000e+01	2.164174e-03	7.723655e-06	7.723655e-06
5.800000e+01	5.900000e+01	2.055431e-03	8.912497e-06	8.912497e-06
5.900000e+01	6.000000e+01	1.948581e-03	1.236580e-05	1.236580e-05
6.000000e+01	6.100000e+01	1.848914e-03	9.306642e-06	9.306642e-06
6.100000e+01	6.200000e+01	1.753311e-03	8.204245e-06	8.204245e-06
6.200000e+01	6.300000e+01	1.649926e-03	8.679805e-06	8.679805e-06
