# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_pT_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1}^{incl}$ (GeV)
LegendAlign=r
XMax=300.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet1_pT_incl
\rput[tl](0.35,0.5){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	4.946024e-05	9.419709e-07	9.419709e-07
3.000000e+01	4.000000e+01	4.934650e-04	1.179027e-05	1.179027e-05
4.000000e+01	5.000000e+01	1.169497e-03	1.883949e-06	1.883949e-06
5.000000e+01	6.000000e+01	2.004502e-03	2.289998e-05	2.289998e-05
6.000000e+01	7.000000e+01	2.805330e-03	2.672292e-06	2.672292e-06
7.000000e+01	8.000000e+01	3.551001e-03	3.436910e-06	3.436910e-06
8.000000e+01	9.000000e+01	4.153820e-03	3.217741e-06	3.217741e-06
9.000000e+01	1.000000e+02	4.613245e-03	3.511072e-06	3.511072e-06
1.000000e+02	1.100000e+02	4.920805e-03	4.490558e-06	4.490558e-06
1.100000e+02	1.200000e+02	5.092656e-03	3.560383e-06	3.560383e-06
1.200000e+02	1.300000e+02	5.150846e-03	3.571473e-06	3.571473e-06
1.300000e+02	1.400000e+02	5.129331e-03	4.541856e-06	4.541856e-06
1.400000e+02	1.500000e+02	5.034578e-03	3.558684e-06	3.558684e-06
1.500000e+02	1.600000e+02	4.891784e-03	3.518993e-06	3.518993e-06
1.600000e+02	1.700000e+02	4.717467e-03	3.797500e-06	3.797500e-06
1.700000e+02	1.800000e+02	4.525603e-03	4.459382e-06	4.459382e-06
1.800000e+02	1.900000e+02	4.317048e-03	3.505374e-06	3.505374e-06
1.900000e+02	2.000000e+02	4.097256e-03	3.228010e-06	3.228010e-06
2.000000e+02	2.100000e+02	3.891429e-03	8.851809e-06	8.851809e-06
2.100000e+02	2.200000e+02	3.664738e-03	3.141437e-06	3.141437e-06
2.200000e+02	2.300000e+02	3.455112e-03	3.106360e-06	3.106360e-06
2.300000e+02	2.400000e+02	3.255694e-03	3.253114e-06	3.253114e-06
2.400000e+02	2.500000e+02	3.065770e-03	3.228216e-06	3.228216e-06
2.500000e+02	2.600000e+02	2.885017e-03	3.229814e-06	3.229814e-06
2.600000e+02	2.700000e+02	2.708318e-03	2.766746e-06	2.766746e-06
2.700000e+02	2.800000e+02	2.547903e-03	2.831904e-06	2.831904e-06
2.800000e+02	2.900000e+02	2.395328e-03	3.363562e-06	3.363562e-06
2.900000e+02	3.000000e+02	2.239286e-03	2.627118e-06	2.627118e-06
3.000000e+02	3.100000e+02	2.100132e-03	3.440718e-06	3.440718e-06
3.100000e+02	3.200000e+02	1.976624e-03	2.424602e-06	2.424602e-06
3.200000e+02	3.300000e+02	1.848347e-03	3.059591e-06	3.059591e-06
3.300000e+02	3.400000e+02	1.742326e-03	2.366977e-06	2.366977e-06
3.400000e+02	3.500000e+02	1.638510e-03	2.549112e-06	2.549112e-06
3.500000e+02	3.600000e+02	1.544211e-03	2.146237e-06	2.146237e-06
3.600000e+02	3.700000e+02	1.445143e-03	2.111458e-06	2.111458e-06
3.700000e+02	3.800000e+02	1.363043e-03	2.203045e-06	2.203045e-06
3.800000e+02	3.900000e+02	1.281311e-03	2.067345e-06	2.067345e-06
3.900000e+02	4.000000e+02	1.210156e-03	1.933697e-06	1.933697e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.430228e-05	5.992940e-08	5.992940e-08
3.000000e+01	4.000000e+01	2.305695e-04	2.272501e-06	2.272501e-06
4.000000e+01	5.000000e+01	5.132390e-04	2.805614e-07	2.805614e-07
5.000000e+01	6.000000e+01	7.931846e-04	4.042902e-07	4.042902e-07
6.000000e+01	7.000000e+01	1.008444e-03	3.651642e-07	3.651642e-07
7.000000e+01	8.000000e+01	1.132735e-03	4.178451e-07	4.178451e-07
8.000000e+01	9.000000e+01	1.168330e-03	4.163933e-07	4.163933e-07
9.000000e+01	1.000000e+02	1.133735e-03	3.809370e-07	3.809370e-07
1.000000e+02	1.100000e+02	1.051636e-03	3.577262e-07	3.577262e-07
1.100000e+02	1.200000e+02	9.433001e-04	3.321884e-07	3.321884e-07
1.200000e+02	1.300000e+02	8.255765e-04	3.187527e-07	3.187527e-07
1.300000e+02	1.400000e+02	7.095452e-04	2.911146e-07	2.911146e-07
1.400000e+02	1.500000e+02	6.013443e-04	2.710441e-07	2.710441e-07
1.500000e+02	1.600000e+02	5.042770e-04	2.389639e-07	2.389639e-07
1.600000e+02	1.700000e+02	4.197149e-04	2.083842e-07	2.083842e-07
1.700000e+02	1.800000e+02	3.467187e-04	1.832064e-07	1.832064e-07
1.800000e+02	1.900000e+02	2.859807e-04	1.619321e-07	1.619321e-07
1.900000e+02	2.000000e+02	2.355582e-04	1.594712e-07	1.594712e-07
2.000000e+02	2.100000e+02	1.932844e-04	1.260019e-07	1.260019e-07
2.100000e+02	2.200000e+02	1.588356e-04	1.253515e-07	1.253515e-07
2.200000e+02	2.300000e+02	1.300921e-04	9.880515e-08	9.880515e-08
2.300000e+02	2.400000e+02	1.070166e-04	8.695234e-08	8.695234e-08
2.400000e+02	2.500000e+02	8.751120e-05	4.642646e-07	4.642646e-07
2.500000e+02	2.600000e+02	7.246646e-05	6.696731e-08	6.696731e-08
2.600000e+02	2.700000e+02	5.978734e-05	5.752208e-08	5.752208e-08
2.700000e+02	2.800000e+02	4.942826e-05	5.171306e-08	5.171306e-08
2.800000e+02	2.900000e+02	4.089519e-05	4.687957e-08	4.687957e-08
2.900000e+02	3.000000e+02	3.401590e-05	3.872188e-08	3.872188e-08
3.000000e+02	3.100000e+02	2.817988e-05	3.313637e-08	3.313637e-08
3.100000e+02	3.200000e+02	2.360449e-05	3.026416e-08	3.026416e-08
3.200000e+02	3.300000e+02	1.970414e-05	2.628653e-08	2.628653e-08
3.300000e+02	3.400000e+02	1.644757e-05	2.353881e-08	2.353881e-08
3.400000e+02	3.500000e+02	1.386261e-05	2.079725e-08	2.079725e-08
3.500000e+02	3.600000e+02	1.166203e-05	1.911677e-08	1.911677e-08
3.600000e+02	3.700000e+02	9.838458e-06	1.651059e-08	1.651059e-08
3.700000e+02	3.800000e+02	8.330802e-06	1.470529e-08	1.470529e-08
3.800000e+02	3.900000e+02	7.060197e-06	1.247790e-08	1.247790e-08
3.900000e+02	4.000000e+02	6.006686e-06	1.127713e-08	1.127713e-08
# END HISTO1D

