# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_3}^{excl}$ (GeV)
LegendAlign=r
XMax=150.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_pT_excl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	8.592166e-03	1.394187e-05	1.394187e-05
3.000000e+01	4.000000e+01	1.086383e-02	6.262154e-06	6.262154e-06
4.000000e+01	5.000000e+01	6.386770e-03	4.274863e-06	4.274863e-06
5.000000e+01	6.000000e+01	4.022111e-03	3.556256e-06	3.556256e-06
6.000000e+01	7.000000e+01	2.649764e-03	2.835732e-06	2.835732e-06
7.000000e+01	8.000000e+01	1.795220e-03	3.300459e-06	3.300459e-06
8.000000e+01	9.000000e+01	1.253970e-03	1.942078e-06	1.942078e-06
9.000000e+01	1.000000e+02	8.867396e-04	1.592408e-06	1.592408e-06
1.000000e+02	1.100000e+02	6.410985e-04	1.586677e-06	1.586677e-06
1.100000e+02	1.200000e+02	4.698658e-04	1.134413e-06	1.134413e-06
1.200000e+02	1.300000e+02	3.511073e-04	1.215276e-06	1.215276e-06
1.300000e+02	1.400000e+02	2.654319e-04	8.571635e-07	8.571635e-07
1.400000e+02	1.500000e+02	2.030210e-04	7.607061e-07	7.607061e-07
1.500000e+02	1.600000e+02	1.556577e-04	8.337307e-07	8.337307e-07
1.600000e+02	1.700000e+02	1.220751e-04	6.346791e-07	6.346791e-07
1.700000e+02	1.800000e+02	9.529398e-05	5.766122e-07	5.766122e-07
1.800000e+02	1.900000e+02	7.621631e-05	4.583819e-07	4.583819e-07
1.900000e+02	2.000000e+02	6.012551e-05	4.250006e-07	4.250006e-07
2.000000e+02	2.100000e+02	4.905407e-05	3.844179e-07	3.844179e-07
2.100000e+02	2.200000e+02	3.897463e-05	3.161480e-07	3.161480e-07
2.200000e+02	2.300000e+02	3.253969e-05	2.955463e-07	2.955463e-07
2.300000e+02	2.400000e+02	2.644266e-05	2.884170e-07	2.884170e-07
2.400000e+02	2.500000e+02	2.160376e-05	2.244138e-07	2.244138e-07
2.500000e+02	2.600000e+02	1.784437e-05	2.920392e-07	2.920392e-07
2.600000e+02	2.700000e+02	1.471509e-05	2.060596e-07	2.060596e-07
2.700000e+02	2.800000e+02	1.199082e-05	2.366722e-07	2.366722e-07
2.800000e+02	2.900000e+02	1.065651e-05	2.835315e-07	2.835315e-07
2.900000e+02	3.000000e+02	8.573131e-06	1.461202e-07	1.461202e-07
3.000000e+02	3.100000e+02	7.586079e-06	1.241053e-07	1.241053e-07
3.100000e+02	3.200000e+02	6.312719e-06	1.285258e-07	1.285258e-07
3.200000e+02	3.300000e+02	5.399257e-06	1.046073e-07	1.046073e-07
3.300000e+02	3.400000e+02	5.005451e-06	2.433508e-07	2.433508e-07
3.400000e+02	3.500000e+02	3.795512e-06	1.213034e-07	1.213034e-07
3.500000e+02	3.600000e+02	3.273015e-06	9.197827e-08	9.197827e-08
3.600000e+02	3.700000e+02	3.169646e-06	3.278921e-07	3.278921e-07
3.700000e+02	3.800000e+02	2.469397e-06	8.735202e-08	8.735202e-08
3.800000e+02	3.900000e+02	2.033742e-06	1.247268e-07	1.247268e-07
3.900000e+02	4.000000e+02	1.854380e-06	8.659970e-08	8.659970e-08
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_excl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_pT_excl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	8.735501e-04	4.059054e-07	4.059054e-07
3.000000e+01	4.000000e+01	9.736647e-04	5.784618e-07	5.784618e-07
4.000000e+01	5.000000e+01	4.630647e-04	2.419676e-07	2.419676e-07
5.000000e+01	6.000000e+01	2.279352e-04	1.597514e-07	1.597514e-07
6.000000e+01	7.000000e+01	1.146054e-04	1.082541e-07	1.082541e-07
7.000000e+01	8.000000e+01	5.868702e-05	7.687838e-08	7.687838e-08
8.000000e+01	9.000000e+01	3.061547e-05	5.397760e-08	5.397760e-08
9.000000e+01	1.000000e+02	1.622071e-05	3.707519e-08	3.707519e-08
1.000000e+02	1.100000e+02	8.707565e-06	2.453142e-08	2.453142e-08
1.100000e+02	1.200000e+02	4.777435e-06	1.805111e-08	1.805111e-08
1.200000e+02	1.300000e+02	2.668527e-06	1.227430e-08	1.227430e-08
1.300000e+02	1.400000e+02	1.508460e-06	8.406552e-09	8.406552e-09
1.400000e+02	1.500000e+02	8.738534e-07	6.781512e-09	6.781512e-09
1.500000e+02	1.600000e+02	5.192358e-07	4.290882e-09	4.290882e-09
1.600000e+02	1.700000e+02	3.124762e-07	3.489749e-09	3.489749e-09
1.700000e+02	1.800000e+02	1.838539e-07	2.184640e-09	2.184640e-09
1.800000e+02	1.900000e+02	1.169527e-07	1.581865e-09	1.581865e-09
1.900000e+02	2.000000e+02	7.060619e-08	1.163571e-09	1.163571e-09
2.000000e+02	2.100000e+02	4.584007e-08	9.292840e-10	9.292840e-10
2.100000e+02	2.200000e+02	2.830834e-08	5.719783e-10	5.719783e-10
2.200000e+02	2.300000e+02	1.869444e-08	4.538169e-10	4.538169e-10
2.300000e+02	2.400000e+02	1.217522e-08	3.230534e-10	3.230534e-10
2.400000e+02	2.500000e+02	7.671324e-09	3.941954e-10	3.941954e-10
2.500000e+02	2.600000e+02	5.154270e-09	1.670631e-10	1.670631e-10
2.600000e+02	2.700000e+02	3.412233e-09	1.214600e-10	1.214600e-10
2.700000e+02	2.800000e+02	2.394952e-09	8.786346e-11	8.786346e-11
2.800000e+02	2.900000e+02	1.658242e-09	8.814309e-11	8.814309e-11
2.900000e+02	3.000000e+02	1.214102e-09	9.171605e-11	9.171605e-11
3.000000e+02	3.100000e+02	7.677821e-10	3.461488e-11	3.461488e-11
3.100000e+02	3.200000e+02	5.214592e-10	3.572089e-11	3.572089e-11
3.200000e+02	3.300000e+02	3.913740e-10	2.497040e-11	2.497040e-11
3.300000e+02	3.400000e+02	3.170800e-10	2.490320e-11	2.490320e-11
3.400000e+02	3.500000e+02	2.039369e-10	1.508287e-11	1.508287e-11
3.500000e+02	3.600000e+02	1.496304e-10	1.048279e-11	1.048279e-11
3.600000e+02	3.700000e+02	1.233617e-10	1.481134e-11	1.481134e-11
3.700000e+02	3.800000e+02	1.031834e-10	1.577744e-11	1.577744e-11
3.800000e+02	3.900000e+02	6.294953e-11	6.098142e-12	6.098142e-12
3.900000e+02	4.000000e+02	3.643794e-11	3.455247e-12	3.455247e-12
# END HISTO1D

