# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_x //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_x
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_x //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/jet3_x
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_x
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$x_{j_3}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_3}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/jet3_x
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	6.730570e-03	1.830883e-05	1.830883e-05
-4.600000e+00	-4.200000e+00	1.029863e-02	2.983438e-05	2.983438e-05
-4.200000e+00	-3.800000e+00	1.512462e-02	2.687737e-05	2.687737e-05
-3.800000e+00	-3.400000e+00	2.158559e-02	3.953214e-05	3.953214e-05
-3.400000e+00	-3.000000e+00	2.995283e-02	4.388673e-05	4.388673e-05
-3.000000e+00	-2.600000e+00	4.075668e-02	5.241252e-05	5.241252e-05
-2.600000e+00	-2.200000e+00	5.463935e-02	6.035081e-05	6.035081e-05
-2.200000e+00	-1.800000e+00	7.271095e-02	1.434217e-04	1.434217e-04
-1.800000e+00	-1.400000e+00	9.633600e-02	9.574984e-05	9.574984e-05
-1.400000e+00	-1.000000e+00	1.300593e-01	1.126599e-04	1.126599e-04
-1.000000e+00	-6.000000e-01	1.928261e-01	2.220285e-04	2.220285e-04
-6.000000e-01	-2.000000e-01	2.781635e-01	3.307406e-04	3.307406e-04
-2.000000e-01	2.000000e-01	2.076482e-01	1.355833e-04	1.355833e-04
2.000000e-01	6.000000e-01	1.752736e-01	1.462708e-04	1.462708e-04
6.000000e-01	1.000000e+00	7.518467e-02	8.295571e-05	8.295571e-05
1.000000e+00	1.400000e+00	3.007823e-02	9.555450e-05	9.555450e-05
1.400000e+00	1.800000e+00	1.222609e-02	3.181861e-05	3.181861e-05
1.800000e+00	2.200000e+00	4.625587e-03	1.748203e-05	1.748203e-05
2.200000e+00	2.600000e+00	1.523446e-03	9.090029e-06	9.090029e-06
2.600000e+00	3.000000e+00	4.218420e-04	5.622858e-06	5.622858e-06
3.000000e+00	3.400000e+00	9.587480e-05	2.461212e-06	2.461212e-06
3.400000e+00	3.800000e+00	1.370596e-05	6.094935e-07	6.094935e-07
3.800000e+00	4.200000e+00	1.082562e-06	1.518932e-07	1.518932e-07
4.200000e+00	4.600000e+00	3.161868e-08	1.361193e-08	1.361193e-08
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


