# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H3_y
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	8.820671e-04	1.006022e-05	1.006022e-05
-2.760000e+00	-2.520000e+00	1.512453e-03	1.875723e-05	1.875723e-05
-2.520000e+00	-2.280000e+00	2.599072e-03	1.908767e-05	1.908767e-05
-2.280000e+00	-2.040000e+00	4.523717e-03	2.313191e-05	2.313191e-05
-2.040000e+00	-1.800000e+00	7.981700e-03	3.204705e-05	3.204705e-05
-1.800000e+00	-1.560000e+00	1.401754e-02	3.950095e-05	3.950095e-05
-1.560000e+00	-1.320000e+00	2.566465e-02	5.818472e-05	5.818472e-05
-1.320000e+00	-1.080000e+00	4.781358e-02	7.241416e-05	7.241416e-05
-1.080000e+00	-8.400000e-01	9.478212e-02	1.035034e-04	1.035034e-04
-8.400000e-01	-6.000000e-01	1.993506e-01	1.568995e-04	1.568995e-04
-6.000000e-01	-3.600000e-01	4.253679e-01	3.207601e-04	3.207601e-04
-3.600000e-01	-1.200000e-01	7.683787e-01	3.259442e-04	3.259442e-04
-1.200000e-01	1.200000e-01	9.557692e-01	3.342302e-04	3.342302e-04
1.200000e-01	3.600000e-01	7.681583e-01	2.886325e-04	2.886325e-04
3.600000e-01	6.000000e-01	4.248829e-01	2.271487e-04	2.271487e-04
6.000000e-01	8.400000e-01	1.993858e-01	1.454772e-04	1.454772e-04
8.400000e-01	1.080000e+00	9.484517e-02	1.112679e-04	1.112679e-04
1.080000e+00	1.320000e+00	4.794379e-02	7.955686e-05	7.955686e-05
1.320000e+00	1.560000e+00	2.559059e-02	4.984873e-05	4.984873e-05
1.560000e+00	1.800000e+00	1.414399e-02	3.942889e-05	3.942889e-05
1.800000e+00	2.040000e+00	7.953404e-03	3.028781e-05	3.028781e-05
2.040000e+00	2.280000e+00	4.540142e-03	2.163655e-05	2.163655e-05
2.280000e+00	2.520000e+00	2.658620e-03	1.759780e-05	1.759780e-05
2.520000e+00	2.760000e+00	1.495624e-03	1.512294e-05	1.512294e-05
2.760000e+00	3.000000e+00	8.603042e-04	1.218806e-05	1.218806e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H3_y
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	2.582662e-05	2.724244e-07	2.724244e-07
-2.760000e+00	-2.520000e+00	3.950708e-05	5.636146e-07	5.636146e-07
-2.520000e+00	-2.280000e+00	6.161817e-05	4.149931e-07	4.149931e-07
-2.280000e+00	-2.040000e+00	9.739683e-05	5.404658e-07	5.404658e-07
-2.040000e+00	-1.800000e+00	1.569734e-04	6.758662e-07	6.758662e-07
-1.800000e+00	-1.560000e+00	2.662906e-04	9.298245e-07	9.298245e-07
-1.560000e+00	-1.320000e+00	4.987450e-04	1.238724e-06	1.238724e-06
-1.320000e+00	-1.080000e+00	1.100868e-03	1.998856e-06	1.998856e-06
-1.080000e+00	-8.400000e-01	3.045582e-03	3.326429e-06	3.326429e-06
-8.400000e-01	-6.000000e-01	1.037202e-02	6.863732e-06	6.863732e-06
-6.000000e-01	-3.600000e-01	3.622775e-02	1.282095e-05	1.282095e-05
-3.600000e-01	-1.200000e-01	9.028929e-02	2.296652e-05	2.296652e-05
-1.200000e-01	1.200000e-01	1.236080e-01	2.597236e-05	2.597236e-05
1.200000e-01	3.600000e-01	9.027254e-02	2.091979e-05	2.091979e-05
3.600000e-01	6.000000e-01	3.633480e-02	9.528262e-05	9.528262e-05
6.000000e-01	8.400000e-01	1.036833e-02	6.584234e-06	6.584234e-06
8.400000e-01	1.080000e+00	3.044347e-03	3.147024e-06	3.147024e-06
1.080000e+00	1.320000e+00	1.099215e-03	1.863000e-06	1.863000e-06
1.320000e+00	1.560000e+00	4.993725e-04	1.207239e-06	1.207239e-06
1.560000e+00	1.800000e+00	2.661400e-04	8.447084e-07	8.447084e-07
1.800000e+00	2.040000e+00	1.555830e-04	6.737701e-07	6.737701e-07
2.040000e+00	2.280000e+00	9.689438e-05	6.443397e-07	6.443397e-07
2.280000e+00	2.520000e+00	6.169958e-05	4.236496e-07	4.236496e-07
2.520000e+00	2.760000e+00	3.978195e-05	3.510734e-07	3.510734e-07
2.760000e+00	3.000000e+00	2.640806e-05	4.490847e-07	4.490847e-07
# END HISTO1D

