# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_gapjets //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_gapjets //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$\text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.761055e-03	2.170898e-06	2.170898e-06
3.000000e+01	4.000000e+01	2.391003e-03	2.490777e-06	2.490777e-06
4.000000e+01	5.000000e+01	1.503813e-03	2.118100e-06	2.118100e-06
5.000000e+01	6.000000e+01	1.310509e-03	1.910732e-06	1.910732e-06
6.000000e+01	7.000000e+01	1.264521e-03	1.837483e-06	1.837483e-06
7.000000e+01	8.000000e+01	1.077744e-03	1.935026e-06	1.935026e-06
8.000000e+01	9.000000e+01	9.148027e-04	2.305706e-06	2.305706e-06
9.000000e+01	1.000000e+02	7.829388e-04	1.521347e-06	1.521347e-06
1.000000e+02	1.100000e+02	6.716293e-04	1.631275e-06	1.631275e-06
1.100000e+02	1.200000e+02	5.747434e-04	1.440018e-06	1.440018e-06
1.200000e+02	1.300000e+02	4.966416e-04	3.685200e-06	3.685200e-06
1.300000e+02	1.400000e+02	4.223561e-04	1.191947e-06	1.191947e-06
1.400000e+02	1.500000e+02	3.632181e-04	1.090214e-06	1.090214e-06
1.500000e+02	1.600000e+02	3.135796e-04	1.043969e-06	1.043969e-06
1.600000e+02	1.700000e+02	2.683278e-04	9.458948e-07	9.458948e-07
1.700000e+02	1.800000e+02	2.338178e-04	9.967809e-07	9.967809e-07
1.800000e+02	1.900000e+02	2.049895e-04	8.944399e-07	8.944399e-07
1.900000e+02	2.000000e+02	1.780888e-04	7.724683e-07	7.724683e-07
2.000000e+02	2.100000e+02	1.546237e-04	8.139676e-07	8.139676e-07
2.100000e+02	2.200000e+02	1.352535e-04	6.994834e-07	6.994834e-07
2.200000e+02	2.300000e+02	1.197909e-04	6.325981e-07	6.325981e-07
2.300000e+02	2.400000e+02	1.023303e-04	6.378267e-07	6.378267e-07
2.400000e+02	2.500000e+02	9.149664e-05	5.780100e-07	5.780100e-07
2.500000e+02	2.600000e+02	8.068361e-05	5.059710e-07	5.059710e-07
2.600000e+02	2.700000e+02	7.057622e-05	5.295929e-07	5.295929e-07
2.700000e+02	2.800000e+02	6.073501e-05	6.773383e-07	6.773383e-07
2.800000e+02	2.900000e+02	5.536871e-05	5.034382e-07	5.034382e-07
2.900000e+02	3.000000e+02	4.960883e-05	4.180244e-07	4.180244e-07
3.000000e+02	3.100000e+02	4.359569e-05	4.097913e-07	4.097913e-07
3.100000e+02	3.200000e+02	3.884857e-05	3.741692e-07	3.741692e-07
3.200000e+02	3.300000e+02	3.504025e-05	3.197171e-07	3.197171e-07
3.300000e+02	3.400000e+02	3.121467e-05	3.371500e-07	3.371500e-07
3.400000e+02	3.500000e+02	2.752616e-05	3.124457e-07	3.124457e-07
3.500000e+02	3.600000e+02	2.426776e-05	2.776739e-07	2.776739e-07
3.600000e+02	3.700000e+02	2.192186e-05	2.747144e-07	2.747144e-07
3.700000e+02	3.800000e+02	1.996125e-05	2.407050e-07	2.407050e-07
3.800000e+02	3.900000e+02	1.810641e-05	2.941742e-07	2.941742e-07
3.900000e+02	4.000000e+02	1.640532e-05	2.455186e-07	2.455186e-07
4.000000e+02	4.100000e+02	1.425402e-05	2.709132e-07	2.709132e-07
4.100000e+02	4.200000e+02	1.315708e-05	2.006912e-07	2.006912e-07
4.200000e+02	4.300000e+02	1.202150e-05	2.161015e-07	2.161015e-07
4.300000e+02	4.400000e+02	1.071881e-05	2.175415e-07	2.175415e-07
4.400000e+02	4.500000e+02	9.918785e-06	2.287343e-07	2.287343e-07
4.500000e+02	4.600000e+02	8.845103e-06	1.638680e-07	1.638680e-07
4.600000e+02	4.700000e+02	8.196256e-06	1.605597e-07	1.605597e-07
4.700000e+02	4.800000e+02	7.221399e-06	1.761925e-07	1.761925e-07
4.800000e+02	4.900000e+02	6.436056e-06	1.303418e-07	1.303418e-07
4.900000e+02	5.000000e+02	6.017713e-06	1.152598e-07	1.152598e-07
5.000000e+02	5.100000e+02	5.107317e-06	1.320936e-07	1.320936e-07
5.100000e+02	5.200000e+02	4.999589e-06	1.295395e-07	1.295395e-07
5.200000e+02	5.300000e+02	4.760658e-06	1.608375e-07	1.608375e-07
5.300000e+02	5.400000e+02	4.234459e-06	1.286545e-07	1.286545e-07
5.400000e+02	5.500000e+02	3.892997e-06	1.246836e-07	1.246836e-07
5.500000e+02	5.600000e+02	3.379972e-06	1.719706e-07	1.719706e-07
5.600000e+02	5.700000e+02	2.969544e-06	1.329454e-07	1.329454e-07
5.700000e+02	5.800000e+02	2.804669e-06	7.835442e-08	7.835442e-08
5.800000e+02	5.900000e+02	2.794162e-06	8.602837e-08	8.602837e-08
5.900000e+02	6.000000e+02	2.364886e-06	7.398684e-08	7.398684e-08
6.000000e+02	6.100000e+02	2.183041e-06	7.034757e-08	7.034757e-08
6.100000e+02	6.200000e+02	1.981501e-06	8.747049e-08	8.747049e-08
6.200000e+02	6.300000e+02	1.754625e-06	7.418382e-08	7.418382e-08
6.300000e+02	6.400000e+02	1.708237e-06	7.162731e-08	7.162731e-08
6.400000e+02	6.500000e+02	1.589601e-06	6.923654e-08	6.923654e-08
6.500000e+02	6.600000e+02	1.445372e-06	7.123485e-08	7.123485e-08
6.600000e+02	6.700000e+02	1.175136e-06	6.481900e-08	6.481900e-08
6.700000e+02	6.800000e+02	1.134965e-06	5.465020e-08	5.465020e-08
6.800000e+02	6.900000e+02	1.166507e-06	6.075642e-08	6.075642e-08
6.900000e+02	7.000000e+02	9.954781e-07	4.775207e-08	4.775207e-08
7.000000e+02	7.100000e+02	9.864882e-07	4.655427e-08	4.655427e-08
7.100000e+02	7.200000e+02	8.352974e-07	5.085315e-08	5.085315e-08
7.200000e+02	7.300000e+02	8.512998e-07	6.518385e-08	6.518385e-08
7.300000e+02	7.400000e+02	8.226721e-07	5.695110e-08	5.695110e-08
7.400000e+02	7.500000e+02	7.068459e-07	5.053359e-08	5.053359e-08
7.500000e+02	7.600000e+02	6.232432e-07	4.115742e-08	4.115742e-08
7.600000e+02	7.700000e+02	5.695613e-07	3.806254e-08	3.806254e-08
7.700000e+02	7.800000e+02	4.726192e-07	3.373430e-08	3.373430e-08
7.800000e+02	7.900000e+02	5.738391e-07	5.120604e-08	5.120604e-08
7.900000e+02	8.000000e+02	4.655729e-07	2.804964e-08	2.804964e-08
8.000000e+02	8.100000e+02	4.209618e-07	3.293237e-08	3.293237e-08
8.100000e+02	8.200000e+02	3.742721e-07	2.855209e-08	2.855209e-08
8.200000e+02	8.300000e+02	3.693510e-07	2.995483e-08	2.995483e-08
8.300000e+02	8.400000e+02	3.129885e-07	3.593629e-08	3.593629e-08
8.400000e+02	8.500000e+02	3.337410e-07	2.932047e-08	2.932047e-08
8.500000e+02	8.600000e+02	2.577717e-07	2.802639e-08	2.802639e-08
8.600000e+02	8.700000e+02	2.406842e-07	3.562990e-08	3.562990e-08
8.700000e+02	8.800000e+02	2.718202e-07	3.288691e-08	3.288691e-08
8.800000e+02	8.900000e+02	2.941558e-07	2.931814e-08	2.931814e-08
8.900000e+02	9.000000e+02	2.489435e-07	2.644379e-08	2.644379e-08
9.000000e+02	9.100000e+02	2.188135e-07	2.618449e-08	2.618449e-08
9.100000e+02	9.200000e+02	2.564191e-07	4.032985e-08	4.032985e-08
9.200000e+02	9.300000e+02	2.343161e-07	4.073912e-08	4.073912e-08
9.300000e+02	9.400000e+02	8.569358e-08	5.773767e-08	5.773767e-08
9.400000e+02	9.500000e+02	1.767533e-07	2.603359e-08	2.603359e-08
9.500000e+02	9.600000e+02	1.290539e-07	2.167800e-08	2.167800e-08
9.600000e+02	9.700000e+02	1.424122e-07	1.712556e-08	1.712556e-08
9.700000e+02	9.800000e+02	1.170798e-07	1.436005e-08	1.436005e-08
9.800000e+02	9.900000e+02	1.275028e-07	1.390388e-08	1.390388e-08
9.900000e+02	1.000000e+03	1.435566e-07	2.382182e-08	2.382182e-08
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_gapjets
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.128257e-04	2.858990e-07	2.858990e-07
3.000000e+01	4.000000e+01	2.573863e-04	1.759285e-07	1.759285e-07
4.000000e+01	5.000000e+01	1.316418e-04	1.376774e-07	1.376774e-07
5.000000e+01	6.000000e+01	9.592014e-05	1.085114e-07	1.085114e-07
6.000000e+01	7.000000e+01	8.029667e-05	1.026128e-07	1.026128e-07
7.000000e+01	8.000000e+01	5.734167e-05	8.322789e-08	8.322789e-08
8.000000e+01	9.000000e+01	4.085280e-05	6.928757e-08	6.928757e-08
9.000000e+01	1.000000e+02	3.013966e-05	6.678837e-08	6.678837e-08
1.000000e+02	1.100000e+02	2.201186e-05	5.168302e-08	5.168302e-08
1.100000e+02	1.200000e+02	1.618645e-05	4.162962e-08	4.162962e-08
1.200000e+02	1.300000e+02	1.198142e-05	3.729586e-08	3.729586e-08
1.300000e+02	1.400000e+02	8.943889e-06	3.059111e-08	3.059111e-08
1.400000e+02	1.500000e+02	6.646779e-06	2.511447e-08	2.511447e-08
1.500000e+02	1.600000e+02	5.004786e-06	2.307986e-08	2.307986e-08
1.600000e+02	1.700000e+02	3.789380e-06	1.955101e-08	1.955101e-08
1.700000e+02	1.800000e+02	2.884573e-06	1.644092e-08	1.644092e-08
1.800000e+02	1.900000e+02	2.224121e-06	1.322248e-08	1.322248e-08
1.900000e+02	2.000000e+02	1.696657e-06	1.129261e-08	1.129261e-08
2.000000e+02	2.100000e+02	1.311966e-06	1.006869e-08	1.006869e-08
2.100000e+02	2.200000e+02	1.024570e-06	8.583537e-09	8.583537e-09
2.200000e+02	2.300000e+02	8.067347e-07	7.193903e-09	7.193903e-09
2.300000e+02	2.400000e+02	6.316202e-07	6.651178e-09	6.651178e-09
