# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_jets_central //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_jets_central
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_jets_central //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/HT_jets_central
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_jets_central
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_jets_central
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_jets_central
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/HT_jets_central
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.712191e-02	3.545153e-06	3.545153e-06
4.000000e+01	8.000000e+01	1.162529e-03	8.382101e-07	8.382101e-07
8.000000e+01	1.200000e+02	1.182700e-03	8.416442e-07	8.416442e-07
1.200000e+02	1.600000e+02	1.046961e-03	8.645277e-07	8.645277e-07
1.600000e+02	2.000000e+02	8.593132e-04	7.854422e-07	7.854422e-07
2.000000e+02	2.400000e+02	6.824032e-04	6.787926e-07	6.787926e-07
2.400000e+02	2.800000e+02	5.363250e-04	5.904549e-07	5.904549e-07
2.800000e+02	3.200000e+02	4.214662e-04	5.588268e-07	5.588268e-07
3.200000e+02	3.600000e+02	3.320522e-04	5.689623e-07	5.689623e-07
3.600000e+02	4.000000e+02	2.645267e-04	3.991137e-07	3.991137e-07
4.000000e+02	4.400000e+02	2.110365e-04	4.209485e-07	4.209485e-07
4.400000e+02	4.800000e+02	1.715205e-04	3.453925e-07	3.453925e-07
4.800000e+02	5.200000e+02	1.399781e-04	5.846870e-07	5.846870e-07
5.200000e+02	5.600000e+02	1.141151e-04	3.598454e-07	3.598454e-07
5.600000e+02	6.000000e+02	9.432530e-05	2.862091e-07	2.862091e-07
6.000000e+02	6.400000e+02	7.846635e-05	3.436690e-07	3.436690e-07
6.400000e+02	6.800000e+02	6.501720e-05	2.205942e-07	2.205942e-07
6.800000e+02	7.200000e+02	5.414005e-05	2.243206e-07	2.243206e-07
7.200000e+02	7.600000e+02	4.617665e-05	2.130848e-07	2.130848e-07
7.600000e+02	8.000000e+02	3.909627e-05	2.623265e-07	2.623265e-07
8.000000e+02	8.400000e+02	3.361313e-05	7.992493e-07	7.992493e-07
8.400000e+02	8.800000e+02	2.808737e-05	1.202637e-07	1.202637e-07
8.800000e+02	9.200000e+02	2.447772e-05	8.295673e-07	8.295673e-07
9.200000e+02	9.600000e+02	2.044135e-05	1.885953e-07	1.885953e-07
9.600000e+02	1.000000e+03	1.757737e-05	1.417704e-07	1.417704e-07
1.000000e+03	1.040000e+03	1.491877e-05	8.816554e-08	8.816554e-08
1.040000e+03	1.080000e+03	1.292624e-05	8.506402e-08	8.506402e-08
1.080000e+03	1.120000e+03	1.130457e-05	1.254271e-07	1.254271e-07
1.120000e+03	1.160000e+03	9.468175e-06	1.082854e-07	1.082854e-07
1.160000e+03	1.200000e+03	8.288360e-06	8.583389e-08	8.583389e-08
1.200000e+03	1.240000e+03	7.598370e-06	4.144296e-07	4.144296e-07
1.240000e+03	1.280000e+03	6.326480e-06	1.550804e-07	1.550804e-07
1.280000e+03	1.320000e+03	5.311615e-06	5.372911e-08	5.372911e-08
1.320000e+03	1.360000e+03	4.562363e-06	4.791486e-08	4.791486e-08
1.360000e+03	1.400000e+03	4.007762e-06	3.695117e-08	3.695117e-08
1.400000e+03	1.440000e+03	3.486022e-06	4.938323e-08	4.938323e-08
1.440000e+03	1.480000e+03	3.015125e-06	3.629582e-08	3.629582e-08
1.480000e+03	1.520000e+03	2.631007e-06	3.313114e-08	3.313114e-08
1.520000e+03	1.560000e+03	2.221604e-06	3.527923e-08	3.527923e-08
1.560000e+03	1.600000e+03	1.921633e-06	3.459215e-08	3.459215e-08
1.600000e+03	1.640000e+03	1.738514e-06	2.725396e-08	2.725396e-08
1.640000e+03	1.680000e+03	1.521888e-06	2.416818e-08	2.416818e-08
1.680000e+03	1.720000e+03	1.319336e-06	2.193805e-08	2.193805e-08
1.720000e+03	1.760000e+03	1.132788e-06	2.156702e-08	2.156702e-08
1.760000e+03	1.800000e+03	9.788680e-07	2.016205e-08	2.016205e-08
1.800000e+03	1.840000e+03	9.029115e-07	1.938859e-08	1.938859e-08
1.840000e+03	1.880000e+03	8.460582e-07	8.792298e-08	8.792298e-08
1.880000e+03	1.920000e+03	6.490110e-07	1.358442e-08	1.358442e-08
1.920000e+03	1.960000e+03	5.705065e-07	1.273704e-08	1.273704e-08
1.960000e+03	2.000000e+03	5.277125e-07	2.161356e-08	2.161356e-08
2.000000e+03	2.040000e+03	4.199560e-07	1.466976e-08	1.466976e-08
2.040000e+03	2.080000e+03	3.883043e-07	1.167582e-08	1.167582e-08
2.080000e+03	2.120000e+03	3.198330e-07	1.060997e-08	1.060997e-08
2.120000e+03	2.160000e+03	3.017682e-07	1.044848e-08	1.044848e-08
