# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$p_{T,>Njets}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,>Njets}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_j_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.325441e-02	8.907191e-06	8.907191e-06
3.000000e+01	4.000000e+01	2.010568e-02	8.939347e-06	8.939347e-06
4.000000e+01	5.000000e+01	1.611428e-02	1.257057e-05	1.257057e-05
5.000000e+01	6.000000e+01	1.427932e-02	7.223616e-06	7.223616e-06
6.000000e+01	7.000000e+01	1.322977e-02	6.910661e-06	6.910661e-06
7.000000e+01	8.000000e+01	1.242815e-02	8.898769e-06	8.898769e-06
8.000000e+01	9.000000e+01	1.171860e-02	5.624024e-06	5.624024e-06
9.000000e+01	1.000000e+02	1.099913e-02	5.464064e-06	5.464064e-06
1.000000e+02	1.100000e+02	1.029269e-02	5.397431e-06	5.397431e-06
1.100000e+02	1.200000e+02	9.591495e-03	5.069779e-06	5.069779e-06
1.200000e+02	1.300000e+02	8.898465e-03	4.918253e-06	4.918253e-06
1.300000e+02	1.400000e+02	8.258476e-03	4.810605e-06	4.810605e-06
1.400000e+02	1.500000e+02	7.633524e-03	4.372739e-06	4.372739e-06
1.500000e+02	1.600000e+02	7.051428e-03	4.287131e-06	4.287131e-06
1.600000e+02	1.700000e+02	6.502044e-03	4.170451e-06	4.170451e-06
1.700000e+02	1.800000e+02	5.993358e-03	4.220641e-06	4.220641e-06
1.800000e+02	1.900000e+02	5.529455e-03	4.106226e-06	4.106226e-06
1.900000e+02	2.000000e+02	5.095105e-03	3.738663e-06	3.738663e-06
2.000000e+02	2.100000e+02	4.698809e-03	3.884548e-06	3.884548e-06
2.100000e+02	2.200000e+02	4.334916e-03	3.531066e-06	3.531066e-06
2.200000e+02	2.300000e+02	3.992628e-03	3.422746e-06	3.422746e-06
2.300000e+02	2.400000e+02	3.692772e-03	3.475087e-06	3.475087e-06
2.400000e+02	2.500000e+02	3.411330e-03	3.175620e-06	3.175620e-06
2.500000e+02	2.600000e+02	3.151105e-03	3.072002e-06	3.072002e-06
2.600000e+02	2.700000e+02	2.920084e-03	2.832660e-06	2.832660e-06
2.700000e+02	2.800000e+02	2.707762e-03	2.783293e-06	2.783293e-06
2.800000e+02	2.900000e+02	2.506629e-03	2.774884e-06	2.774884e-06
2.900000e+02	3.000000e+02	2.320941e-03	3.050487e-06	3.050487e-06
3.000000e+02	3.100000e+02	2.155138e-03	2.543222e-06	2.543222e-06
3.100000e+02	3.200000e+02	2.002626e-03	2.433348e-06	2.433348e-06
3.200000e+02	3.300000e+02	1.857366e-03	2.243590e-06	2.243590e-06
3.300000e+02	3.400000e+02	1.731754e-03	2.328438e-06	2.328438e-06
3.400000e+02	3.500000e+02	1.616115e-03	2.522906e-06	2.522906e-06
3.500000e+02	3.600000e+02	1.504895e-03	2.033757e-06	2.033757e-06
3.600000e+02	3.700000e+02	1.399572e-03	2.006770e-06	2.006770e-06
3.700000e+02	3.800000e+02	1.309665e-03	2.157775e-06	2.157775e-06
3.800000e+02	3.900000e+02	1.221112e-03	2.516360e-06	2.516360e-06
3.900000e+02	4.000000e+02	1.143331e-03	1.845638e-06	1.845638e-06
4.000000e+02	4.100000e+02	1.067827e-03	1.827678e-06	1.827678e-06
4.100000e+02	4.200000e+02	9.974013e-04	1.694280e-06	1.694280e-06
4.200000e+02	4.300000e+02	9.362869e-04	1.661469e-06	1.661469e-06
4.300000e+02	4.400000e+02	8.764622e-04	1.567354e-06	1.567354e-06
4.400000e+02	4.500000e+02	8.242301e-04	1.627859e-06	1.627859e-06
4.500000e+02	4.600000e+02	7.736369e-04	1.911410e-06	1.911410e-06
4.600000e+02	4.700000e+02	7.278432e-04	1.496433e-06	1.496433e-06
4.700000e+02	4.800000e+02	6.820928e-04	1.440752e-06	1.440752e-06
4.800000e+02	4.900000e+02	6.411030e-04	2.233726e-06	2.233726e-06
4.900000e+02	5.000000e+02	6.026413e-04	1.482217e-06	1.482217e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_j_pT_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.309133e-03	2.315554e-06	2.315554e-06
3.000000e+01	4.000000e+01	2.300342e-03	2.351470e-06	2.351470e-06
4.000000e+01	5.000000e+01	2.177498e-03	5.496613e-07	5.496613e-07
5.000000e+01	6.000000e+01	2.125489e-03	5.782639e-07	5.782639e-07
6.000000e+01	7.000000e+01	2.032364e-03	5.112342e-07	5.112342e-07
7.000000e+01	8.000000e+01	1.882171e-03	5.338322e-07	5.338322e-07
8.000000e+01	9.000000e+01	1.692897e-03	5.114327e-07	5.114327e-07
9.000000e+01	1.000000e+02	1.484840e-03	4.486206e-07	4.486206e-07
1.000000e+02	1.100000e+02	1.278808e-03	4.103076e-07	4.103076e-07
1.100000e+02	1.200000e+02	1.083428e-03	3.601718e-07	3.601718e-07
1.200000e+02	1.300000e+02	9.078084e-04	3.370098e-07	3.370098e-07
1.300000e+02	1.400000e+02	7.540126e-04	3.030117e-07	3.030117e-07
1.400000e+02	1.500000e+02	6.218789e-04	2.775276e-07	2.775276e-07
1.500000e+02	1.600000e+02	5.103550e-04	2.303430e-07	2.303430e-07
1.600000e+02	1.700000e+02	4.177982e-04	2.141310e-07	2.141310e-07
1.700000e+02	1.800000e+02	3.403236e-04	1.801492e-07	1.801492e-07
1.800000e+02	1.900000e+02	2.775000e-04	1.583057e-07	1.583057e-07
1.900000e+02	2.000000e+02	2.264268e-04	1.534062e-07	1.534062e-07
2.000000e+02	2.100000e+02	1.842411e-04	1.229615e-07	1.229615e-07
2.100000e+02	2.200000e+02	1.504010e-04	1.225725e-07	1.225725e-07
2.200000e+02	2.300000e+02	1.223910e-04	9.431923e-08	9.431923e-08
2.300000e+02	2.400000e+02	1.002358e-04	8.333095e-08	8.333095e-08
2.400000e+02	2.500000e+02	8.195412e-05	7.471737e-08	7.471737e-08
2.500000e+02	2.600000e+02	6.729995e-05	6.446128e-08	6.446128e-08
2.600000e+02	2.700000e+02	5.531465e-05	5.552143e-08	5.552143e-08
2.700000e+02	2.800000e+02	4.555624e-05	4.944496e-08	4.944496e-08
2.800000e+02	2.900000e+02	3.757180e-05	4.513289e-08	4.513289e-08
2.900000e+02	3.000000e+02	3.115198e-05	3.656776e-08	3.656776e-08
3.000000e+02	3.100000e+02	2.576784e-05	3.094149e-08	3.094149e-08
3.100000e+02	3.200000e+02	2.150114e-05	2.862043e-08	2.862043e-08
3.200000e+02	3.300000e+02	1.792729e-05	2.483881e-08	2.483881e-08
3.300000e+02	3.400000e+02	1.490784e-05	2.200629e-08	2.200629e-08
3.400000e+02	3.500000e+02	1.254200e-05	1.963789e-08	1.963789e-08
3.500000e+02	3.600000e+02	1.052227e-05	1.812372e-08	1.812372e-08
3.600000e+02	3.700000e+02	8.857310e-06	1.558510e-08	1.558510e-08
3.700000e+02	3.800000e+02	7.477681e-06	1.319370e-08	1.319370e-08
3.800000e+02	3.900000e+02	6.325360e-06	1.159603e-08	1.159603e-08
3.900000e+02	4.000000e+02	5.375344e-06	1.063800e-08	1.063800e-08
4.000000e+02	4.100000e+02	4.565774e-06	9.721363e-09	9.721363e-09
4.100000e+02	4.200000e+02	3.891778e-06	7.902271e-09	7.902271e-09
4.200000e+02	4.300000e+02	3.323013e-06	6.885024e-09	6.885024e-09
4.300000e+02	4.400000e+02	2.842493e-06	6.007637e-09	6.007637e-09
4.400000e+02	4.500000e+02	2.429500e-06	5.577553e-09	5.577553e-09
4.500000e+02	4.600000e+02	2.091597e-06	5.337708e-09	5.337708e-09
4.600000e+02	4.700000e+02	1.803217e-06	4.307362e-09	4.307362e-09
4.700000e+02	4.800000e+02	1.559713e-06	4.142461e-09	4.142461e-09
4.800000e+02	4.900000e+02	1.339141e-06	3.743530e-09	3.743530e-09
4.900000e+02	5.000000e+02	1.165079e-06	3.380719e-09	3.380719e-09
# END HISTO1D

